变量名,fpLimit,ServerOpenDays,fpFix,recordNumLimit,__version
默认值,0,0,1.5,5,
ID,fpLimit,ServerOpenDays,fpFix,recordNumLimit,__version
1,,1,,,
2,,2,,,
3,,3,,,
4,,4,,,
5,,5,,,
6,,6,,,
7,,7,,,
8,,8,,,
9,,9,,,
10,,10,,,
11,,11,,,
12,,12,,,
13,,13,,,
14,,14,,,
15,,15,,,
16,,16,,,
17,,17,,,
18,,18,,,
19,,19,,,
20,,20,,,
21,,21,,,
22,,22,,,
23,,23,,,
24,,24,,,
25,,25,,,
26,,26,,,
27,,27,,,
28,,28,,,
29,,29,,,
30,,30,,,
31,,31,,,
32,,32,,,
33,,33,,,
34,,34,,,
35,,35,,,
36,,36,,,
37,,37,,,
38,,38,,,
39,,39,,,
40,,40,,,
41,,41,,,
42,,42,,,
43,,43,,,
44,,44,,,
45,,45,,,
46,,46,,,
47,,47,,,
48,,48,,,
49,,49,,,
50,,50,,,
51,,51,,,
52,,52,,,
53,,53,,,
54,,54,,,
55,,55,,,
56,,56,,,
57,,57,,,
58,,58,,,
59,,59,,,
60,,60,,,
61,130000,61,,,
62,130000,62,,,
63,131000,63,,,
64,131000,64,,,
65,131000,65,,,
66,132000,66,,,
67,132000,67,,,
68,133000,68,,,
69,133000,69,,,
70,133000,70,,,
71,134000,71,,,
72,134000,72,,,
73,135000,73,,,
74,135000,74,,,
75,135000,75,,,
76,136000,76,,,
77,136000,77,,,
78,137000,78,,,
79,137000,79,,,
80,137000,80,,,
81,138000,81,,,
82,138000,82,,,
83,139000,83,,,
84,139000,84,,,
85,140000,85,,,
86,141000,86,,,
87,142000,87,,,
88,143000,88,,,
89,144000,89,,,
90,145000,90,,,
91,146000,91,,,
92,147000,92,,,
93,148000,93,,,
94,149000,94,,,
95,150000,95,,,
96,151000,96,,,
97,152000,97,,,
98,153000,98,,,
99,154000,99,,,
100,155000,100,,,
101,156000,101,,,
102,157000,102,,,
103,158000,103,,,
104,159000,104,,,
105,160000,105,,,
106,161000,106,,,
107,162000,107,,,
108,163000,108,,,
109,164000,109,,,
110,165000,110,,,
111,166000,111,,,
112,167000,112,,,
113,168000,113,,,
114,169000,114,,,
115,170000,115,,,
116,171000,116,,,
117,172000,117,,,
118,173000,118,,,
119,174000,119,,,
120,175000,120,,,
121,176000,121,,,
122,177000,122,,,
123,178000,123,,,
124,179000,124,,,
125,180000,125,,,
126,182000,126,,,
127,184000,127,,,
128,186000,128,,,
129,188000,129,,,
130,190000,130,,,
131,192000,131,,,
132,194000,132,,,
133,196000,133,,,
134,198000,134,,,
135,200000,135,,,
136,202000,136,,,
137,204000,137,,,
138,206000,138,,,
139,208000,139,,,
140,210000,140,,,
141,212000,141,,,
142,214000,142,,,
143,216000,143,,,
144,218000,144,,,
145,220000,145,,,
146,222000,146,,,
147,224000,147,,,
148,226000,148,,,
149,228000,149,,,
150,230000,150,,,
151,232000,151,,,
152,234000,152,,,
153,236000,153,,,
154,238000,154,,,
155,240000,155,,,
156,242000,156,,,
157,244000,157,,,
158,246000,158,,,
159,248000,159,,,
160,250000,160,,,
161,252000,161,,,
162,254000,162,,,
163,256000,163,,,
164,258000,164,,,
165,260000,165,,,
166,262000,166,,,
167,264000,167,,,
168,266000,168,,,
169,268000,169,,,
170,270000,170,,,
171,272000,171,,,
172,274000,172,,,
173,276000,173,,,
174,278000,174,,,
175,280000,175,,,
176,282000,176,,,
177,284000,177,,,
178,286000,178,,,
179,288000,179,,,
180,290000,180,,,
181,292000,181,,,
182,294000,182,,,
183,296000,183,,,
184,298000,184,,,
185,300000,185,,,
186,302000,186,,,
187,304000,187,,,
188,306000,188,,,
189,308000,189,,,
190,310000,190,,,
191,312000,191,,,
192,314000,192,,,
193,316000,193,,,
194,318000,194,,,
195,320000,195,,,
196,322000,196,,,
197,324000,197,,,
198,326000,198,,,
199,328000,199,,,
200,330000,200,,,
201,332000,201,,,
202,334000,202,,,
203,336000,203,,,
204,338000,204,,,
205,340000,205,,,
206,342000,206,,,
207,344000,207,,,
208,346000,208,,,
