变量名,_beizhu,bossID,gateID,baseHP,battleAward,killAward,battleScoreAward,rankAwardVersion,duration,serverKillPoint,buffAdd,buffTime,buffIcon,buffName,buffName_tw,buffName_en,buffName_vn,buffName_kr,buffDesc,buffDesc_tw,buffDesc_en,buffDesc_vn,buffDesc_kr,bossFigure
默认值,"""""",<>,0,<>,{},{},0,0,0,0,{},0,"""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",<>
ID,BOSS的ID,BOSS的ID,关卡ID,基础血量,战斗奖励,击杀奖励,战斗积分奖励,排名奖励版本,持续时间（分钟）,击杀后的服务器积分,buff奖励（1：属性增强，该服务器玩家进入战斗时6维属性增强；2：产出增加，产出速度增加，多个存在时为加法公式；3：抢夺增加：抢夺获得增加/被抢夺是减少损失，多个存在时为加法公式）,击杀后的服务器buff存在时间，分钟,buff图标,buff名字,buff名字,buff名字,buff名字,buff名字,buff描述,buff描述,buff描述,buff描述,buff描述,boss形象(对应boss形象表)
1,测试,<25001>,70001,<30000000>,{coin13=1000;gold=10000},{rmb=100;coin13=100000;gold=300000},0,1,120,100,{1=0.1},120,"""city/pvp/cross_mine/buff/icon_buff1.png""",Test,,Test,,,Test,,Test,,,<1>
2,测试,<25102>,70002,<30000000>,{coin13=1000;gold=10000},{rmb=100;coin13=100000;gold=300000},0,1,120,100,{2=0.2},120,"""city/pvp/cross_mine/buff/icon_buff2.png""",Test,,Test,,,Test,,Test,,,<2;3>
3,测试,<25202>,70003,<30000000>,{coin13=1000;gold=10000},{rmb=100;coin13=100000;gold=300000},0,1,120,100,{3=0.2},120,"""city/pvp/cross_mine/buff/icon_buff3.png""",Test,,Test,,,Test,,Test,,,<2;3>
4,,<42001;42002>,71001,<30000000;30000000>,{coin13=1000;gold=10000},{rmb=100;coin13=100000;gold=300000},0,1,120,100,{1=0.2},120,"""city/pvp/cross_mine/buff/icon_buff4.png""",Test,,Test,,,Test,,Test,,,<1>
5,,<42003;42004>,71002,<30000000;30000000>,{coin13=1000;gold=10000},{rmb=100;coin13=100000;gold=300000},0,1,120,100,{2=0.3},120,"""city/pvp/cross_mine/buff/icon_buff5.png""",Test,,Test,,,Test,,Test,,,<1>
6,,<42005;42006>,71003,<30000000;30000000>,{coin13=1000;gold=10000},{rmb=100;coin13=100000;gold=300000},0,1,120,100,{3=0.3},120,"""city/pvp/cross_mine/buff/icon_buff6.png""",Test,,Test,,,Test,,Test,,,<2;3>
7,,<42007;42008>,71004,<30000000;30000000>,{coin13=1000;gold=10000},{rmb=100;coin13=100000;gold=300000},0,1,120,100,{1=0.3},120,"""city/pvp/cross_mine/buff/icon_buff1.png""",Test,,Test,,,Test,,Test,,,<2;3>
,,,,,,,,,,,,,,,,,,,,,,,,
11,小boss1,<42001;42002>,71001,<45000000;45000000>,{coin13=1000;gold=10000},{rmb=100;coin13=100000;gold=300000},0,1,60,25000,{1=0.15},120,"""city/pvp/cross_mine/buff/icon_buff1.png""",Status enhancement,屬性增強,Status enhancement,,?? ??,Players on the killer's server gain +15% to all attributes in bid battles.,擊殺者所在伺服器玩家在競標對戰中全屬性加成+15%,Players on the killer's server gain +15% to all attributes in bid battles.,,??? ?? ??? ?? ?? ??? ?? ???? ? ?? ?? 15% ??.,<2>
12,小boss1,<42001;42002>,71001,<45000000;45000000>,{coin13=1000;gold=10000},{rmb=100;coin13=100000;gold=300000},0,1,60,25000,{2=0.15},120,"""city/pvp/cross_mine/buff/icon_buff2.png""",Product increase,產出增加,Product increase,,?? ??,Players on the killer's server gain +15% resource production speed.,擊殺者所在伺服器玩家的資源生產速度加成+15%,Players on the killer's server gain +15% resource production speed.,,??? ?? ??? ?? ?? ??? ?? ?? ?? ?? 15% ??.,<2>
13,小boss1,<42001;42002>,71001,<45000000;45000000>,{coin13=1000;gold=10000},{rmb=100;coin13=100000;gold=300000},0,1,60,25000,{3=0.15},120,"""city/pvp/cross_mine/buff/icon_buff3.png""",Plunder increase,搶奪增加,Plunder increase,,?? ?? ,Players on the killer's server gain +15% plunder bonus and lose 15% less when plundered in bid battles.,擊殺者所在伺服器玩家在競標對戰中搶奪加成+15%，被搶奪損失-15%,Players on the killer's server gain +15% plunder bonus and lose 15% less when plundered in bid battles.,,"??? ?? ??? ?? ?? ??? ?? ???? ?? ?? 15% ??, ?? ?? 15% ??.",<2>
,,,,,,,,,,,,,,,,,,,,,,,,
21,小boss1,<42003;42004>,71002,<30000000;30000000>,{coin13=1000;gold=10000},{rmb=100;coin13=100000;gold=300000},0,1,60,25000,{1=0.15},120,"""city/pvp/cross_mine/buff/icon_buff1.png""",Status enhancement,屬性增強,Status enhancement,,?? ??,Players on the killer's server gain +15% to all attributes in bid battles.,擊殺者所在伺服器玩家在競標對戰中全屬性加成+15%,Players on the killer's server gain +15% to all attributes in bid battles.,,??? ?? ??? ?? ?? ??? ?? ???? ? ?? ?? 15% ??.,<2>
22,小boss1,<42003;42004>,71002,<30000000;30000000>,{coin13=1000;gold=10000},{rmb=100;coin13=100000;gold=300000},0,1,60,25000,{2=0.15},120,"""city/pvp/cross_mine/buff/icon_buff2.png""",Product increase,產出增加,Product increase,,?? ??,Players on the killer's server gain +15% resource production speed.,擊殺者所在伺服器玩家的資源生產速度加成+15%,Players on the killer's server gain +15% resource production speed.,,??? ?? ??? ?? ?? ??? ?? ?? ?? ?? 15% ??.,<2>
