变量名,levelExp1,levelExp2,levelExp3,levelExp4,levelExp5,levelExp6,__version
默认值,,,,,,,
ID,升级经验序列1,升级经验序列2,升级经验序列3,升级经验序列4,升级经验序列5,升级经验序列6,__version
1,80,96,120,160,200,320,
2,120,144,180,240,300,480,
3,160,192,240,320,400,640,
4,200,240,300,400,500,800,
5,240,288,360,480,600,960,
6,280,336,420,560,700,1120,
7,320,384,480,640,800,1280,
8,360,432,540,720,900,1440,
9,400,480,600,800,1000,1600,
10,440,528,660,880,1100,1760,
11,500,600,750,1000,1250,2000,
12,560,672,840,1120,1400,2240,
13,620,744,930,1240,1550,2480,
14,680,816,1020,1360,1700,2720,
15,740,888,1110,1480,1850,2960,
16,800,960,1200,1600,2000,3200,
17,860,1032,1290,1720,2150,3440,
18,920,1104,1380,1840,2300,3680,
19,980,1176,1470,1960,2450,3920,
20,1040,1248,1560,2080,2600,4160,
21,1120,1344,1680,2240,2800,4480,
22,1200,1440,1800,2400,3000,4800,
23,1280,1536,1920,2560,3200,5120,
24,1360,1632,2040,2720,3400,5440,
25,1440,1728,2160,2880,3600,5760,
26,1520,1824,2280,3040,3800,6080,
27,1600,1920,2400,3200,4000,6400,
28,1680,2016,2520,3360,4200,6720,
29,1760,2112,2640,3520,4400,7040,
30,1840,2208,2760,3680,4600,7360,
31,1920,2304,2880,3840,4800,7680,
32,2020,2424,3030,4040,5050,8080,
33,2120,2544,3180,4240,5300,8480,
34,2220,2664,3330,4440,5550,8880,
35,2320,2784,3480,4640,5800,9280,
36,2420,2904,3630,4840,6050,9680,
37,2520,3024,3780,5040,6300,10080,
38,2620,3144,3930,5240,6550,10480,
39,2720,3264,4080,5440,6800,10880,
40,2820,3384,4230,5640,7050,11280,
41,2920,3504,4380,5840,7300,11680,
42,3040,3648,4560,6080,7600,12160,
43,3160,3792,4740,6320,7900,12640,
44,3280,3936,4920,6560,8200,13120,
45,3400,4080,5100,6800,8500,13600,
46,3520,4224,5280,7040,8800,14080,
47,3640,4368,5460,7280,9100,14560,
48,3760,4512,5640,7520,9400,15040,
49,3880,4656,5820,7760,9700,15520,
50,4000,4800,6000,8000,10000,16000,
51,4150,4980,6225,8300,10375,16600,
52,4300,5160,6450,8600,10750,17200,
53,4450,5340,6675,8900,11125,17800,
54,4600,5520,6900,9200,11500,18400,
55,4750,5700,7125,9500,11875,19000,
56,4900,5880,7350,9800,12250,19600,
57,5050,6060,7575,10100,12625,20200,
58,5200,6240,7800,10400,13000,20800,
59,5350,6420,8025,10700,13375,21400,
60,5500,6600,8250,11000,13750,22000,
61,5550,6660,8325,11100,13875,22200,
62,5550,6660,8325,11100,13875,22200,
63,5580,6696,8370,11160,13950,22320,
64,5580,6696,8370,11160,13950,22320,
65,5610,6732,8415,11220,14025,22440,
66,5610,6732,8415,11220,14025,22440,
67,5640,6768,8460,11280,14100,22560,
68,5640,6768,8460,11280,14100,22560,
69,5670,6804,8505,11340,14175,22680,
70,5670,6804,8505,11340,14175,22680,
71,5700,6840,8550,11400,14250,22800,
72,5700,6840,8550,11400,14250,22800,
73,5730,6876,8595,11460,14325,22920,
74,5730,6876,8595,11460,14325,22920,
75,5760,6912,8640,11520,14400,23040,
76,5760,6912,8640,11520,14400,23040,
77,5790,6948,8685,11580,14475,23160,
78,5790,6948,8685,11580,14475,23160,
79,5820,6984,8730,11640,14550,23280,
80,5820,6984,8730,11640,14550,23280,
