变量名,gateID,extraVersion,_beizhu,itemMap,count,probability,probability_tw,probability_kr,itemCount
默认值,,,,{},1,0,0,0,1
ID,关卡ID,额外配置的版本（yyhuodong用）,掉落物品名称,随机掉落物品ID权值数量,掉落次数,掉落物品概率,tw掉落物品概率,tw掉落物品概率,掉落道具数量
1,10101,2,,{6349=100},,30,,,
2,10102,2,,{6349=100},,30,,,
3,10103,2,,{6349=100},,30,,,
4,10104,2,,{6349=100},,30,,,
5,10105,2,,{6349=100},,30,,,
6,10201,2,,{6349=100},,30,,,
7,10202,2,,{6349=100},,30,,,
8,10203,2,,{6349=100},,30,,,
9,10204,2,,{6349=100},,30,,,
10,10205,2,,{6349=100},,30,,,
11,10206,2,,{6349=100},,30,,,
12,10301,2,,{6349=100},,30,,,
13,10302,2,,{6349=100},,30,,,
14,10303,2,,{6349=100},,30,,,
15,10304,2,,{6349=100},,30,,,
16,10305,2,,{6349=100},,30,,,
17,10306,2,,{6349=100},,30,,,
18,10307,2,,{6349=100},,30,,,
19,10308,2,,{6349=100},,30,,,
20,10401,2,,{6349=100},,30,,,
21,10402,2,,{6349=100},,30,,,
22,10403,2,,{6349=100},,30,,,
23,10404,2,,{6349=100},,30,,,
24,10405,2,,{6349=100},,30,,,
25,10406,2,,{6349=100},,30,,,
26,10407,2,,{6349=100},,30,,,
27,10408,2,,{6349=100},,30,,,
28,10501,2,,{6349=100},,30,,,
29,10502,2,,{6349=100},,30,,,
30,10503,2,,{6349=100},,30,,,
31,10504,2,,{6349=100},,30,,,
32,10505,2,,{6349=100},,30,,,
33,10506,2,,{6349=100},,30,,,
34,10507,2,,{6349=100},,30,,,
35,10508,2,,{6349=100},,30,,,
36,10509,2,,{6349=100},,30,,,
37,10510,2,,{6349=100},,30,,,
38,10601,2,,{6349=100},,30,,,
39,10602,2,,{6349=100},,30,,,
40,10603,2,,{6349=100},,30,,,
41,10604,2,,{6349=100},,30,,,
42,10605,2,,{6349=100},,30,,,
43,10606,2,,{6349=100},,30,,,
44,10607,2,,{6349=100},,30,,,
45,10608,2,,{6349=100},,30,,,
46,10609,2,,{6349=100},,30,,,
47,10610,2,,{6349=100},,30,,,
48,10701,2,,{6349=100},,30,,,
49,10702,2,,{6349=100},,30,,,
50,10703,2,,{6349=100},,30,,,
51,10704,2,,{6349=100},,30,,,
52,10705,2,,{6349=100},,30,,,
53,10706,2,,{6349=100},,30,,,
54,10707,2,,{6349=100},,30,,,
55,10708,2,,{6349=100},,30,,,
56,10709,2,,{6349=100},,30,,,
57,10710,2,,{6349=100},,30,,,
58,10801,2,,{6349=100},,30,,,
59,10802,2,,{6349=100},,30,,,
60,10803,2,,{6349=100},,30,,,
61,10804,2,,{6349=100},,30,,,
62,10805,2,,{6349=100},,30,,,
63,10806,2,,{6349=100},,30,,,
64,10807,2,,{6349=100},,30,,,
65,10808,2,,{6349=100},,30,,,
66,10809,2,,{6349=100},,30,,,
67,10810,2,,{6349=100},,30,,,
68,10901,2,,{6349=100},,30,,,
69,10902,2,,{6349=100},,30,,,
70,10903,2,,{6349=100},,30,,,
71,10904,2,,{6349=100},,30,,,
72,10905,2,,{6349=100},,30,,,
73,10906,2,,{6349=100},,30,,,
74,10907,2,,{6349=100},,30,,,
75,10908,2,,{6349=100},,30,,,
76,10909,2,,{6349=100},,30,,,
77,10910,2,,{6349=100},,30,,,
78,11001,2,,{6349=100},,30,,,
79,11002,2,,{6349=100},,30,,,
80,11003,2,,{6349=100},,30,,,
81,11004,2,,{6349=100},,30,,,
