变量名,gateID,extraVersion,_beizhu,itemID,itemCount,weightMin,weightMax,firstWeight,weightMin_tw,weightMax_tw,firstWeight_tw
默认值,,,,5000,1,0,0,-1,0,0,-1
ID,关卡ID,额外配置的版本（yyhuodong用）,掉落物品名称,掉落道具,掉落道具数量,权值上限,权值下限,首次权值,权值上限,权值下限,首次权值
8000,10101,1,,6301,,0.35,0.55,0,,,
8001,10102,1,,6301,,0.35,0.55,0,,,
8002,10103,1,,6301,,0.35,0.55,0,,,
8003,10104,1,,6301,,0.35,0.55,0,,,
8004,10105,1,,6301,,0.35,0.55,0,,,
8005,10201,1,,6301,,0.35,0.55,0,,,
8006,10202,1,,6301,,0.35,0.55,0,,,
8007,10203,1,,6301,,0.35,0.55,0,,,
8008,10204,1,,6301,,0.35,0.55,0,,,
8009,10205,1,,6301,,0.35,0.55,0,,,
8010,10206,1,,6301,,0.35,0.55,0,,,
8011,10301,1,,6301,,0.35,0.55,0,,,
8012,10302,1,,6301,,0.35,0.55,0,,,
8013,10303,1,,6301,,0.35,0.55,0,,,
8014,10304,1,,6301,,0.35,0.55,0,,,
8015,10305,1,,6301,,0.35,0.55,0,,,
8016,10306,1,,6301,,0.35,0.55,0,,,
8017,10307,1,,6301,,0.35,0.55,0,,,
8018,10308,1,,6301,,0.35,0.55,0,,,
8019,10401,1,,6301,,0.35,0.55,0,,,
8020,10402,1,,6301,,0.35,0.55,0,,,
8021,10403,1,,6301,,0.35,0.55,0,,,
8022,10404,1,,6301,,0.35,0.55,0,,,
8023,10405,1,,6301,,0.35,0.55,0,,,
8024,10406,1,,6301,,0.35,0.55,0,,,
8025,10407,1,,6301,,0.35,0.55,0,,,
8026,10408,1,,6301,,0.35,0.55,0,,,
8027,10501,1,,6301,,0.35,0.55,0,,,
8028,10502,1,,6301,,0.35,0.55,0,,,
8029,10503,1,,6301,,0.35,0.55,0,,,
8030,10504,1,,6301,,0.35,0.55,0,,,
8031,10505,1,,6301,,0.35,0.55,0,,,
8032,10506,1,,6301,,0.35,0.55,0,,,
8033,10507,1,,6301,,0.35,0.55,0,,,
8034,10508,1,,6301,,0.35,0.55,0,,,
8035,10509,1,,6301,,0.35,0.55,0,,,
8036,10510,1,,6301,,0.35,0.55,0,,,
8037,10601,1,,6301,,0.35,0.55,0,,,
8038,10602,1,,6301,,0.35,0.55,0,,,
8039,10603,1,,6301,,0.35,0.55,0,,,
8040,10604,1,,6301,,0.35,0.55,0,,,
8041,10605,1,,6301,,0.35,0.55,0,,,
8042,10606,1,,6301,,0.35,0.55,0,,,
8043,10607,1,,6301,,0.35,0.55,0,,,
8044,10608,1,,6301,,0.35,0.55,0,,,
8045,10609,1,,6301,,0.35,0.55,0,,,
8046,10610,1,,6301,,0.35,0.55,0,,,
8047,10701,1,,6301,,0.35,0.55,0,,,
8048,10702,1,,6301,,0.35,0.55,0,,,
8049,10703,1,,6301,,0.35,0.55,0,,,
8050,10704,1,,6301,,0.35,0.55,0,,,
8051,10705,1,,6301,,0.35,0.55,0,,,
8052,10706,1,,6301,,0.35,0.55,0,,,
8053,10707,1,,6301,,0.35,0.55,0,,,
8054,10708,1,,6301,,0.35,0.55,0,,,
8055,10709,1,,6301,,0.35,0.55,0,,,
8056,10710,1,,6301,,0.35,0.55,0,,,
8057,10801,1,,6301,,0.35,0.55,0,,,
8058,10802,1,,6301,,0.35,0.55,0,,,
8059,10803,1,,6301,,0.35,0.55,0,,,
8060,10804,1,,6301,,0.35,0.55,0,,,
8061,10805,1,,6301,,0.35,0.55,0,,,
8062,10806,1,,6301,,0.35,0.55,0,,,
8063,10807,1,,6301,,0.35,0.55,0,,,
8064,10808,1,,6301,,0.35,0.55,0,,,
8065,10809,1,,6301,,0.35,0.55,0,,,
8066,10810,1,,6301,,0.35,0.55,0,,,
8067,10901,1,,6301,,0.35,0.55,0,,,
8068,10902,1,,6301,,0.35,0.55,0,,,
8069,10903,1,,6301,,0.35,0.55,0,,,
8070,10904,1,,6301,,0.35,0.55,0,,,
8071,10905,1,,6301,,0.35,0.55,0,,,
8072,10906,1,,6301,,0.35,0.55,0,,,
8073,10907,1,,6301,,0.35,0.55,0,,,
8074,10908,1,,6301,,0.35,0.55,0,,,
8075,10909,1,,6301,,0.35,0.55,0,,,
8076,10910,1,,6301,,0.35,0.55,0,,,
8077,11001,1,,6301,,0.35,0.55,0,,,
8078,11002,1,,6301,,0.35,0.55,0,,,
8079,11003,1,,6301,,0.35,0.55,0,,,
8080,11004,1,,6301,,0.35,0.55,0,,,
8081,11005,1,,6301,,0.35,0.55,0,,,
8082,11006,1,,6301,,0.35,0.55,0,,,
8083,11007,1,,6301,,0.35,0.55,0,,,
8084,11008,1,,6301,,0.35,0.55,0,,,
8085,11009,1,,6301,,0.35,0.55,0,,,
8086,11010,1,,6301,,0.35,0.55,0,,,
8087,11101,1,,6301,,0.35,0.55,0,,,
8088,11102,1,,6301,,0.35,0.55,0,,,
8089,11103,1,,6301,,0.35,0.55,0,,,
8090,11104,1,,6301,,0.35,0.55,0,,,
8091,11105,1,,6301,,0.35,0.55,0,,,
8092,11106,1,,6301,,0.35,0.55,0,,,
8093,11107,1,,6301,,0.35,0.55,0,,,
8094,11108,1,,6301,,0.35,0.55,0,,,
8095,11109,1,,6301,,0.35,0.55,0,,,
8096,11110,1,,6301,,0.35,0.55,0,,,
8097,11201,1,,6301,,0.35,0.55,0,,,
8098,11202,1,,6301,,0.35,0.55,0,,,
8099,11203,1,,6301,,0.35,0.55,0,,,
8100,11204,1,,6301,,0.35,0.55,0,,,
8101,11205,1,,6301,,0.35,0.55,0,,,
8102,11206,1,,6301,,0.35,0.55,0,,,
8103,11207,1,,6301,,0.35,0.55,0,,,
8104,11208,1,,6301,,0.35,0.55,0,,,
8105,11209,1,,6301,,0.35,0.55,0,,,
8106,11210,1,,6301,,0.35,0.55,0,,,
8107,11301,1,,6301,,0.35,0.55,0,,,
8108,11302,1,,6301,,0.35,0.55,0,,,
8109,11303,1,,6301,,0.35,0.55,0,,,
8110,11304,1,,6301,,0.35,0.55,0,,,
8111,11305,1,,6301,,0.35,0.55,0,,,
8112,11306,1,,6301,,0.35,0.55,0,,,
8113,11307,1,,6301,,0.35,0.55,0,,,
8114,11308,1,,6301,,0.35,0.55,0,,,
8115,11309,1,,6301,,0.35,0.55,0,,,
8116,11310,1,,6301,,0.35,0.55,0,,,
8117,11401,1,,6301,,0.35,0.55,0,,,
8118,11402,1,,6301,,0.35,0.55,0,,,
8119,11403,1,,6301,,0.35,0.55,0,,,
8120,11404,1,,6301,,0.35,0.55,0,,,
8121,11405,1,,6301,,0.35,0.55,0,,,
