变量名,rankMax,award,award_kr,award_en,award_tw,version
默认值,,<<1;150;{}>>,<<1;150;{}>>,<<1;150;{}>>,<<1;150;{}>>,0
ID,最大排名,排名奖励,排名奖励,排名奖励,排名奖励,奖励版本
1,1,<<1;105;{rmb=25888;gold=1880000;28503=10;27191=5;6007=20}>;<106;210;{rmb=25888;gold=1880000;28503=10;27191=5;6007=20}>>,<<1;105;{rmb=25888;gold=1880000;28503=10;27191=5;6007=20}>;<106;210;{rmb=25888;gold=1880000;28503=10;27191=5;6007=20}>>,<<1;105;{rmb=25888;gold=1880000;28503=10;27191=5;6007=20}>;<106;210;{rmb=25888;gold=1880000;28503=10;27191=5;6007=20}>>,<<1;105;{rmb=25888;gold=1880000;28503=10;27191=5;6007=20}>;<106;210;{rmb=25888;gold=1880000;28503=10;27191=5;6007=20}>>,0
2,2,<<1;105;{rmb=21888;gold=1280000;28503=8;27191=4;6007=15}>;<106;210;{rmb=21888;gold=1280000;28503=8;27191=4;6007=15}>>,<<1;105;{rmb=21888;gold=1280000;28503=8;27191=4;6007=15}>;<106;210;{rmb=21888;gold=1280000;28503=8;27191=4;6007=15}>>,<<1;105;{rmb=21888;gold=1280000;28503=8;27191=4;6007=15}>;<106;210;{rmb=21888;gold=1280000;28503=8;27191=4;6007=15}>>,<<1;105;{rmb=21888;gold=1280000;28503=8;27191=4;6007=15}>;<106;210;{rmb=21888;gold=1280000;28503=8;27191=4;6007=15}>>,0
3,3,<<1;105;{rmb=18888;gold=880000;28503=6;27191=3;6007=13}>;<106;210;{rmb=18888;gold=880000;28503=6;27191=3;6007=13}>>,<<1;105;{rmb=18888;gold=880000;28503=6;27191=3;6007=13}>;<106;210;{rmb=18888;gold=880000;28503=6;27191=3;6007=13}>>,<<1;105;{rmb=18888;gold=880000;28503=6;27191=3;6007=13}>;<106;210;{rmb=18888;gold=880000;28503=6;27191=3;6007=13}>>,<<1;105;{rmb=18888;gold=880000;28503=6;27191=3;6007=13}>;<106;210;{rmb=18888;gold=880000;28503=6;27191=3;6007=13}>>,0
4,4,<<1;105;{rmb=12888;gold=580000;28503=4;27191=2;6007=10}>;<106;210;{rmb=12888;gold=580000;28503=4;27191=2;6007=10}>>,<<1;105;{rmb=12888;gold=580000;28503=4;27191=2;6007=10}>;<106;210;{rmb=12888;gold=580000;28503=4;27191=2;6007=10}>>,<<1;105;{rmb=12888;gold=580000;28503=4;27191=2;6007=10}>;<106;210;{rmb=12888;gold=580000;28503=4;27191=2;6007=10}>>,<<1;105;{rmb=12888;gold=580000;28503=4;27191=2;6007=10}>;<106;210;{rmb=12888;gold=580000;28503=4;27191=2;6007=10}>>,0
5,8,<<1;105;{rmb=8888;gold=500000;28503=3;27191=1;6007=8}>;<106;210;{rmb=8888;gold=500000;28503=3;27191=1;6007=8}>>,<<1;105;{rmb=8888;gold=500000;28503=3;27191=1;6007=8}>;<106;210;{rmb=8888;gold=500000;28503=3;27191=1;6007=8}>>,<<1;105;{rmb=8888;gold=500000;28503=3;27191=1;6007=8}>;<106;210;{rmb=8888;gold=500000;28503=3;27191=1;6007=8}>>,<<1;105;{rmb=8888;gold=500000;28503=3;27191=1;6007=8}>;<106;210;{rmb=8888;gold=500000;28503=3;27191=1;6007=8}>>,0
6,16,<<1;105;{rmb=5888;gold=300000;28503=2;6007=6}>;<106;210;{rmb=5888;gold=300000;28503=2;6007=6}>>,<<1;105;{rmb=5888;gold=300000;28503=2;6007=6}>;<106;210;{rmb=5888;gold=300000;28503=2;6007=6}>>,<<1;105;{rmb=5888;gold=300000;28503=2;6007=6}>;<106;210;{rmb=5888;gold=300000;28503=2;6007=6}>>,<<1;105;{rmb=5888;gold=300000;28503=2;6007=6}>;<106;210;{rmb=5888;gold=300000;28503=2;6007=6}>>,0
7,32,<<1;105;{gold=100000;6007=5;6008=3;121=10;112=50}>;<106;210;{gold=100000;6007=5;6008=3;121=10;112=50}>>,<<1;105;{gold=100000;6007=5;6008=3;121=10;112=50}>;<106;210;{gold=100000;6007=5;6008=3;121=10;112=50}>>,<<1;105;{gold=100000;6007=5;6008=3;121=10;112=50}>;<106;210;{gold=100000;6007=5;6008=3;121=10;112=50}>>,<<1;105;{gold=100000;6007=5;6008=3;121=10;112=50}>;<106;210;{gold=100000;6007=5;6008=3;121=10;112=50}>>,0
8,127,<<1;105;{rmb=1888;gold=100000;28502=5;6008=4}>;<106;210;{rmb=1888;gold=100000;28502=5;6008=4}>>,<<1;105;{rmb=1888;gold=100000;28502=5;6008=4}>;<106;210;{rmb=1888;gold=100000;28502=5;6008=4}>>,<<1;105;{rmb=1888;gold=100000;28502=5;6008=4}>;<106;210;{rmb=1888;gold=100000;28502=5;6008=4}>>,<<1;105;{rmb=1888;gold=100000;28502=5;6008=4}>;<106;210;{rmb=1888;gold=100000;28502=5;6008=4}>>,0
9,9999,<<1;105;{rmb=8888;gold=50000;28502=3;6008=2}>;<106;210;{rmb=8888;gold=50000;28502=3;6008=2}>>,<<1;105;{rmb=8888;gold=50000;28502=3;6008=2}>;<106;210;{rmb=8888;gold=50000;28502=3;6008=2}>>,<<1;105;{rmb=8888;gold=50000;28502=3;6008=2}>;<106;210;{rmb=8888;gold=50000;28502=3;6008=2}>>,<<1;105;{rmb=8888;gold=50000;28502=3;6008=2}>;<106;210;{rmb=8888;gold=50000;28502=3;6008=2}>>,0
,,,,,,
102,2,<<1;72;{6005=6;21271=1;502=1;gold=110000}>;<73;150;{6007=6;21271=1;502=1;gold=110000;112=100}>>,<<1;72;{6005=6;21271=1;502=1;gold=110000}>;<73;150;{6007=6;21271=1;502=1;gold=110000;112=100}>>,<<1;72;{6005=6;21271=1;502=1;gold=110000}>;<73;150;{6007=6;21271=1;502=1;gold=110000;112=100}>>,<<1;150;{6005=6;21271=1;502=1;gold=110000}>>,101
103,3,<<1;72;{6005=6;21271=1;502=1;gold=100000}>;<73;150;{6007=6;21271=1;502=1;gold=100000;112=100}>>,<<1;72;{6005=6;21271=1;502=1;gold=100000}>;<73;150;{6007=6;21271=1;502=1;gold=100000;112=100}>>,<<1;72;{6005=6;21271=1;502=1;gold=100000}>;<73;150;{6007=6;21271=1;502=1;gold=100000;112=100}>>,<<1;150;{6005=6;21271=1;502=1;gold=100000}>>,101
104,4,<<1;72;{6005=5;21271=1;502=1;gold=100000}>;<73;150;{6007=5;21271=1;502=1;gold=100000;112=90}>>,<<1;72;{6005=5;21271=1;502=1;gold=100000}>;<73;150;{6007=5;21271=1;502=1;gold=100000;112=90}>>,<<1;72;{6005=5;21271=1;502=1;gold=100000}>;<73;150;{6007=5;21271=1;502=1;gold=100000;112=90}>>,<<1;150;{6005=5;21271=1;502=1;gold=100000}>>,101
105,5,<<1;72;{6005=5;21891=1;502=1;gold=90000}>;<73;150;{6007=5;21891=1;502=1;gold=90000;112=90}>>,<<1;72;{6005=5;21891=1;502=1;gold=90000}>;<73;150;{6007=5;21891=1;502=1;gold=90000;112=90}>>,<<1;72;{6005=5;21891=1;502=1;gold=90000}>;<73;150;{6007=5;21891=1;502=1;gold=90000;112=90}>>,<<1;150;{6005=5;21891=1;502=1;gold=90000}>>,101
106,6,<<1;72;{6005=5;21891=1;502=1;gold=80000}>;<73;150;{6007=5;21891=1;502=1;gold=80000;112=80}>>,<<1;72;{6005=5;21891=1;502=1;gold=80000}>;<73;150;{6007=5;21891=1;502=1;gold=80000;112=80}>>,<<1;72;{6005=5;21891=1;502=1;gold=80000}>;<73;150;{6007=5;21891=1;502=1;gold=80000;112=80}>>,<<1;150;{6005=5;21891=1;502=1;gold=80000}>>,101
107,8,<<1;72;{6005=4;21891=1;502=1;gold=80000}>;<73;150;{6007=4;21891=1;502=1;gold=80000;112=70}>>,<<1;72;{6005=4;21891=1;502=1;gold=80000}>;<73;150;{6007=4;21891=1;502=1;gold=80000;112=70}>>,<<1;72;{6005=4;21891=1;502=1;gold=80000}>;<73;150;{6007=4;21891=1;502=1;gold=80000;112=70}>>,<<1;150;{6005=4;21891=1;502=1;gold=80000}>>,101
108,12,<<1;72;{6005=3;951=1;6006=1;gold=70000}>;<73;150;{6007=3;951=1;6008=1;gold=70000;112=70}>>,<<1;72;{6005=3;951=1;6006=1;gold=70000}>;<73;150;{6007=3;951=1;6008=1;gold=70000;112=70}>>,<<1;72;{6005=3;951=1;6006=1;gold=70000}>;<73;150;{6007=3;951=1;6008=1;gold=70000;112=70}>>,<<1;150;{6005=3;951=1;6006=1;gold=70000}>>,101
109,16,<<1;72;{6005=2;950=1;6006=1;gold=60000}>;<73;150;{6007=2;950=1;6008=1;gold=60000;112=65}>>,<<1;72;{6005=2;950=1;6006=1;gold=60000}>;<73;150;{6007=2;950=1;6008=1;gold=60000;112=65}>>,<<1;72;{6005=2;950=1;6006=1;gold=60000}>;<73;150;{6007=2;950=1;6008=1;gold=60000;112=65}>>,<<1;150;{6005=2;950=1;6006=1;gold=60000}>>,101
110,32,<<1;72;{6005=1;950=1;6006=1;gold=60000}>;<73;150;{6007=1;950=1;6008=1;gold=60000;112=60}>>,<<1;72;{6005=1;950=1;6006=1;gold=60000}>;<73;150;{6007=1;950=1;6008=1;gold=60000;112=60}>>,<<1;72;{6005=1;950=1;6006=1;gold=60000}>;<73;150;{6007=1;950=1;6008=1;gold=60000;112=60}>>,<<1;150;{6005=1;950=1;6006=1;gold=60000}>>,101
111,127,<<1;72;{6006=2;950=1;gold=50000}>;<73;150;{6008=2;950=1;gold=50000;112=55}>>,<<1;72;{6006=2;950=1;gold=50000}>;<73;150;{6008=2;950=1;gold=50000;112=55}>>,<<1;72;{6006=2;950=1;gold=50000}>;<73;150;{6008=2;950=1;gold=50000;112=55}>>,<<1;150;{6006=2;950=1;gold=50000}>>,101
112,9999,<<1;72;{6006=2;gold=50000}>;<73;150;{6008=2;gold=50000;112=50}>>,<<1;72;{6006=2;gold=50000}>;<73;150;{6008=2;gold=50000;112=50}>>,<<1;72;{6006=2;gold=50000}>;<73;150;{6008=2;gold=50000;112=50}>>,<<1;150;{6006=2;gold=50000}>>,101
