变量名,openLevel,sceneCount,showLevel,backGround,roundLimit,gateType,deployType,limitType,sceneLevel3,sceneLevel2,sceneLevel,showLevel3,showLevel2,backMusic,roundLimit3,roundLimit2,sceneType,icon3,icon,gateDesc3,lowestFightingPoint,sceneCount3,sceneCount2,gateDesc2,gateDesc1,languages,monsters1,boss1,monsters2,boss2,monsters3,boss3,bg_boss_pos,limitArg,firstAward,firstAwardShow,skillLevel2,skillLevel,skillLevel3,sceneName
默认值,1,1,99,battle/scene/bg_city.jpg,10,39,4,0,1,1,1,99,99,battle_bgm.mp3,10,10,1,"""""","""""",本关无特殊效果,0,1,1,本关无特殊效果,本关无特殊效果,<cn;tw;en;en_us;en_eu;vn;th;kr>,<>,<>,<>,<>,<>,<>,{x=0;y=70},<>,{},<>,,,,
ID,开放等级,场景数量(波数),显示等级,背景图片,回合限制,关卡类型,部署类型,限制类型,场景等级(第3波),场景等级(第2波),场景等级(第1波),显示等级(第3波),显示等级(第2波),背景音乐,回合限制(第3波),回合限制(第2波),场景类型,图标(第3波),图标,关卡描述(第3波),最低战力要求,场景数量(第3波),场景数量(第2波),关卡描述(第2波),关卡描述(第1波),语言版本,怪物配置(第1波),Boss配置(第1波),怪物配置(第2波),Boss配置(第2波),怪物配置(第3波),Boss配置(第3波),Boss位置偏移,限制参数,首通奖励,首通奖励展示,技能等级(第2波),技能等级(第1波),技能等级(第3波),场景名称
200001,,,401,battle/scene/bg_grass.jpg,,,,3,400,400,400,401,401,,,,26,,config/portrait/jinglingtouxiang1/img_360_xgr@.png,,,,,,,<cn>,<{level=401;advance=31;unitId=511393};{level=401;advance=31;unitId=520641};{level=401;advance=31;unitId=512073};{level=401;advance=31;unitId=530273};{level=401;advance=31;unitId=540481}>,<{level=401;advance=31;unitId=530991}>,<{level=401;advance=31;unitId=510641};{level=401;advance=31;unitId=520793};{level=401;advance=31;unitId=511671};{level=401;advance=31;unitId=534183};{level=401;advance=31;unitId=540463}>,<{level=401;advance=31;unitId=530392}>,,,,<<1;1;22%>>,{451=50;452=20;gold=300000},<<gold;300000;1>;<451;50;1>;<452;20;1>>,130,130,130,第1关
200002,,,403,battle/scene/bg_night.jpg,,,,4,425,425,425,403,403,,,,26,,config/portrait/jinglingtouxiang1/img_640_bljw@.png,,,,,,,<cn>,<{level=403;advance=31;unitId=510281};{level=403;advance=31;unitId=521082};{level=403;advance=31;unitId=513282};{level=403;advance=31;unitId=530574};{level=403;advance=31;unitId=540394}>,<{level=403;advance=31;unitId=533181}>,<{level=403;advance=31;unitId=511801};{level=403;advance=31;unitId=520052};{level=403;advance=31;unitId=510901};{level=403;advance=31;unitId=533772};{level=403;advance=31;unitId=541072}>,<{level=403;advance=31;unitId=530881}>,,,,<<1;0;21%>;<28;0;21%>>,{502=1;451=50;gold=300000},<<gold;300000;1>;<451;50;1>;<502;1;1>>,130,130,130,第2关
200003,,,405,battle/scene/bg_sd.jpg,,,,5,450,450,450,405,405,,,,26,,config/portrait/jinglingtouxiang1/img_229_hlj@.png,,,,,,,<cn>,<{level=405;advance=31;unitId=512371};{level=405;advance=31;unitId=520432};{level=405;advance=31;unitId=511032};{level=405;advance=31;unitId=534641};{level=405;advance=31;unitId=542411}>,<{level=405;advance=31;unitId=531172}>,<{level=405;advance=31;unitId=510251};{level=405;advance=31;unitId=521301};{level=405;advance=31;unitId=514621};{level=405;advance=31;unitId=530861};{level=405;advance=31;unitId=543772}>,<{level=405;advance=31;unitId=531071}>,,,,<<1;0;22%>>,{rmb=100;451=50;gold=300000},<<gold;300000;1>;<451;50;1>;<rmb;100;1>>,130,130,130,第3关
200004,,,407,battle/scene/bg_tower.jpg,,,,5,475,475,475,407,407,,,,26,,config/portrait/jinglingtouxiang1/img_181_cjdl@.png,,,,,,,<cn>,<{level=407;advance=31;unitId=513543};{level=407;advance=31;unitId=524012};{level=407;advance=31;unitId=513231};{level=407;advance=31;unitId=530431};{level=407;advance=31;unitId=541911}>,<{level=407;advance=31;unitId=530884}>,<{level=407;advance=31;unitId=510901};{level=407;advance=31;unitId=521393};{level=407;advance=31;unitId=512023};{level=407;advance=31;unitId=532471};{level=407;advance=31;unitId=544202}>,<{level=407;advance=31;unitId=531501}>,,,,<<27;0;22%>;<26;0;22%>>,{451=50;452=20;gold=300000},<<gold;300000;1>;<451;50;1>;<452;20;1>>,130,130,130,第4关
200005,,,409,battle/scene/bg_grass.jpg,,,,5,500,500,500,409,409,,,,26,,config/portrait/jinglingtouxiang1/img_254_sgcjxyw@.png,,,,,每个大回合回复全体怪物150点怒气，击杀光环怪解除,草系怪物攻击额外回复血量，击杀光环怪解除,<cn>,<{level=409;advance=31;unitId=514853};{level=409;advance=31;unitId=520442};{level=409;advance=31;unitId=514853};{level=409;advance=31;unitId=531812};{level=409;advance=31;unitId=540323}>,<{level=409;advance=31;unitId=560010}>,<{level=409;advance=31;unitId=510333};{level=409;advance=31;unitId=524622};{level=409;advance=31;unitId=510731};{level=409;advance=31;unitId=530333};{level=409;advance=31;unitId=540731}>,<{level=409;advance=31;unitId=570010}>,,,,<<1;1;28%>;<13;0;28%>>,{519=1;451=50;gold=300000},<<gold;300000;1>;<451;50;1>;<519;1;1>>,130,130,130,第5关
200006,,,411,battle/scene/bg_night.jpg,,,,3,525,525,525,411,411,,,,26,,config/portrait/jinglingtouxiang1/img_288_gdy@.png,,,,,,,<cn>,<{level=411;advance=31;unitId=513682};{level=411;advance=31;unitId=523541};{level=411;advance=31;unitId=513161};{level=411;advance=31;unitId=530251};{level=411;advance=31;unitId=543191}>,<{level=411;advance=31;unitId=531422}>,<{level=411;advance=31;unitId=514651};{level=411;advance=31;unitId=520252};{level=411;advance=31;unitId=510591};{level=411;advance=31;unitId=534651};{level=411;advance=31;unitId=543542}>,<{level=411;advance=31;unitId=531391}>,,,,<<7;1;22%>;<8;1;22%>>,{451=50;452=20;gold=320000},<<gold;320000;1>;<451;50;1>;<452;20;1>>,130,130,130,第6关
200007,,,413,battle/scene/bg_sd.jpg,,,,4,550,550,550,413,413,,,,26,,config/portrait/jinglingtouxiang1/img_633_dsl@.png,,,,,,,<cn>,<{level=413;advance=31;unitId=511812};{level=413;advance=31;unitId=523152};{level=413;advance=31;unitId=513981};{level=413;advance=31;unitId=530441};{level=413;advance=31;unitId=542043}>,<{level=413;advance=31;unitId=533141}>,<{level=413;advance=31;unitId=512493};{level=413;advance=31;unitId=524132};{level=413;advance=31;unitId=514011};{level=413;advance=31;unitId=530712};{level=413;advance=31;unitId=542471}>,<{level=413;advance=31;unitId=533353}>,,,,<<7;0;21%>;<8;0;21%>;<14;0;21%>>,{502=1;451=50;gold=320000},<<gold;320000;1>;<451;50;1>;<502;1;1>>,130,130,130,第7关
200008,,,415,battle/scene/bg_tower.jpg,,,,5,575,575,575,415,415,,,,26,,config/portrait/jinglingtouxiang1/img_609_sjdhl@.png,,,,,,,<cn>,<{level=415;advance=31;unitId=511173};{level=415;advance=31;unitId=521502};{level=415;advance=31;unitId=510572};{level=415;advance=31;unitId=533353};{level=415;advance=31;unitId=540971}>,<{level=415;advance=31;unitId=532993}>,<{level=415;advance=31;unitId=510771};{level=415;advance=31;unitId=521302};{level=415;advance=31;unitId=510262};{level=415;advance=31;unitId=531081};{level=415;advance=31;unitId=544623}>,<{level=415;advance=31;unitId=530753}>,,,,<<1;0;22%>>,{rmb=100;451=50;gold=320000},<<gold;320000;1>;<451;50;1>;<rmb;100;1>>,130,130,130,第8关
