变量名,huodongID,daySum,themeType,themeName,themeName_tw,tabIndex,tabName,countType,taskType,taskParam,taskSpecialParam,desc,award,costMap,priceShow,buyMax
默认值,0,0,0,"""""","""""",0,"""""",1,0,9999,{},"""""",{},{},{},1
ID,活动版本ID,累计天数,主题类型,主题名称,主_名_,页签序号,页签名称,任务计数类型 (1-强制计数; 2-只有当天计数; 3-当天开始后计数),任务类型,任务参数,任务特殊参数,描述,奖励,消耗,原价,购买次数上限
1,11001,1,0,第1天,第1天,0,每日福利,1,15,1,,每日登录豪礼,{20391=1;13=10;504=10;gold=30000},,,
2,11001,1,0,第1天,第1天,0,每日福利,2,22,300,,当日累积充值300钻石,{20391=1;13=10;504=10;gold=30000},,,
3,11001,1,0,第1天,第1天,1,等级礼包,1,1,5,,等级达到5,{20391=1;gold=2000},,,
4,11001,1,0,第1天,第1天,1,等级礼包,1,1,10,,等级达到10,{20391=1;gold=4000;12=20},,,
5,11001,1,0,第1天,第1天,1,等级礼包,1,1,15,,等级达到15,{20391=1;gold=6000;12=20},,,
6,11001,1,0,第1天,第1天,1,等级礼包,1,1,20,,等级达到20,{20391=1;gold=8000;12=20},,,
7,11001,1,0,第1天,第1天,1,等级礼包,1,1,25,,等级达到25,{20391=1;gold=10000;12=20},,,
8,11001,1,0,第1天,第1天,1,等级礼包,1,1,30,,等级达到30,{20391=1;gold=12000;12=20},,,
9,11001,1,0,第1天,第1天,1,等级礼包,1,1,35,,等级达到35,{20391=1;gold=14000;12=20},,,
10,11001,1,0,第1天,第1天,1,等级礼包,1,1,40,,等级达到40,{20391=1;gold=16000;12=20},,,
11,11001,1,0,第1天,第1天,1,等级礼包,1,1,45,,等级达到45,{20391=1;gold=18000;12=20},,,
12,11001,1,0,第1天,第1天,1,等级礼包,1,1,50,,等级达到50,{20391=1;gold=20000;12=20},,,
13,11001,1,0,第1天,第1天,2,通关之路,1,2,10103,,通过第一章3关,{20391=1;gold=10000;12=20},,,
14,11001,1,0,第1天,第1天,2,通关之路,1,2,10208,,通过第二章8关,{20391=1;gold=12000;12=20},,,
15,11001,1,0,第1天,第1天,2,通关之路,1,2,10308,,通过第三章8关,{20391=1;gold=14000;12=20},,,
16,11001,1,0,第1天,第1天,2,通关之路,1,2,10408,,通过第四章8关,{20391=1;gold=16000;12=20},,,
17,11001,1,0,第1天,第1天,2,通关之路,1,2,10510,,通过第五章10关,{20391=1;gold=18000;12=20},,,
18,11001,1,0,第1天,第1天,2,通关之路,1,2,10610,,通过第六章10关,{20391=1;gold=20000;12=20},,,
