变量名,huodongID,daySum,desc,desc_tw,desc_en,desc_vn,desc_kr,award
默认值,0,0,"""""","""""","""""","""""","""""",{}
ID,活动版本ID,累计天数,描述,描述,描述,描述_越南,描述_韩,奖励
1,1001,1,1天登录奖励,1天登錄獎勵,Day 1 Login Rewards,1 Tr?i ??ng nh?p ban th??ng,1? ??? ??,{rmb=60;20001=2;card={id=11}}
2,1001,2,2天登录奖励,2天登錄獎勵,Day 2 Login Rewards,Th??ng ??ng Nh?p 2 Ngày,2? ??? ??,{rmb=100;12=20;card={id=9002}}
3,1001,3,3天登录奖励,3天登錄獎勵,Day 3 Login Rewards,Th??ng ??ng Nh?p 3 Ngày,3? ??? ??,{rmb=200;12=20;gold=10000}
4,1001,4,4天登录奖励,4天登錄獎勵,Day 4 Login Rewards,Th??ng ??ng Nh?p 4 Ngày,4? ??? ??,{rmb=300;12=20;gold=20000}
5,1001,5,5天登录奖励,5天登錄獎勵,Day 5 Login Rewards,Th??ng ??ng Nh?p 5 Ngày,5? ??? ??,{rmb=400;12=20;gold=30000}
6,1001,6,6天登录奖励,6天登錄獎勵,Day 6 Login Rewards,Th??ng ??ng Nh?p 6 Ngày,6? ??? ??,{rmb=500;12=20;gold=40000}
7,1001,7,7天登录奖励,7天登錄獎勵,Day 7 Login Rewards,Th??ng ??ng Nh?p 7 Ngày,7? ??? ??,{rmb=600;12=20;gold=50000}
,,,,,,,,
11,1002,1,1天登录奖励,1天登錄獎勵,Day 1 Login Rewards,1 Tr?i ??ng nh?p ban th??ng,1? ??? ??,{rmb=100;6318=5;gold=100000}
12,1002,2,2天登录奖励,2天登錄獎勵,Day 2 Login Rewards,Th??ng ??ng Nh?p 2 Ngày,2? ??? ??,{rmb=100;6318=5;gold=100000}
13,1002,3,3天登录奖励,3天登錄獎勵,Day 3 Login Rewards,Th??ng ??ng Nh?p 3 Ngày,3? ??? ??,{rmb=100;6318=5;gold=100000}
14,1002,4,4天登录奖励,4天登錄獎勵,Day 4 Login Rewards,Th??ng ??ng Nh?p 4 Ngày,4? ??? ??,{rmb=100;6318=5;gold=100000}
15,1002,5,5天登录奖励,5天登錄獎勵,Day 5 Login Rewards,Th??ng ??ng Nh?p 5 Ngày,5? ??? ??,{rmb=100;6318=5;gold=100000}
16,1002,6,6天登录奖励,6天登錄獎勵,Day 6 Login Rewards,Th??ng ??ng Nh?p 6 Ngày,6? ??? ??,{rmb=100;6318=5;gold=100000}
17,1002,7,7天登录奖励,7天登錄獎勵,Day 7 Login Rewards,Th??ng ??ng Nh?p 7 Ngày,7? ??? ??,{rmb=100;6318=5;gold=100000}
18,1002,8,8天登录奖励,8天登錄獎勵,Day 8 Login Rewards,Th??ng ??ng Nh?p 8 Ngày,8? ??? ??,{rmb=100;6318=5;gold=100000}
19,1002,9,9天登录奖励,9天登錄獎勵,Day 9 Login Rewards,Th??ng ??ng Nh?p 9 Ngày,9? ??? ??,{rmb=100;6318=5;gold=100000}
,,,,,,,,
1001,10001,1,新手福利第1天,新手福利第1天,404,Phúc L?i Tan Th? Ngày 1,?? ?? 1? ?,{3031=100;3128=100;8080=1;2126=1}
1002,10001,2,新手福利第2天,新手福利第2天,404,Phúc L?i Tan Th? Ngày 2,?? ?? 2? ?,{8066=1;2068=1;500=888;card={id=4024}}
1003,10001,3,新手福利第3天,新手福利第3天,404,Phúc L?i Tan Th? Ngày 3,?? ?? 3? ?,{8054=1;2064=1;501=888;card={id=4023}}
1004,10001,4,新手福利第4天,新手福利第4天,404,Phúc L?i Tan Th? Ngày 4,?? ?? 4? ?,{8076=1;2124=1;541=888;card={id=7051}}
1005,10001,5,新手福利第5天,新手福利第5天,404,Phúc L?i Tan Th? Ngày 5,?? ?? 5? ?,{8098=1;2127=1;6071=888;card={id=7061}}
1006,10001,6,新手福利第6天,新手福利第6天,404,Phúc L?i Tan Th? Ngày 6,?? ?? 6? ?,{8026=1;2057=1;2181=5;card={id=3601}}
1007,10001,7,新手福利第7天,新手福利第7天,404,Phúc L?i Tan Th? Ngày 7,?? ?? 7? ?,{8152=1;8142=1;7364=8;7363=18}
,,,,,,,,
1101,11001,1,连续登录第1天,連續登錄第1天,404,??ng Nh?p Liên T?c Ngày 1,?? ??? 1? ?,{rmb=100;}
1102,11001,2,连续登录第2天,連續登錄第2天,404,??ng Nh?p Liên T?c Ngày 2,?? ??? 2? ?,{card={id=271};rmb=100;}
1103,11001,3,连续登录第3天,連續登錄第3天,404,??ng Nh?p Liên T?c Ngày 3,?? ??? 3? ?,{card={id=391};rmb=100;13=20}
1104,11001,4,连续登录第4天,連續登錄第4天,404,??ng Nh?p Liên T?c Ngày 4,?? ??? 4? ?,{rmb=120;100=3;503=2;gold=12000}
1105,11001,5,连续登录第5天,連續登錄第5天,404,??ng Nh?p Liên T?c Ngày 5,?? ??? 5? ?,{rmb=120;501=1;451=30;gold=15000}
1106,11001,6,连续登录第6天,連續登錄第6天,404,??ng Nh?p Liên T?c Ngày 6,?? ??? 6? ?,{rmb=120;talent_point=3;502=2;gold=20000}
1107,11001,7,连续登录第7天,連續登錄第7天,404,??ng Nh?p Liên T?c Ngày 7,?? ??? 7? ?,{card={id=771};rmb=150;13=20;gold=30000}
,,,,,,,,
1201,12001,1,对应天数第1天,對應天數第1天,404,S? Ngày T??ng ?ng Ngày 1,?? ?? 1? ?,{rmb=100;}
1202,12001,2,对应天数第2天,對應天數第2天,404,S? Ngày T??ng ?ng Ngày 2,?? ?? 2? ?,{card={id=271};rmb=100;}
1203,12001,3,对应天数第3天,對應天數第3天,404,S? Ngày T??ng ?ng Ngày 3,?? ?? 3? ?,{card={id=391};rmb=100;13=20}
1204,12001,4,对应天数第4天,對應天數第4天,404,S? Ngày T??ng ?ng Ngày 4,?? ?? 4? ?,{rmb=120;100=3;503=2;gold=12000}
1205,12001,5,对应天数第5天,對應天數第5天,404,S? Ngày T??ng ?ng Ngày 5,?? ?? 5? ?,{rmb=120;501=1;451=30;gold=15000}
1206,12001,6,对应天数第6天,對應天數第6天,404,S? Ngày T??ng ?ng Ngày 6,?? ?? 6? ?,{rmb=120;talent_point=3;502=2;gold=20000}
1207,12001,7,对应天数第7天,對應天數第7天,404,S? Ngày T??ng ?ng Ngày 7,?? ?? 7? ?,{card={id=771};rmb=150;13=20;gold=30000}
1208,12001,8,对应天数第8天,對應天數第8天,404,S? Ngày T??ng ?ng Ngày 8,?? ?? 8? ?,{rmb=100;519=10;930=5;gold=10000}
1209,12001,9,对应天数第9天,對應天數第9天,404,S? Ngày T??ng ?ng Ngày 9,?? ?? 9? ?,{card={id=271};rmb=100;31201=1;gold=10000}
1210,12001,10,对应天数第10天,對應天數第10天,404,S? Ngày T??ng ?ng Ngày 10,?? ?? 10? ?,{card={id=391};rmb=100;13=20;gold=12000}
,,,,,,,,
1301,13001,1,对应天数第1天,對應天數第1天,404,S? Ngày T??ng ?ng Ngày 1,?? ?? 1? ?,{528=10}
1302,13001,2,对应天数第2天,對應天數第2天,404,S? Ngày T??ng ?ng Ngày 2,?? ?? 2? ?,{528=10}
1303,13001,3,对应天数第3天,對應天數第3天,404,S? Ngày T??ng ?ng Ngày 3,?? ?? 3? ?,{528=10}
1304,13001,4,对应天数第4天,對應天數第4天,404,S? Ngày T??ng ?ng Ngày 4,?? ?? 4? ?,{528=10}
1305,13001,5,对应天数第5天,對應天數第5天,404,S? Ngày T??ng ?ng Ngày 5,?? ?? 5? ?,{528=10}
1306,13001,6,对应天数第6天,對應天數第6天,404,S? Ngày T??ng ?ng Ngày 6,?? ?? 6? ?,{528=10}
1307,13001,7,对应天数第7天,對應天數第7天,404,S? Ngày T??ng ?ng Ngày 7,?? ?? 7? ?,{528=10}
1308,13001,8,对应天数第8天,對應天數第8天,404,S? Ngày T??ng ?ng Ngày 8,?? ?? 8? ?,{528=10}
1309,13001,9,对应天数第9天,對應天數第9天,404,S? Ngày T??ng ?ng Ngày 9,?? ?? 9? ?,{528=10}
1310,13001,10,对应天数第10天,對應天數第10天,404,S? Ngày T??ng ?ng Ngày 10,?? ?? 10? ?,{528=10}
1311,13001,11,对应天数第11天,對應天數第11天,404,S? Ngày T??ng ?ng Ngày 11,?? ?? 11? ?,{528=10}
1312,13001,12,对应天数第12天,對應天數第12天,404,S? Ngày T??ng ?ng Ngày 12,?? ?? 12? ?,{528=10}
1313,13001,13,对应天数第13天,對應天數第13天,404,S? Ngày T??ng ?ng Ngày 13,?? ?? 13? ?,{528=10}
1314,13001,14,对应天数第14天,對應天數第14天,404,S? Ngày T??ng ?ng Ngày 14,?? ?? 14? ?,{528=10}
1315,13001,15,对应天数第15天,對應天數第15天,404,S? Ngày T??ng ?ng Ngày 15,?? ?? 15? ?,{528=10}
1316,13001,16,对应天数第16天,對應天數第16天,404,S? Ngày T??ng ?ng Ngày 16,?? ?? 16? ?,{528=10}
,,,,,,,,
1321,13002,1,对应天数第1天,對應天數第1天,404,S? Ngày T??ng ?ng Ngày 1,?? ?? 1? ?,{6376=5;6372=3;6373=3;6374=3;6375=1}
1322,13002,2,对应天数第2天,對應天數第2天,404,S? Ngày T??ng ?ng Ngày 2,?? ?? 2? ?,{6376=5;6372=3;6373=3;6374=3;6375=1}
1323,13002,3,对应天数第3天,對應天數第3天,404,S? Ngày T??ng ?ng Ngày 3,?? ?? 3? ?,{6376=5;6372=3;6373=3;6374=3;6375=1}
1324,13002,4,对应天数第4天,對應天數第4天,404,S? Ngày T??ng ?ng Ngày 4,?? ?? 4? ?,{6376=5;6372=3;6373=3;6374=3;6375=1}
1325,13002,5,对应天数第5天,對應天數第5天,404,S? Ngày T??ng ?ng Ngày 5,?? ?? 5? ?,{6376=5;6372=3;6373=3;6374=3;6375=1}
1326,13002,6,对应天数第6天,對應天數第6天,404,S? Ngày T??ng ?ng Ngày 6,?? ?? 6? ?,{6376=5;6372=3;6373=3;6374=3;6375=1}
1327,13002,7,对应天数第7天,對應天數第7天,404,S? Ngày T??ng ?ng Ngày 7,?? ?? 7? ?,{6376=5;6372=3;6373=3;6374=3;6375=1}
1328,13002,8,对应天数第8天,對應天數第8天,404,S? Ngày T??ng ?ng Ngày 8,?? ?? 8? ?,{6376=5;6372=3;6373=3;6374=3;6375=1}
1329,13002,9,对应天数第9天,對應天數第9天,404,S? Ngày T??ng ?ng Ngày 9,?? ?? 9? ?,{6376=5;6372=3;6373=3;6374=3;6375=1}
1330,13002,10,对应天数第10天,對應天數第10天,404,S? Ngày T??ng ?ng Ngày 10,?? ?? 10? ?,{6376=5;6372=3;6373=3;6374=3;6375=1}
1331,13002,11,对应天数第11天,對應天數第11天,404,S? Ngày T??ng ?ng Ngày 11,?? ?? 11? ?,{6376=5;6372=3;6373=3;6374=3;6375=1}
1332,13002,12,对应天数第12天,對應天數第12天,404,S? Ngày T??ng ?ng Ngày 12,?? ?? 12? ?,{6376=5;6372=3;6373=3;6374=3;6375=1}
1333,13002,13,对应天数第13天,對應天數第13天,404,S? Ngày T??ng ?ng Ngày 13,?? ?? 13? ?,{6376=5;6372=3;6373=3;6374=3;6375=1}
1334,13002,14,对应天数第14天,對應天數第14天,404,S? Ngày T??ng ?ng Ngày 14,?? ?? 14? ?,{6376=5;6372=3;6373=3;6374=3;6375=1}
1335,13002,15,对应天数第15天,對應天數第15天,404,S? Ngày T??ng ?ng Ngày 15,?? ?? 15? ?,{6376=5;6372=3;6373=3;6374=3;6375=1}
1336,13002,16,对应天数第16天,對應天數第16天,404,S? Ngày T??ng ?ng Ngày 16,?? ?? 16? ?,{6376=5;6372=3;6373=3;6374=3;6375=1}
,,,,,,,,
1341,13003,1,对应天数第1天,對應天數第1天,404,S? Ngày T??ng ?ng Ngày 1,?? ?? 1? ?,{6372=3;6373=3;6374=3;6375=1}
1342,13003,2,对应天数第2天,對應天數第2天,404,S? Ngày T??ng ?ng Ngày 2,?? ?? 2? ?,{6372=3;6373=3;6374=3;6375=1}
1343,13003,3,对应天数第3天,對應天數第3天,404,S? Ngày T??ng ?ng Ngày 3,?? ?? 3? ?,{6372=3;6373=3;6374=3;6375=1}
1344,13003,4,对应天数第4天,對應天數第4天,404,S? Ngày T??ng ?ng Ngày 4,?? ?? 4? ?,{6372=3;6373=3;6374=3;6375=1}
