变量名,endDate,rmbCost,endTime,vipLevel,huodongID,rechargeID,gift,showVipLevel
默认值,20160101,-1,500,0,0,-1,{},0
ID,结束日期,人民币花费,结束时间,VIP等级,活动ID,充值ID,礼包内容,展示VIP等级
,VIP礼包2 - type=82 vipGift2（huodongID=23101）,,,,,,,
101,20261201,280,,4,23101,,{5000=10;5001=5;5002=5;5003=5;gold=100000},4
103,20261201,280,,4,23101,,{gold=200000;501=2;23301=50;13=30},4
105,20261201,,,4,23101,107,{232=1;gold=200000;13=30;202=1},4
106,20261201,,,4,23101,107,{23301=150;gold=200000;13=30},4
107,20261201,880,,6,23101,,{2221=1;card={id=1303};gold=200000;13=30;2004=1},6
108,20261201,880,,6,23101,,{203=1;gold=200000;2103=30;223=1;13=30},6
109,20261201,,1200,6,23101,108,{21301=100;gold=200000;6100=1;902=20;13=30},6
110,20261201,,1200,6,23101,108,{14=10;233=1;213=1;30315=1;902=20;gold=300000},6
111,20261201,1280,1400,9,23101,,{21301=100;gold=300000;2216=1;902=40;14=10},9
112,20261201,1480,1400,9,23101,,{14=10;gold=300000;501=10;card={id=761};902=60;2006=1},9
113,20261201,2480,1000,9,23101,109,{14=10;gold=500000;221=1;201=1;902=100;20761=160},9
114,20261201,,1000,9,23101,110,{231=1;gold=500000;6101=1;20761=160;902=200;211=1},9
115,20261201,2880,,10,23101,,{30401=1;2213=1;gold=1000000;521=240;14=10;902=300},10
116,20261201,3280,,10,23101,,{gold=3000000;521=80;501=20;6102=1;902=300;6106=1},10
117,20261201,,,10,23101,110,{gold=5000000;521=160;2153=3;6107=1;902=300;2103=300},10
118,20261201,,,10,23101,111,{994=10;gold=8000000;521=240;529=20000;902=300;604=100},10
