变量名,huodongID,floor,position,rounds,limit,weight,award
默认值,0,0,0,<>,0,100,{}
ID,活动版本ID,层级(1=一等奖;2=二等奖;3=三等奖;4=四等奖),位置(二等奖用1或2),适用轮数,次数限制(一等奖用;0=无限),权重,奖励
,测试启示之塔huodongID=23500,,,,,,
,一等奖,,,,,,
1,23500,1,0,<1;2;3;4;5>,2,100,{503=10}
2,23500,1,0,<1;2;3;4;5>,2,100,{card={id=2031}}
3,23500,1,0,<2;3;4;5>,1,100,{519=5}
4,23500,1,0,<3;4;5>,1,100,{521=10}
5,23500,1,0,<4;5>,0,100,{rmb=1000}
,二等奖-位置1,,,,,,
101,23500,2,1,<1>,0,100,{gold=200000}
102,23500,2,1,<2>,0,100,{gold=300000}
103,23500,2,1,<3>,0,100,{gold=400000}
104,23500,2,1,<4>,0,100,{gold=500000}
105,23500,2,1,<5>,0,100,{rmb=200}
,二等奖-位置2,,,,,,
111,23500,2,2,<1>,0,100,{502=3}
112,23500,2,2,<2>,0,100,{502=5}
113,23500,2,2,<3>,0,100,{521=3}
114,23500,2,2,<4>,0,100,{521=5}
115,23500,2,2,<5>,0,100,{519=3}
,三等奖,,,,,,
201,23500,3,0,<1;2;3;4;5>,0,100,{gold=100000}
202,23500,3,0,<1;2;3;4;5>,0,100,{rmb=50}
203,23500,3,0,<1;2;3;4;5>,0,100,{451=30}
,四等奖,,,,,,
301,23500,4,0,<1;2;3;4;5>,0,100,{gold=50000}
302,23500,4,0,<1;2;3;4;5>,0,100,{14=10}
303,23500,4,0,<1;2;3;4;5>,0,100,{100=5}
304,23500,4,0,<1;2;3;4;5>,0,100,{12=20}
