变量名,floor,blankNum,blockIdx1,blockIdx2,blockIdx3,blockIdx4,blockIdx5,blockIdx6,blockIdx7,blockIdx8,__version
默认值,0,<0;0>,0,0,0,0,0,0,0,0,
ID,起始楼层,空白格数范围,方块1权重,方块2权重,方块3权重,方块4权重,方块5权重,方块6权重,方块7权重,方块8权重,__version
,移动方块-楼层随机配置 - type=91 moveBlock,,,,,,,,,,
1,5,<1;2>,30,25,20,15,10,0,0,0,
2,10,<1;3>,25,25,20,15,10,5,0,0,
3,15,<1;3>,20,20,20,15,10,10,5,0,
4,20,<2;3>,15,15,20,15,15,10,5,5,
5,25,<2;4>,10,15,15,15,15,15,10,5,
6,30,<2;4>,10,10,15,15,15,15,10,10,
7,35,<2;4>,5,10,15,15,15,15,15,10,
8,40,<2;5>,5,5,10,15,15,15,15,20,
