变量名,huodongID,_beizhu,daySum,amount,desc,desc_tw,desc_en,desc_vn,desc_kr,award,special
默认值,0,-1,-1,0,"""""","""""","""""","""""","""""",{},{}
ID,活动版本ID,备注,每日计数-1表示不计数,额度,描述,描述,描述,描述_越南,描述_韩,奖励,特殊奖励
1,4003,凯西大放送,1,300,累计充值300钻石,累計儲值300鑽石,Cumulative Recharge 300 Diamond,Tính gộp lại nạp tiền 300 Kim cương,300다이아 누적 충전,{20261=10;gold=60000;13=6},
2,4003,凯西大放送,2,300,累计充值300钻石,累計儲值300鑽石,Cumulative Recharge 300 Diamond,Tính gộp lại nạp tiền 300 Kim cương,300다이아 누적 충전,{20261=10;gold=70000;13=6},
3,4003,凯西大放送,3,300,累计充值300钻石,累計儲值300鑽石,Cumulative Recharge 300 Diamond,Tính gộp lại nạp tiền 300 Kim cương,300다이아 누적 충전,{20261=10;gold=80000;13=6},
4,4003,凯西大放送,4,300,累计充值300钻石,累計儲值300鑽石,Cumulative Recharge 300 Diamond,Tính gộp lại nạp tiền 300 Kim cương,300다이아 누적 충전,{20261=10;gold=90000;13=6},
5,4003,凯西大放送,5,300,累计充值300钻石,累計儲值300鑽石,Cumulative Recharge 300 Diamond,Tính gộp lại nạp tiền 300 Kim cương,300다이아 누적 충전,{rmb=10;gold=100000;13=6;20261=100},{20261=100}
,,,,,,,,,,,
6,4004,喷火龙大礼包,1,600,累计充值300钻石,累計儲值300鑽石,Cumulative Recharge 300 Diamond,Tính gộp lại nạp tiền 300 Kim cương,300다이아 누적 충전,{20011=10;gold=60000;13=6},
7,4004,喷火龙大礼包,2,600,累计充值300钻石,累計儲值300鑽石,Cumulative Recharge 300 Diamond,Tính gộp lại nạp tiền 300 Kim cương,300다이아 누적 충전,{20011=10;gold=70000;13=6},
8,4004,喷火龙大礼包,3,600,累计充值300钻石,累計儲值300鑽石,Cumulative Recharge 300 Diamond,Tính gộp lại nạp tiền 300 Kim cương,300다이아 누적 충전,{20011=10;gold=80000;13=6},
9,4004,喷火龙大礼包,4,600,累计充值300钻石,累計儲值300鑽石,Cumulative Recharge 300 Diamond,Tính gộp lại nạp tiền 300 Kim cương,300다이아 누적 충전,{20011=10;gold=90000;13=6},
10,4004,喷火龙大礼包,5,600,累计充值300钻石,累計儲值300鑽石,Cumulative Recharge 300 Diamond,Tính gộp lại nạp tiền 300 Kim cương,300다이아 누적 충전,{20011=10;gold=90000;13=6;card={id=11}},{card={id=11}}
,,,,,,,,,,,
11,4005,喷火龙大礼包,1,60,累计充值300钻石,累計儲值300鑽石,Cumulative Recharge 300 Diamond,Tính gộp lại nạp tiền 300 Kim cương,300다이아 누적 충전,{20031=10;gold=60000;13=6},
12,4005,喷火龙大礼包,2,60,累计充值300钻石,累計儲值300鑽石,Cumulative Recharge 300 Diamond,Tính gộp lại nạp tiền 300 Kim cương,300다이아 누적 충전,{20031=10;gold=70000;13=6},
13,4005,喷火龙大礼包,3,60,累计充值300钻石,累計儲值300鑽石,Cumulative Recharge 300 Diamond,Tính gộp lại nạp tiền 300 Kim cương,300다이아 누적 충전,{20031=10;gold=80000;13=6},
14,4005,喷火龙大礼包,4,60,累计充值300钻石,累計儲值300鑽石,Cumulative Recharge 300 Diamond,Tính gộp lại nạp tiền 300 Kim cương,300다이아 누적 충전,{20031=10;gold=90000;13=6},
15,4005,喷火龙大礼包,5,60,累计充值300钻石,累計儲值300鑽石,Cumulative Recharge 300 Diamond,Tính gộp lại nạp tiền 300 Kim cương,300다이아 누적 충전,{rmb=10;gold=100000;13=6;20031=100},{20031=100}
,,,,,,,,,,,
101,4011,开服连续充值30元,1,300,累计充值300钻石,累計儲值300鑽石,Cumulative Recharge 300 Diamond,Tính gộp lại nạp tiền 300 Kim cương,300다이아 누적 충전,{20591=10;516=6;gold=60000},
102,4011,开服连续充值30元,2,300,累计充值300钻石,累計儲值300鑽石,Cumulative Recharge 300 Diamond,Tính gộp lại nạp tiền 300 Kim cương,300다이아 누적 충전,{20591=10;516=6;gold=70000},
103,4011,开服连续充值30元,3,300,累计充值300钻石,累計儲值300鑽石,Cumulative Recharge 300 Diamond,Tính gộp lại nạp tiền 300 Kim cương,300다이아 누적 충전,{20591=10;516=6;gold=80000},
104,4011,开服连续充值30元,4,300,累计充值300钻石,累計儲值300鑽石,Cumulative Recharge 300 Diamond,Tính gộp lại nạp tiền 300 Kim cương,300다이아 누적 충전,{20591=10;516=6;gold=90000},
105,4011,开服连续充值30元,5,300,累计充值300钻石,累計儲值300鑽石,Cumulative Recharge 300 Diamond,Tính gộp lại nạp tiền 300 Kim cương,300다이아 누적 충전,{card={id=9002};20591=10;516=6;gold=100000},{card={id=9002}}
,,,,,,,,,,,
201,4012,开服连续充值30元,1,300,累计充值300钻石,累計儲值300鑽石,Cumulative Recharge 300 Diamond,Tính gộp lại nạp tiền 300 Kim cương,300다이아 누적 충전,{21291=10;2103=2;gold=60000},
202,4012,开服连续充值30元,2,300,累计充值300钻石,累計儲值300鑽石,Cumulative Recharge 300 Diamond,Tính gộp lại nạp tiền 300 Kim cương,300다이아 누적 충전,{21291=10;2103=2;gold=70000},
203,4012,开服连续充值30元,3,300,累计充值300钻石,累計儲值300鑽石,Cumulative Recharge 300 Diamond,Tính gộp lại nạp tiền 300 Kim cương,300다이아 누적 충전,{21291=10;2103=2;gold=80000},
204,4012,开服连续充值30元,4,300,累计充值300钻石,累計儲值300鑽石,Cumulative Recharge 300 Diamond,Tính gộp lại nạp tiền 300 Kim cương,300다이아 누적 충전,{21291=10;2103=2;gold=90000},
205,4012,开服连续充值30元,5,300,累计充值300钻石,累計儲值300鑽石,Cumulative Recharge 300 Diamond,Tính gộp lại nạp tiền 300 Kim cương,300다이아 누적 충전,{card={id=9002};21291=10;2103=2;gold=100000},{card={id=9002}}
,,,,,,,,,,,
211,4013,开服连续充值30元-懒人獭,1,300,累计充值300钻石,累計儲值300鑽石,Cumulative Recharge 300 Diamond,Tính gộp lại nạp tiền 300 Kim cương,300다이아 누적 충전,{21421=10;2103=2;gold=60000},
212,4013,开服连续充值30元,2,300,累计充值300钻石,累計儲值300鑽石,Cumulative Recharge 300 Diamond,Tính gộp lại nạp tiền 300 Kim cương,300다이아 누적 충전,{21421=10;2103=2;gold=70000},
213,4013,开服连续充值30元,3,300,累计充值300钻石,累計儲值300鑽石,Cumulative Recharge 300 Diamond,Tính gộp lại nạp tiền 300 Kim cương,300다이아 누적 충전,{21421=10;2103=2;gold=80000},
214,4013,开服连续充值30元,4,300,累计充值300钻石,累計儲值300鑽石,Cumulative Recharge 300 Diamond,Tính gộp lại nạp tiền 300 Kim cương,300다이아 누적 충전,{21421=10;2103=2;gold=90000},
215,4013,开服连续充值30元,5,300,累计充值300钻石,累計儲值300鑽石,Cumulative Recharge 300 Diamond,Tính gộp lại nạp tiền 300 Kim cương,300다이아 누적 충전,{card={id=9002};21421=10;2103=2;gold=100000},{card={id=9002}}
