变量名,_beizhu,name,icon,icon1,rDesc,type,independent,desc,paramMap,clientParam,huodongID,countType,openType,validServerOpenDateRange,validRoleCreatedDateRange,beginDate,beginTime,endDate,endTime,relativeDayRange,openDuration,leastLevel,leastVipLevel,serverDayRange,roleDayRange,servers,languages,active,sortWeight,redpoint,independentTab
默认值,"""""","""""",city/main/icon_thlb.png,0,"""rDesc""",0,0,"""""",{},{},0,1,1,<20160101;20990101>,<20160101;20990101>,20160101,500,20200101,500,<0;9999>,1,0,0,<-1;9999>,<-1;9999>,{dev=<1;999999>;cn=<1;999999>;cn_qd=<1;999999>;tw=<1;999999>;kr=<1;999999>;en=<1;999999>;xy=<1;999999>},<cn;tw;en;vn;th;kr>,0,0,0,1
ID,备注,显示用,活动图示,活动角标(1:热门，2: 限时，3:最新),活动右边子面板描述 rDesc 预设没有文本，不会显示,活动分类,"""-1: 不显示(如魂匣，海报等); 0: 活动内置（限时活动）; 1: 活动外部显示（收纳）; 2: 活动外部显示（不收纳）; 3: 活动内置（福利入口）;4: 外部收纳+活动; 5: 外部收纳+福利""""",活动简介,活动参数,客户端需要参数(1.isShowCountDown=false活动倒计时隐藏、2.generalTaskDisappear=true活动奖励领取完页签消失、3.isShowTitle=false标题隐藏、4.limitId魂匣索引、5.priviewId抽卡预览索引),活动版本ID,计数类型0-每日、1-累计、特殊活动类型忽略,开放周期(0=一次性、1=每日活动、2=周期活动、3-相对开服日期、4-相对角色创建时间),生效的开服时间区间,生效的创角时间区间,开始日期,开始时间,截止日期,截止时间,持续的相对天数（3、4类型使用）,持续小时,最低等级限制,最低VIP限制,开服时间限制,创角时间限制,服务器,语言区域,是否激活,排序值,提示性红点（1为开启，0为关闭）,1=节日、2=限时、3=福利、4=日常
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,限时时装,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100001,限时时装,,city/main/icon_xspf.png,2,,71,1,限时时装商店,{},{cityTheme=directBuyGiftSkin},100001,1,0,,,20260101,500,20260301,500,,5000000,,,,,,,1,26,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,大小月卡,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,30月卡_固定不动,,ICON/yunying/yueka.png,,活动时间内，完成对应目标就可以获得奖励！,6,0,月卡,{rechargeID=1;award={rmb=58888;coin22=8888;521=200};privilege=1;title=35;most=3},,,,,,,20160625,500,20990101,500,,24,,,,,,<cn;tw;en;kr>,1,3,1,3
12,88月卡_固定不动,,ICON/yunying/yueka.png,,活动时间内，完成对应目标就可以获得奖励！,6,0,至尊月卡,{rechargeID=2;award={rmb=88888;coin22=18888;521=500};privilege=2;title=36;most=3},,,,,,,20160625,500,20990101,500,,24,,,,,,<cn;tw;en;kr>,1,3,,3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,开局福利,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100101,欢迎邮件_固定不动,,,,活动时间内，完成对应目标就可以获得奖励！,-1,-1,完美口袋公益服,{mailID=134},,,,4,,,20190816,500,20990101,500,<0;0>,5000000,,,,,,<cn;tw;en;kr>,1,0,,
100102,欢迎邮件_固定不动,,,,活动时间内，完成对应目标就可以获得奖励！,-1,-1,完美口袋公益服,{mailID=135},,,,4,,,20190816,500,20990101,500,<0;0>,5000000,,,,,,<cn;tw;en;kr>,1,0,,
100103,欢迎邮件_固定不动,,,,活动时间内，完成对应目标就可以获得奖励！,-1,-1,完美口袋公益服,{mailID=136},,,,4,,,20190816,500,20990101,500,<0;0>,5000000,,,,,,<cn;tw;en;kr>,1,0,,
100104,欢迎邮件_固定不动,,,,活动时间内，完成对应目标就可以获得奖励！,-1,-1,完美口袋公益服,{mailID=137},,,,4,,,20190816,500,20990101,500,<0;0>,5000000,,,,,,<cn;tw;en;kr>,1,0,,
100105,欢迎邮件_固定不动,,,,活动时间内，完成对应目标就可以获得奖励！,-1,-1,完美口袋公益服,{mailID=138},,,,4,,,20190816,500,20990101,500,<0;0>,5000000,,,,,,<cn;tw;en;kr>,1,0,,
100106,欢迎邮件_固定不动,,,,活动时间内，完成对应目标就可以获得奖励！,-1,-1,完美口袋公益服,{mailID=139},,,,4,,,20190816,500,20990101,500,<0;0>,5000000,,,,,,<cn;tw;en;kr>,1,0,,
