变量名,huodongID,rechargeID,icon,name,awards,buyTimes,optionalAwards1,optionalAwards2,optionalAwards3,optionalAwards4
默认值,,0,"""""","""""",{},0,<>,<>,<>,<>
ID,活动版本号,对应的兑换ID,礼包资源图,优惠礼包,固定奖励（可为空）,限购次数,自选槽位配置1,自选槽位配置2,自选槽位配置3,自选槽位配置4
1,1001,101,,1元订制礼包,,1,<{53=20};{111=10};{rmb=30};{card={id=11}}>,,,
2,1001,102,,6元订制礼包,,2,<{602=10};{925=1};{rmb=30};{card={id=11}}>,,,
3,1001,103,,12元订制礼包,{rmb=200},1,<{602=10};{925=1};{rmb=30};{card={id=11}}>,,,
4,1001,104,,18元订制礼包,{rmb=300},2,<{20001=5};{925=1};{rmb=30};{card={id=11}}>,,,
5,1001,105,,25元订制礼包,,1,<{20001=5};{925=1};{rmb=30};{card={id=11}}>,,,
6,1001,106,,30元订制礼包,,2,<{20641=10};{20721=10};{20731=10};{20741=10}>,<{coin7=300};{coin8=300};{coin14=300};{coin1=300}>,,
7,1001,107,,60元订制礼包,{rmb=600},1,<{card={id=1031}};{card={id=1081}};{card={id=1171}};{card={id=1291}}>,,,
8,1001,108,,98元订制礼包,,2,<{card={id=1221}};{card={id=1231}};{card={id=1241}}>,<{coin7=1000};{coin8=1000};{coin14=1000};{coin1=1000}>,<{53=90};{11=90};{100=60};{523=40}>,
9,1001,109,,128元订制礼包,{rmb=1280},1,<{card={id=1221}};{card={id=1231}};{card={id=1241}}>,,,
10,1001,110,,168元订制礼包,{rmb=1680},2,<{502=50};{521=20}>,<{gold=1000000};{coin6=1000};{coin10=1000};{coin11=1000}>,,
11,1001,111,,198元订制礼包,{967=20},1,<{602=100};{603=60}>,<{6231=2};{6232=2};{6233=2};{6234=2}>,,
12,1001,112,,328元订制礼包,,2,<{502=100};{521=50}>,<{coin7=5000};{coin8=5000};{coin14=5000};{coin1=5000}>,<{53=300};{11=300};{100=100};{523=100}>,<{20641=50};{20721=50};{20731=50};{20741=50}>
