变量名,huodongID,award,weight,quality
默认值,0,{},100,3
ID,活动版本ID,奖励,权重,品质
,幸运抽奖-奖池 huodongID=104003,,,
1,104003,{rmb=1000},5,1
2,104003,{503=10},10,1
3,104003,{card={id=2031}},3,1
4,104003,{521=10},15,1
5,104003,{519=5},20,3
6,104003,{502=5},25,3
7,104003,{gold=500000},60,3
8,104003,{rmb=200},30,3
9,104003,{451=50},70,3
10,104003,{529=80},80,3
11,104003,{gold=300000},85,3
12,104003,{850=50},65,3
13,104003,{100=10},75,3
14,104003,{2101=10},55,3
15,104003,{12=30},90,3
16,104003,{gold=200000},95,3
17,104003,{stamina=200},80,3
18,104003,{605=5},45,3
