变量名,pointRange,huodongID,award,__version
默认值,0,0,{},
ID,本局积分达标线,活动版本ID,单局结算奖励,__version
,奥术组构-单局结算奖励（huodongID=1000）,,,
1,10,1000,{870=3;5000=3;gold=30000},
2,150,1000,{870=4;5000=4;gold=40000},
3,300,1000,{870=5;5000=5;gold=50000},
4,500,1000,{870=6;5000=6;gold=60000},
5,750,1000,{870=7;5000=7;gold=70000},
6,1000,1000,{870=8;5000=8;gold=80000},
7,1300,1000,{870=9;5000=9;gold=90000},
8,1600,1000,{870=10;5000=10;gold=100000},
9,2000,1000,{870=11;5000=11;gold=110000},
10,2500,1000,{870=12;5000=12;gold=120000},
11,3000,1000,{870=13;5000=13;gold=130000},
12,3500,1000,{870=14;5000=14;gold=140000},
13,4000,1000,{870=15;5000=15;gold=150000},
