变量名,huodongID,day,award
默认值,,99,{}
ID,活动版本号,天数,资源奖励
101,1001,1,{rmb=160;11=30;gold=200000}
102,1001,2,{rmb=160;11=30;gold=200000}
103,1001,3,{rmb=160;11=30;gold=200000}
104,1001,4,{rmb=160;11=30;gold=200000}
105,1001,5,{rmb=160;11=30;gold=200000}
106,1001,6,{rmb=160;11=30;gold=200000}
107,1001,7,{rmb=160;11=30;gold=200000}
,,,
111,1002,1,{519=6;rmb=980;gold=2000000}
112,1002,2,{519=2;rmb=300;gold=500000}
113,1002,3,{519=2;rmb=300;gold=500000}
114,1002,4,{519=2;rmb=300;gold=500000}
115,1002,5,{519=2;rmb=300;gold=500000}
116,1002,6,{519=2;rmb=300;gold=500000}
117,1002,7,{519=2;rmb=300;gold=500000}
,,,
121,1003,1,{502=9;rmb=980;452=200}
122,1003,2,{502=3;rmb=300;452=50}
123,1003,3,{502=3;rmb=300;452=50}
124,1003,4,{502=3;rmb=300;452=50}
125,1003,5,{502=3;rmb=300;452=50}
126,1003,6,{502=3;rmb=300;452=50}
127,1003,7,{502=3;rmb=300;452=50}
,,,
100701,100701,1,{521=888;rmb=888888;925=2;937=1}
100702,100701,2,{521=288;519=500;2153=2;2103=200}
100703,100701,3,{521=288;520=500;19=200;452=2000}
100704,100701,4,{521=288;531=500;850=5000;851=2000;16=10000}
100705,100701,5,{521=288;537=500;4000=20000;161=2000;142=2000}
100706,100701,6,{521=288;541=500;966=10;967=5;994=5}
100707,100701,7,{521=288;7325=5;7364=2;7363=5;133=300}
,,,
,畅玩补给卡-每日奖励 huodongID=103101,,
103101,103101,1,{521=888;rmb=888888;925=2;937=1}
103102,103101,2,{521=288;519=500;2153=2;2103=200}
103103,103101,3,{521=288;520=500;19=200;452=2000}
103104,103101,4,{521=288;531=500;850=5000;851=2000;16=10000}
103105,103101,5,{521=288;537=500;4000=20000;161=2000;142=2000}
103106,103101,6,{521=288;541=500;966=10;967=5;994=5}
103107,103101,7,{521=288;7325=5;7364=2;7363=5;133=300}
