变量名,huodongID,item,rmbShow,rmbCost,buyMax,logo,refresh
默认值,0,{},100,90,10,,FALSE
ID,活动版本ID,道具id,原价,现价,购买次数上限,"""商品角标(0:折扣，1:热，2: 限，3:新)""",刷新方式（无刷新/每日刷新）
1,23001,{100=3},300,60,40,0,FALSE
2,23001,{520=10},1000,300,20,1,FALSE
3,23001,{gold=1},600,120,30,2,FALSE
4,23002,{gold=1},2000,400,15,,FALSE
5,23002,{gold=300000},750,150,20,,FALSE
6,23002,{gold=1},3000,600,80,,FALSE
,,,,,,,
101,23101,{501=1},320,160,2,0,FALSE
102,23101,{930=100},1000,450,2,0,FALSE
103,23101,{503=5},400,240,2,0,FALSE
104,23101,{15=100},1500,500,2,0,FALSE
105,23101,{502=3},300,90,3,0,FALSE
106,23101,{902=10},300,150,3,0,FALSE
107,23101,{850=200},300,90,2,0,FALSE
108,23101,{851=100},300,90,2,0,FALSE
109,23101,{529=2000},1000,400,1,0,FALSE
,23212,{940=100},1000,450,1,0,FALSE
,,,,,,,
120,23102,{501=1},320,160,2,0,FALSE
121,23102,{930=100},1000,450,2,0,FALSE
122,23102,{503=5},400,240,2,0,FALSE
123,23102,{15=100},1500,500,2,0,FALSE
124,23102,{502=3},300,90,3,0,FALSE
125,23102,{902=10},300,150,3,0,FALSE
126,23102,{850=200},300,90,2,0,FALSE
127,23102,{851=100},300,90,2,0,FALSE
128,23102,{529=2000},1000,400,1,0,FALSE
,,,,,,,
1001,23201,{6305=1},100,60,10,2,TRUE
1002,23201,{6306=10},1000,550,10,2,TRUE
1003,23201,{6307=30},3000,1500,10,2,TRUE
,,,,,,,
1011,23202,{6401=1},100,60,10,2,TRUE
1012,23202,{6402=10},1000,550,10,2,TRUE
1013,23202,{6403=30},3000,1500,10,2,TRUE
,,,,,,,
1021,23203,{6404=1},100,60,10,2,TRUE
1022,23203,{6405=10},1000,550,10,2,TRUE
1023,23203,{6406=30},3000,1500,10,2,TRUE
,,,,,,,
1031,23204,{6407=1},100,60,10,2,TRUE
1032,23204,{6408=10},1000,550,10,2,TRUE
1033,23204,{6409=30},3000,1500,10,2,TRUE
,,,,,,,
1041,23205,{6410=1},100,60,10,2,TRUE
1042,23205,{6411=10},1000,550,10,2,TRUE
1043,23205,{6412=30},3000,1500,10,2,TRUE
,,,,,,,
1044,23206,{6413=1},100,60,10,2,TRUE
1045,23206,{6414=10},1000,550,10,2,TRUE
1046,23206,{6415=30},3000,1500,10,2,TRUE
,,,,,,,
1047,23207,{6416=1},100,60,10,2,TRUE
1048,23207,{6417=10},1000,550,10,2,TRUE
1049,23207,{6418=30},3000,1500,10,2,TRUE
,,,,,,,
1050,23208,{502=1},100,10,3,0,FALSE
1051,23208,{521=1},300,30,3,0,FALSE
1052,23208,{519=1},200,50,3,0,FALSE
1053,23208,{527=1},220,58,3,0,FALSE
1054,23208,{503=1},68,20,3,0,FALSE
1055,23208,{520=1},128,38,3,0,FALSE
1056,23208,{gold=200000},50,5,10,0,FALSE
1057,23208,{515=1},30,10,3,0,FALSE
1058,23208,{501=1},680,128,2,0,FALSE
1059,23208,{6059=1},6000,1680,1,0,FALSE
1060,23208,{963=1},2000,480,1,0,FALSE
1061,23208,{962=1},680,120,2,0,FALSE
,,,,,,,
1071,23209,{6327=1},88,8,2,2,TRUE
1072,23209,{6328=1},188,88,2,2,TRUE
1073,23209,{6329=1},388,188,2,2,TRUE
,钻石商城,,,,,,
100100,100401,{gold=50000000},999999,50000,50,1,FALSE
100101,100401,{500=30;gold=20000000},999999,50000,50,1,FALSE
100102,100401,{skill_point=30000;gold=10000000},999999,50000,50,1,FALSE
100103,100401,{16=10000;gold=10000000},999999,50000,50,1,FALSE
100104,100401,{521=80;gold=10000000},999999,50000,20,1,FALSE
