变量名,huodongID,costMap,items,exchangeTimes,limit,desc
默认值,0,{},{},0,{},""""""
ID,活动版本ID,消耗道具,兑换道具,兑换限制次数0无限,兑换限制(1-vip;2-等级;3-图鉴;4-头像;5-皮肤),描述
1,10001,{gold=100;rmb=11},{gold=1},10,,测试活动
2,10001,{gold=100;rmb=13},{gold=1},5,,测试活动
3,10001,{gold=100;rmb=13},{gold=1},4,,测试活动
4,10001,{gold=100;rmb=15},{gold=1},4,,测试活动
5,10001,{gold=100;rmb=16},{gold=1},4,,测试活动
6,10001,{gold=100;rmb=18},{gold=1},4,,测试活动
7,10001,{gold=109},{gold=1},4,,测试活动
8,10001,{gold=111},{gold=1},4,,测试活动
,,,,,,
11,10002,{gold=100;rmb=11},{gold=1},10,,测试活动
12,10002,{gold=100;rmb=13},{gold=1},5,,测试活动
13,10002,{gold=100;rmb=13},{gold=1},4,,测试活动
14,10002,{gold=100;rmb=15},{gold=1},4,,测试活动
15,10002,{gold=100;rmb=16},{gold=1},4,,测试活动
16,10002,{gold=100;rmb=18},{gold=1},4,,测试活动
17,10002,{gold=109},{gold=1},4,,测试活动
18,10002,{gold=111},{gold=1},4,,测试活动
,,,,,,
101,1001,{yycoin=1},{2300=1},1,{4=900},圣诞节专属头像
102,1001,{yycoin=10},{2008=1},1,,圣诞节专属称号框
103,1001,{yycoin=10},{2400=1},1,,圣诞节称号
104,1001,{yycoin=10},{talent_point=2},3,,天赋点*2
105,1001,{yycoin=1},{515=1},5,,体力药水(中)*1
106,1001,{yycoin=1},{502=1},8,,万能升星碎片*1
107,1001,{yycoin=1},{501=1},3,,觉醒合金*1
108,1001,{yycoin=1},{rmb=388},1,,钻石*388
109,1001,{yycoin=1},{519=10},1,,抽卡券*10
110,1001,{yycoin=1},{503=10},1,,饰品钥匙*5
111,1001,{yycoin=1},{520=5},1,,探险器抽卡*5
112,1001,{yycoin=1},{gold=100000},30,,金币*10w
113,1001,{yycoin=1},{930=8},30,,晶石盒子*5
114,1001,{yycoin=10},{2102=2},30,,蓝携带强化*2
115,1001,{yycoin=10},{5000=8},30,,能量药剂*5
116,1001,{yycoin=100},{902=1},30,,紫色好感度礼物*1
117,1001,{yycoin=1},{850=20},30,,蓝色潜能石*30
118,1001,{yycoin=1000},{8000=1},1,{5=101},几何雪花·圣诞魔影
119,1001,{yycoin=1000},{8008=1},1,{5=105},街头拳手·巨钳螳螂
120,1001,{yycoin=500},{card={id=11}},1,{3=11},小火龙
,,,,,,
,10012,{gold=50000},{611=10},5,,金币*5W   兑换   晶石盒子*10
,10012,{gold=30000},{5000=10},10,,金币*3W   兑换   能量药剂*10
,10012,{gold=100000},{504=10},3,,金币*10W   兑换   斗魂精华*10
,10012,{rmb=600},{411=150},3,,钻石*600   兑换   神器能量之魂*150
,10012,{rmb=600},{603=20},3,,钻石*600   兑换   紫色礼物盒子*20
,10012,{rmb=180},{21001=3},2,,钻石*180   兑换   亚古兽碎片*3
,10012,{rmb=180},{21002=3},2,,钻石*180   兑换   加鲁鲁兽碎片*3
,10012,{rmb=180},{21004=3},2,,钻石*180   兑换   巴多拉兽碎片*3
,10012,{rmb=180},{21011=3},2,,钻石*180   兑换   战甲兽碎片*3
,10012,{rmb=180},{21015=3},2,,钻石*180   兑换   九尾狐兽碎片*3
,10012,{rmb=180},{21022=3},2,,钻石*180   兑换   巫师兽碎片*3
,10012,{rmb=180},{21033=3},2,,钻石*180   兑换   黑狮兽碎片*3
,10012,{rmb=180},{21028=3},2,,钻石*180   兑换   裂波兽碎片*3
,10012,{rmb=240},{21031=3},1,,钻石*240   兑换   电光兽碎片*3
,10012,{rmb=240},{21026=3},1,,钻石*240   兑换   伽奥伽兽碎片*3
,10012,{rmb=240},{21023=3},1,,钻石*240   兑换   火神兽碎片*3
,10012,{rmb=280},{560=1},1,,钻石*280   兑换   进阶重生石*1
,10012,{rmb=280},{561=1},1,,钻石*280   兑换   技能重生石*1
,10012,{rmb=280},{562=1},1,,钻石*280   兑换   斗魂重生石*1
,10012,{rmb=280},{563=1},1,,钻石*280   兑换   装备重生石*1
,,,,,,
,10013,{gold=50000},{611=10},5,,金币*5W   兑换   晶石盒子*10
,10013,{gold=30000},{5000=10},10,,金币*3W   兑换   能量药剂*10
,10013,{gold=100000},{504=10},3,,金币*10W   兑换   斗魂精华*10
,10013,{rmb=600},{411=150},3,,钻石*600   兑换   神器能量之魂*150
,10013,{rmb=600},{603=20},3,,钻石*600   兑换   紫色礼物盒子*20
,10013,{rmb=280},{560=1},1,,钻石*280   兑换   进阶重生石*1
,10013,{rmb=280},{561=1},1,,钻石*280   兑换   技能重生石*1
,10013,{rmb=280},{562=1},1,,钻石*280   兑换   斗魂重生石*1
,10013,{rmb=280},{563=1},1,,钻石*280   兑换   装备重生石*1
,,,,,,
,10014,{rmb=180},{21001=3},2,,钻石*180   兑换   亚古兽碎片*3
,10014,{rmb=180},{21002=3},2,,钻石*180   兑换   加鲁鲁兽碎片*3
,10014,{rmb=180},{21004=3},2,,钻石*180   兑换   巴多拉兽碎片*3
,10014,{rmb=180},{21011=3},2,,钻石*180   兑换   战甲兽碎片*3
,10014,{rmb=180},{21015=3},2,,钻石*180   兑换   九尾狐兽碎片*3
,10014,{rmb=180},{21022=3},2,,钻石*180   兑换   巫师兽碎片*3
,10014,{rmb=180},{21033=3},2,,钻石*180   兑换   黑狮兽碎片*3
,10014,{rmb=180},{21028=3},2,,钻石*180   兑换   裂波兽碎片*3
,10014,{rmb=240},{21031=3},1,,钻石*240   兑换   电光兽碎片*3
,10014,{rmb=240},{21026=3},1,,钻石*240   兑换   伽奥伽兽碎片*3
,10014,{rmb=240},{21023=3},1,,钻石*240   兑换   火神兽碎片*3
,,,,,,
,10015,{rmb=180},{21001=3},2,,钻石*180   兑换   亚古兽碎片*3
,10015,{rmb=180},{21002=3},2,,钻石*180   兑换   加鲁鲁兽碎片*3
,10015,{rmb=180},{21004=3},2,,钻石*180   兑换   巴多拉兽碎片*3
,10015,{rmb=180},{21011=3},2,,钻石*180   兑换   战甲兽碎片*3
,10015,{rmb=180},{21015=3},2,,钻石*180   兑换   九尾狐兽碎片*3
,10015,{rmb=180},{21022=3},2,,钻石*180   兑换   巫师兽碎片*3
,10015,{rmb=180},{21033=3},2,,钻石*180   兑换   黑狮兽碎片*3
,10015,{rmb=180},{21028=3},2,,钻石*180   兑换   裂波兽碎片*3
,10015,{rmb=240},{21031=3},1,,钻石*240   兑换   电光兽碎片*3
,10015,{rmb=240},{21026=3},1,,钻石*240   兑换   伽奥伽兽碎片*3
,10015,{rmb=240},{21023=3},1,,钻石*240   兑换   火神兽碎片*3
,,,,,,
,10050,{rmb=8},{gold=100000},3,,钻石*8   兑换   金币*100000
,10050,{rmb=18},{520=1},2,,钻石*18   兑换   数码宝箱钥匙*1
,10050,{rmb=38},{502=1},2,,钻石*38   兑换   万能碎片*1
,10050,{rmb=88},{501=1},1,,钻石*88   兑换   觉醒合金*1
,10050,{rmb=188},{603=20},1,,钻石*188   兑换   紫色礼物盒子*20
,10050,{gold=8800},{611=10},2,,金币*8800   兑换   晶石盒子*10
,10050,{gold=18800},{5000=30},2,,金币*18800   兑换   能量药剂*30
,10050,{gold=28800},{504=10},2,,金币*28800   兑换   斗魂精华*10
,10050,{gold=38800},{411=30},2,,金币*38800   兑换   神器能量之魂*30
,10050,{gold=58800},{604=10},2,,金币*58800   兑换   经典礼物盒子*10
,,,,,,
,10051,{rmb=8},{gold=100000},9,,钻石*8   兑换   金币*100000
,10051,{rmb=18},{520=1},6,,钻石*18   兑换   数码宝箱钥匙*1
,10051,{rmb=38},{502=1},6,,钻石*38   兑换   万能碎片*1
,10051,{rmb=88},{501=1},3,,钻石*88   兑换   觉醒合金*1
,10051,{rmb=188},{603=20},3,,钻石*188   兑换   紫色礼物盒子*20
,10051,{gold=8800},{611=10},6,,金币*8800   兑换   晶石盒子*10
,10051,{gold=18800},{5000=30},6,,金币*18800   兑换   能量药剂*30
,10051,{gold=28800},{504=10},6,,金币*28800   兑换   斗魂精华*10
,10051,{gold=38800},{411=30},6,,金币*38800   兑换   神器能量之魂*30
,10051,{gold=58800},{604=10},6,,金币*58800   兑换   经典礼物盒子*10
,,,,,,
,10052,{gold=80000},{807=1},1,,金币*8W   兑换   古代甲虫兽皮肤（3天）*1
,10052,{rmb=280},{808=1},1,,钻石*280   兑换   古代甲虫兽皮肤（7天）*1
,10052,{rmb=2280},{809=1},1,,钻石*2280   兑换   古代甲虫兽皮肤（永久）*1
,10052,{gold=100000},{801=1},1,,金币*10W   兑换   丧尸暴龙兽皮肤（3天）*1
,10052,{rmb=380},{802=1},1,,钻石*380   兑换   丧尸暴龙兽皮肤（7天）*1
,10052,{rmb=2880},{803=1},1,,钻石*2880   兑换   丧尸暴龙兽皮肤（永久）*1
,10052,{rmb=280},{560=1},1,,钻石*280   兑换   进阶重生石*1
,10052,{rmb=280},{561=1},1,,钻石*280   兑换   技能重生石*1
,10052,{rmb=280},{562=1},1,,钻石*280   兑换   斗魂重生石*1
,10052,{rmb=280},{563=1},1,,钻石*280   兑换   装备重生石*1
,10052,{rmb=18},{gold=200000},5,,钻石*18   兑换   金币*200000
,10052,{rmb=28},{520=1},3,,钻石*28   兑换   数码宝箱钥匙*1
,10052,{rmb=58},{502=1},3,,钻石*58   兑换   万能碎片*1
,10052,{rmb=108},{501=1},2,,钻石*108   兑换   觉醒合金*1
,10052,{rmb=208},{603=20},2,,钻石*208   兑换   紫色礼物盒子*20
