变量名,_beizhu,huodongID,targetType,taskType,taskParam,addTimes,countType,desc,desc_tw,desc_en,desc_vn,desc_kr,award
默认值,"""""",0,0,0,0,0,0,"""""","""""","""""","""""","""""",{}
ID,备注,活动版本ID,任务分类(1每日2成就),任务类型,任务目标值,奖励翻牌次数,计数类型(0每日1累计),描述,描述_繁体,描述_英文,描述_越南,描述_韩文,奖励
,寻找精灵 - type=71 seekPokemon（huodongID=1001）,,,,,,,,,,,,,
101,每日-普通副本,1001,1,29,10,1,0,普通副本通关10次,普通副本通關10次,Clear Normal Stage 10 times,404404,일반 스테이지 10회 클리어,{rmb=50;519=1}
102,每日-困难副本,1001,1,30,3,1,0,困难副本挑战3次,困難副本挑戰3次,Challenge Elite Stage 3 times,404404,하드 스테이지 3회 도전,{rmb=50;519=1}
103,每日-日常副本,1001,1,32,4,1,0,日常副本通关4次,日常副本通關4次,Clear Daily Stage 4 times,404404,일일 스테이지 4회 클리어,{rmb=50;519=1}
104,每日-竞技场,1001,1,41,5,1,0,进行5次竞技场挑战,進行5次競技場挑戰,Challenge Arena 5 times,404404,아레나 5회 도전,{rmb=50;519=1}
105,每日-聚宝,1001,1,18,3,1,0,聚宝3次,聚寶3次,Treasure Hunt 3 times,404404,보물찾기 3회,{rmb=50;519=1}
106,每日-购买体力,1001,1,26,2,1,0,购买2次体力,購買2次體力,Buy Stamina 2 times,404404,스태미나 2회 구매,{rmb=50;519=1}
107,成就-充值,1001,2,22,60,2,1,充值60钻石,儲值60鑽石,Recharge 60 diamonds,404404,60다이아 충전,{rmb=100;519=2}
108,成就-消耗钻石,1001,2,21,200,2,1,消耗200钻石,消耗200鑽石,Spend 200 diamonds,404404,200다이아 소모,{rmb=100;519=2}
109,成就-等级,1001,2,1,50,3,1,等级达到50级,等級達到50級,Reach Level 50,404404,레벨 50 달성,{rmb=150;519=3;gold=100000}
110,成就-通关次数,1001,2,29,100,5,1,普通副本通关100次,普通副本通關100次,Clear Normal Stage 100 times,404404,일반 스테이지 100회 클리어,{rmb=200;519=5;gold=200000}
201,每日-普通副本,1002,1,29,10,1,0,普通副本通关10次,普通副本通關10次,Clear Normal Stage 10 times,404404,일반 스테이지 10회 클리어,{rmb=50;519=1}
202,每日-困难副本,1002,1,30,3,1,0,困难副本挑战3次,困難副本挑戰3次,Challenge Elite Stage 3 times,404404,하드 스테이지 3회 도전,{rmb=50;519=1}
203,每日-日常副本,1002,1,32,4,1,0,日常副本通关4次,日常副本通關4次,Clear Daily Stage 4 times,404404,일일 스테이지 4회 클리어,{rmb=50;519=1}
204,每日-竞技场,1002,1,41,5,1,0,进行5次竞技场挑战,進行5次競技場挑戰,Challenge Arena 5 times,404404,아레나 5회 도전,{rmb=50;519=1}
205,每日-聚宝,1002,1,18,5,1,0,聚宝5次,聚寶5次,Treasure Hunt 5 times,404404,보물찾기 5회,{rmb=50;519=1}
206,每日-购买体力,1002,1,26,2,1,0,购买2次体力,購買2次體力,Buy Stamina 2 times,404404,스태미나 2회 구매,{rmb=50;519=1}
207,成就-充值,1002,2,22,60,2,1,充值60钻石,儲值60鑽石,Recharge 60 diamonds,404404,60다이아 충전,{rmb=100;519=2}
208,成就-消耗钻石,1002,2,21,200,2,1,消耗200钻石,消耗200鑽石,Spend 200 diamonds,404404,200다이아 소모,{rmb=100;519=2}
209,成就-等级,1002,2,1,60,3,1,等级达到60级,等級達到60級,Reach Level 60,404404,레벨 60 달성,{rmb=150;519=3;gold=150000}
210,成就-通关次数,1002,2,29,150,5,1,普通副本通关150次,普通副本通關150次,Clear Normal Stage 150 times,404404,일반 스테이지 150회 클리어,{rmb=200;519=5;gold=300000}
