变量名,huodongID,level,needExp,award,unlockPart
默认值,0,1,0,{},0
ID,活动版本ID,等级,升级所需经验,等级奖励,解锁部位
1,101030,0,100,,10000
2,101030,1,200,{gold=5880000;925=1;6220=1;2333=1},10001
3,101030,2,300,{gold=8880000;521=8;500=8;2300=1},
4,101030,3,400,{gold=8880000;521=18;500=18;2400=1},
5,101030,4,500,{gold=8880000;521=28;500=28;2008=1},1
6,101030,5,600,{gold=8880000;521=42;500=42;2238=1},
7,101030,6,700,{gold=8880000;521=58;937=2;500=58},
8,101030,7,800,{gold=8880000;521=58;851=2888;500=58},10002
9,101030,8,900,{gold=8880000;521=58;452=2888;500=58},
10,101030,9,1000,{gold=8880000;521=58;453=5888;500=58},
11,101030,10,1500,{gold=8880000;521=88;500=88;coin22=588},2
12,101030,11,2000,{521=188;500=188;702=5;2181=1},
13,101030,12,3000,{521=288;8834=10;8833=20;2153=1},10003
14,101030,13,4000,{521=588;7325=10;994=10;2153=2},
15,101030,14,5000,{521=888;705=2;703=2;133=288},3
16,101030,15,6000,{6071=2000;2153=5;2103=3000;9991=1},
,,,,,
101,10001,0,50,,10000
102,10001,1,100,{2319=1;519=3;951=5;21941=5},10001
103,10001,2,150,{gold=288000;stamina=100;5000=100;21951=5},1
104,10001,3,250,{2237=1;503=5;930=100;21941=10},
105,10001,4,350,{rmb=188;902=20;901=30;21951=10},10002
106,10001,5,450,{2020=1;922=1;16=30;21941=10},
107,10001,6,600,{gold=588000;962=2;4000=300;21951=10},2
108,10001,7,750,{2238=1;602=20;604=10;21941=15},
109,10001,8,1000,{gold=880000;973=1;529=5000;21951=15},10003
110,10001,9,1250,{8000=1;6050=1;501=3;21941=20},
111,10001,10,1250,{rmb=388;2152=1;6059=1;21951=20},3
