变量名,_yyId,_beizhu,card1,res1,resScale1,resPos1,titleRes1,posRes1,card2,res2,resScale2,resPos2,titleRes2,posRes2
默认值,,,,,1,{x=0;y=0},"""""","""""",,,1,{x=0;y=0},"""""",""""""
ID,活动ID,备注,卡牌ID,立绘,立绘缩放,立绘偏移位子,卡牌名字美术字资源,定位美术字资源,卡牌ID,立绘,立绘缩放,立绘偏移位子,卡牌名字美术字资源,定位美术字资源
1,100012,固拉多,1971,config/big_hero/normal/img_383_gld@.png,2.618,,common/txt/txt_gld.png,common/txt/txt_dw_gld.png,,,,,,
2,100022,固拉多 盖欧卡,1971,config/big_hero/normal/img_383_gld@.png,2.618,,common/txt/txt_gld.png,common/txt/txt_dw_gld.png,1961,,2,,common/txt/txt_gok.png,common/txt/txt_dw_gok.png
3,1256,固拉多,1971,config/big_hero/normal/img_383_gld@.png, ,,common/txt/txt_gld.png,common/txt/txt_dw_gld.png,,,,,,
4,1335,洛奇亚,1261,config/big_hero/normal/img_249_lqy@.png,2.618,,common/txt/txt_lqy.png,common/txt/txt_dw_lqy.png,,,,,,
5,1385,蒂安西-烈咬陆鲨,3631,config/big_hero/standby/img_719_dax@.png,2.33,,common/txt/txt_dax.png,common/txt/txt_dw_dax.png,,,,,,
6,1431,固拉多,1971,config/big_hero/normal/img_383_gld@.png,2.618,,common/txt/txt_gld.png,common/txt/txt_dw_gld.png,,,,,,
7,,烈空坐,1981,config/big_hero/normal/img_384_lkz@.png,2.618,,common/txt/txt_lkz.png,common/txt/txt_dw_lkz.png,,,,,,
8,1516,洛奇亚,1261,config/big_hero/normal/img_249_lqy@.png,2.618,,common/txt/txt_lqy.png,common/txt/txt_dw_lqy.png,,,,,,
9,100022,达克莱伊蒂安希,2431,config/big_hero/normal/img_491_dkly@.png,1.6,,common/txt/txt_dkly.png,common/txt/txt_dw_dkly.png,3631,config/big_hero/standby/img_719_dax@.png,2.33,,common/txt/txt_dax.png,common/txt/txt_dw_dax.png
10,,雷吉奇卡斯/洛奇亚,2381,config/big_hero/normal/img_486_ljqks@.png,2.33,,common/txt/txt_ljqks.png,common/txt/txt_dw_ljqks.png,1261,config/big_hero/normal/img_249_lqy@.png,2.14,,common/txt/txt_lqy.png,common/txt/txt_dw_lqy.png
11,,裂空座帝牙卢卡,1981,config/big_hero/normal/img_384_lkz@.png,2.33,,common/txt/txt_lkz.png,common/txt/txt_dw_lkz.png,2351,config/big_hero/normal/img_483_dylk@.png,2.33,,common/txt/txt_dylk.png,common/txt/txt_dw_dylk.png
12,,帕路奇亚盖欧卡,1961,config/big_hero/normal/img_382_gok@.png,2,,common/txt/txt_gok.png,common/txt/txt_dw_gok.png,2361,config/big_hero/normal/img_484_plqy@.png,2.33,,common/txt/txt_plqy.png,common/txt/txt_dw_plqy.png
13,,固拉多蒂安希,1971,config/big_hero/normal/img_383_gld@.png,2.618,,common/txt/txt_gld.png,common/txt/txt_dw_gld.png,3631,config/big_hero/standby/img_719_dax@.png,2.33,,common/txt/txt_dax.png,common/txt/txt_dw_dax.png
14,,骑拉帝纳达克莱伊,2391,config/big_hero/normal/img_487_qldnsxt@.png,2,,common/txt/txt_qldn.png,common/txt/txt_dw_qldn.png,2431,config/big_hero/normal/img_491_dkly@.png,1.6,,common/txt/txt_dkly.png,common/txt/txt_dw_dkly.png
15,,雷吉奇卡斯/谢米,2441,config/big_hero/normal/img_492_xm@.png,2,,common/txt/txt_xm.png,common/txt/txt_dw_xm.png,2381,config/big_hero/normal/img_486_ljqks@.png,2.33,,common/txt/txt_ljqks.png,common/txt/txt_dw_ljqks.png
16,,裂空座洛奇亚,1981,config/big_hero/normal/img_384_lkz@.png,2.33,,common/txt/txt_lkz.png,common/txt/txt_dw_lkz.png,1261,config/big_hero/normal/img_249_lqy@.png,2.618,,common/txt/txt_lqy.png,common/txt/txt_dw_lqy.png
17,,胡帕帝牙卢卡,3641,config/big_hero/normal/img_720_cjhp@.png,2,,common/txt/txt_cjhp.png,common/txt/txt_dw_hp.png,2351,config/big_hero/normal/img_483_dylk@.png,2.33,,common/txt/txt_dylk.png,common/txt/txt_dw_dylk.png
18,,帕路奇亚莱希拉姆,3211,config/big_hero/normal/img_643_lxlm@.png,2,,common/txt/txt_lxlm.png,common/txt/txt_dw_lxlm.png,2361,config/big_hero/normal/img_484_plqy@.png,2.33,,common/txt/txt_plqy.png,common/txt/txt_dw_plqy.png
19,,裂空座达克莱伊,1981,config/big_hero/normal/img_384_lkz@.png,2.33,,common/txt/txt_lkz.png,common/txt/txt_dw_lkz.png,2431,config/big_hero/normal/img_491_dkly@.png,1.6,,common/txt/txt_dkly.png,common/txt/txt_dw_dkly.png
20,,骑拉帝纳捷克罗姆,3221,config/big_hero/normal/img_644_jklm@.png,2,,common/txt/txt_jklm.png,common/txt/txt_dw_jklm.png,2391,config/big_hero/normal/img_487_qldnsxt@.png,2,,common/txt/txt_qldn.png,common/txt/txt_dw_qldn.png
21,,达克莱伊固拉多,2431,config/big_hero/normal/img_491_dkly@.png,1.6,,common/txt/txt_dkly.png,common/txt/txt_dw_dkly.png,1971,config/big_hero/normal/img_383_gld@.png,2.618,,common/txt/txt_gld.png,common/txt/txt_dw_gld.png
22,,雷吉奇卡斯盖欧卡,1961,config/big_hero/normal/img_382_gok@.png,2,,common/txt/txt_gok.png,common/txt/txt_dw_gok.png,2381,config/big_hero/normal/img_486_ljqks@.png,2.33,,common/txt/txt_ljqks.png,common/txt/txt_dw_ljqks.png
