变量名,huodongID,_beizhu,rank,award,desc
默认值,,,,{},无奖励吗
ID,活动版本号,备注,名次内,排行奖励,奖励描述
1,1001,天赋点,1,{rmb=8888;talent_point=10;161=50},世界BOSS奖励
2,1001,天赋点,2,{rmb=6666;talent_point=8;161=40},世界BOSS奖励
3,1001,天赋点,3,{rmb=5888;talent_point=6;161=30},世界BOSS奖励
4,1001,天赋点,6,{rmb=2888;talent_point=4;161=20},世界BOSS奖励
5,1001,天赋点,10,{rmb=1888;talent_point=2;161=10},世界BOSS奖励
6,1001,天赋点,30,{gold=880000;talent_point=1;161=1},世界BOSS奖励
7,1001,天赋点,60,{gold=660000;talent_point=1;161=1},世界BOSS奖励
8,1001,天赋点,100,{gold=500000;talent_point=1;161=1},世界BOSS奖励
9,1001,天赋点,300,{gold=400000;talent_point=1;161=1},世界BOSS奖励
10,1001,天赋点,600,{gold=300000;talent_point=1;161=1},世界BOSS奖励
11,1001,天赋点,1000,{gold=200000;talent_point=1;161=1},世界BOSS奖励
12,1001,天赋点,99999,{gold=100000;talent_point=1;161=1},世界BOSS奖励
,,,,,
101,1002,携带,1,{rmb=8888;talent_point=10;161=50},世界BOSS奖励
102,1002,携带,2,{rmb=6666;talent_point=8;161=40},世界BOSS奖励
103,1002,携带,3,{rmb=5888;talent_point=6;161=30},世界BOSS奖励
104,1002,携带,6,{rmb=2888;talent_point=4;161=20},世界BOSS奖励
105,1002,携带,10,{rmb=1888;talent_point=2;161=10},世界BOSS奖励
106,1002,携带,30,{gold=880000;talent_point=1;161=1},世界BOSS奖励
107,1002,携带,60,{gold=660000;talent_point=1;161=1},世界BOSS奖励
108,1002,携带,100,{gold=500000;talent_point=1;161=1},世界BOSS奖励
109,1002,携带,300,{gold=400000;talent_point=1;161=1},世界BOSS奖励
110,1002,携带,600,{gold=300000;talent_point=1;161=1},世界BOSS奖励
111,1002,携带,1000,{gold=200000;talent_point=1;161=1},世界BOSS奖励
112,1002,携带,99999,{gold=100000;talent_point=1;161=1},世界BOSS奖励
,,,,,
201,1003,潜能,1,{rmb=8888;talent_point=10;161=50},世界BOSS奖励
202,1003,潜能,2,{rmb=6666;talent_point=8;161=40},世界BOSS奖励
203,1003,潜能,3,{rmb=5888;talent_point=6;161=30},世界BOSS奖励
204,1003,潜能,6,{rmb=2888;talent_point=4;161=20},世界BOSS奖励
205,1003,潜能,10,{rmb=1888;talent_point=2;161=10},世界BOSS奖励
206,1003,潜能,30,{gold=880000;talent_point=1;161=1},世界BOSS奖励
207,1003,潜能,60,{gold=660000;talent_point=1;161=1},世界BOSS奖励
208,1003,潜能,100,{gold=500000;talent_point=1;161=1},世界BOSS奖励
209,1003,潜能,300,{gold=400000;talent_point=1;161=1},世界BOSS奖励
210,1003,潜能,600,{gold=300000;talent_point=1;161=1},世界BOSS奖励
211,1003,潜能,1000,{gold=200000;talent_point=1;161=1},世界BOSS奖励
212,1003,潜能,99999,{gold=100000;talent_point=1;161=1},世界BOSS奖励
,,,,,
301,1004,努力,1,{rmb=8888;talent_point=10;161=50},世界BOSS奖励
302,1004,努力,2,{rmb=6666;talent_point=8;161=40},世界BOSS奖励
303,1004,努力,3,{rmb=5888;talent_point=6;161=30},世界BOSS奖励
304,1004,努力,6,{rmb=2888;talent_point=4;161=20},世界BOSS奖励
305,1004,努力,10,{rmb=1888;talent_point=2;161=10},世界BOSS奖励
306,1004,努力,30,{gold=880000;talent_point=1;161=1},世界BOSS奖励
307,1004,努力,60,{gold=660000;talent_point=1;161=1},世界BOSS奖励
308,1004,努力,100,{gold=500000;talent_point=1;161=1},世界BOSS奖励
309,1004,努力,300,{gold=400000;talent_point=1;161=1},世界BOSS奖励
310,1004,努力,600,{gold=300000;talent_point=1;161=1},世界BOSS奖励
311,1004,努力,1000,{gold=200000;talent_point=1;161=1},世界BOSS奖励
312,1004,努力,99999,{gold=100000;talent_point=1;161=1},世界BOSS奖励
,,,,,
401,1005,天赋点,1,{rmb=8888;talent_point=10;161=50},世界BOSS奖励
402,1005,天赋点,2,{rmb=6666;talent_point=8;161=40},世界BOSS奖励
403,1005,天赋点,3,{rmb=5888;talent_point=6;161=30},世界BOSS奖励
404,1005,天赋点,6,{rmb=2888;talent_point=4;161=20},世界BOSS奖励
405,1005,天赋点,10,{rmb=1888;talent_point=2;161=10},世界BOSS奖励
406,1005,天赋点,30,{gold=880000;talent_point=1;161=1},世界BOSS奖励
407,1005,天赋点,60,{gold=660000;talent_point=1;161=1},世界BOSS奖励
408,1005,天赋点,100,{gold=500000;talent_point=1;161=1},世界BOSS奖励
409,1005,天赋点,300,{gold=400000;talent_point=1;161=1},世界BOSS奖励
410,1005,天赋点,600,{gold=300000;talent_point=1;161=1},世界BOSS奖励
411,1005,天赋点,1000,{gold=200000;talent_point=1;161=1},世界BOSS奖励
412,1005,天赋点,99999,{gold=100000;talent_point=1;161=1},世界BOSS奖励
,,,,,
501,1006,携带,1,{rmb=8888;talent_point=10;161=50},世界BOSS奖励
502,1006,携带,2,{rmb=6666;talent_point=8;161=40},世界BOSS奖励
503,1006,携带,3,{rmb=5888;talent_point=6;161=30},世界BOSS奖励
504,1006,携带,6,{rmb=2888;talent_point=4;161=20},世界BOSS奖励
505,1006,携带,10,{rmb=1888;talent_point=2;161=10},世界BOSS奖励
506,1006,携带,30,{gold=880000;talent_point=1;161=1},世界BOSS奖励
507,1006,携带,60,{gold=660000;talent_point=1;161=1},世界BOSS奖励
508,1006,携带,100,{gold=500000;talent_point=1;161=1},世界BOSS奖励
509,1006,携带,300,{gold=400000;talent_point=1;161=1},世界BOSS奖励
510,1006,携带,600,{gold=300000;talent_point=1;161=1},世界BOSS奖励
511,1006,携带,1000,{gold=200000;talent_point=1;161=1},世界BOSS奖励
512,1006,携带,99999,{gold=100000;talent_point=1;161=1},世界BOSS奖励
,,,,,
601,1007,潜能,1,{rmb=8888;talent_point=10;161=50},世界BOSS奖励
602,1007,潜能,2,{rmb=6666;talent_point=8;161=40},世界BOSS奖励
603,1007,潜能,3,{rmb=5888;talent_point=6;161=30},世界BOSS奖励
604,1007,潜能,6,{rmb=2888;talent_point=4;161=20},世界BOSS奖励
605,1007,潜能,10,{rmb=1888;talent_point=2;161=10},世界BOSS奖励
606,1007,潜能,30,{gold=880000;talent_point=1;161=1},世界BOSS奖励
607,1007,潜能,60,{gold=660000;talent_point=1;161=1},世界BOSS奖励
608,1007,潜能,100,{gold=500000;talent_point=1;161=1},世界BOSS奖励
609,1007,潜能,300,{gold=400000;talent_point=1;161=1},世界BOSS奖励
610,1007,潜能,600,{gold=300000;talent_point=1;161=1},世界BOSS奖励
611,1007,潜能,1000,{gold=200000;talent_point=1;161=1},世界BOSS奖励
612,1007,潜能,99999,{gold=100000;talent_point=1;161=1},世界BOSS奖励
,,,,,
701,1008,努力,1,{rmb=8888;talent_point=10;161=50},世界BOSS奖励
702,1008,努力,2,{rmb=6666;talent_point=8;161=40},世界BOSS奖励
703,1008,努力,3,{rmb=5888;talent_point=6;161=30},世界BOSS奖励
704,1008,努力,6,{rmb=2888;talent_point=4;161=20},世界BOSS奖励
705,1008,努力,10,{rmb=1888;talent_point=2;161=10},世界BOSS奖励
706,1008,努力,30,{gold=880000;talent_point=1;161=1},世界BOSS奖励
707,1008,努力,60,{gold=660000;talent_point=1;161=1},世界BOSS奖励
708,1008,努力,100,{gold=500000;talent_point=1;161=1},世界BOSS奖励
709,1008,努力,300,{gold=400000;talent_point=1;161=1},世界BOSS奖励
710,1008,努力,600,{gold=300000;talent_point=1;161=1},世界BOSS奖励
711,1008,努力,1000,{gold=200000;talent_point=1;161=1},世界BOSS奖励
712,1008,努力,99999,{gold=100000;talent_point=1;161=1},世界BOSS奖励
,,,,,
801,1009,天赋点,1,{rmb=8888;talent_point=10;161=50},世界BOSS奖励
802,1009,天赋点,2,{rmb=6666;talent_point=8;161=40},世界BOSS奖励
803,1009,天赋点,3,{rmb=5888;talent_point=6;161=30},世界BOSS奖励
804,1009,天赋点,6,{rmb=2888;talent_point=4;161=20},世界BOSS奖励
805,1009,天赋点,10,{rmb=1888;talent_point=2;161=10},世界BOSS奖励
806,1009,天赋点,30,{gold=880000;talent_point=1;161=1},世界BOSS奖励
807,1009,天赋点,60,{gold=660000;talent_point=1;161=1},世界BOSS奖励
808,1009,天赋点,100,{gold=500000;talent_point=1;161=1},世界BOSS奖励
809,1009,天赋点,300,{gold=400000;talent_point=1;161=1},世界BOSS奖励
810,1009,天赋点,600,{gold=300000;talent_point=1;161=1},世界BOSS奖励
811,1009,天赋点,1000,{gold=200000;talent_point=1;161=1},世界BOSS奖励
812,1009,天赋点,99999,{gold=100000;talent_point=1;161=1},世界BOSS奖励
,,,,,
901,1010,携带,1,{rmb=8888;talent_point=10;161=50},世界BOSS奖励
902,1010,携带,2,{rmb=6666;talent_point=8;161=40},世界BOSS奖励
903,1010,携带,3,{rmb=5888;talent_point=6;161=30},世界BOSS奖励
904,1010,携带,6,{rmb=2888;talent_point=4;161=20},世界BOSS奖励
905,1010,携带,10,{rmb=1888;talent_point=2;161=10},世界BOSS奖励
906,1010,携带,30,{gold=880000;talent_point=1;161=1},世界BOSS奖励
907,1010,携带,60,{gold=660000;talent_point=1;161=1},世界BOSS奖励
908,1010,携带,100,{gold=500000;talent_point=1;161=1},世界BOSS奖励
909,1010,携带,300,{gold=400000;talent_point=1;161=1},世界BOSS奖励
910,1010,携带,600,{gold=300000;talent_point=1;161=1},世界BOSS奖励
911,1010,携带,1000,{gold=200000;talent_point=1;161=1},世界BOSS奖励
912,1010,携带,99999,{gold=100000;talent_point=1;161=1},世界BOSS奖励
,,,,,
1001,1011,潜能,1,{rmb=8888;talent_point=10;161=50},世界BOSS奖励
1002,1011,潜能,2,{rmb=6666;talent_point=8;161=40},世界BOSS奖励
1003,1011,潜能,3,{rmb=5888;talent_point=6;161=30},世界BOSS奖励
1004,1011,潜能,6,{rmb=2888;talent_point=4;161=20},世界BOSS奖励
1005,1011,潜能,10,{rmb=1888;talent_point=2;161=10},世界BOSS奖励
1006,1011,潜能,30,{gold=880000;talent_point=1;161=1},世界BOSS奖励
