变量名,gateSeqID,background,achievementID,__version,achievementBg,achievementImg,achievementName,achievementText,bgScale,bgSpinePos,iconFog,imgPos,name,spine,subTitle
默认值,0,"""""",0,,"""""","""""","""""","""""",{x=2;y=2},{x=0;y=0},"""""",{x=0;y=0},"""""","""""",""""""
ID,关卡索引ID,主题背景,活动道具,__version,achievementBg,achievementImg,achievementName,achievementText,bgScale,bgSpinePos,iconFog,imgPos,name,spine,subTitle
1,1,,2419,,,,,,,,activity/summer_challenge/btn_2zn_11.png,,测试活动,summer_challenge/zhounianditu_tubiaojiesuo.skel,
2,1,,2419,,,,宝藏猎人,,,,activity/summer_challenge/btn_2zn_11.png,,夏日探险,,Summer Adventure Explore
3,2,activity/summer_challenge/bg_2zn.jpg,2430,,activity/summer_challenge/img_2zn_tgbj.png,activity/summer_challenge/img_2zn_ddcs.png,呆呆传说,activity/summer_challenge/txt_2zn_ddcs.png,{x=1;y=1},,activity/summer_challenge/btn_2zn_11.png,{x=-40;y=0},不可思议挑战,summer_challenge/zhounianditu_tubiaojiesuo.skel,Mysterious Challenge
4,3,activity/summer_challenge/bg_bksy_1.jpg,2435,,effect/hd.skel,activity/summer_challenge/img_bksy_sbbw.png,扇贝贝王,activity/summer_challenge/txt_bksy_sbbw.png,{x=1;y=1},{x=1555;y=700},activity/summer_challenge/btn_bksy_11.png,{x=-20;y=-160},夏日探险,summer_challenge/xiaritiaozhan_tubiaojiesuo.skel,Summer Adventure Explore
5,4,activity/summer_challenge/bg_bksy_2.jpg,2446,,effect/hd.skel,activity/summer_challenge/img_23znq_jdds.png,剑道大师,activity/summer_challenge/txt_23znq_jdds.png,{x=1;y=1},{x=1555;y=700},activity/summer_challenge/btn_2zn_11.png,{x=-20;y=-160},不可思议挑战,summer_challenge/congyoubing_tubiaojiesuo.skel,Mysterious Challenge
6,5,activity/summer_challenge/bg_xrtz_3.jpg,2451,,effect/hd.skel,activity/summer_challenge/img_xrtz_kgxj.png,考古学家,activity/summer_challenge/txt_xrtz_kgxj.png,{x=1;y=1},{x=1555;y=700},activity/summer_challenge/btn_bksy_11.png,{x=-20;y=-160},夏日探险,summer_challenge/summer2023_tubiaojiesuo.skel,Summer Adventure Explore
7,6,activity/summer_challenge/bg_24znq.jpg,2462,,effect/hd.skel,activity/summer_challenge/img_24znq_glcs.png,古老传说,activity/summer_challenge/txt_24znq_glcs.png,{x=1;y=1},{x=1555;y=700},activity/summer_challenge/btn_2zn_11.png,{x=-20;y=-160},不可思议挑战,summer_challenge/2024znq_tubiaojiesuo.skel,Mysterious Challenge
8,7,activity/summer_challenge/bg_xrtz_4.png,2467,,effect/hd.skel,activity/summer_challenge/img_24xrtz_wzzm.png,万众瞩目,activity/summer_challenge/txt_24xrtz_wzzm.png,{x=1;y=1},{x=1555;y=700},activity/summer_challenge/btn_bksy_11.png,{x=-20;y=-160},夏日探险,summer_challenge/summer2024_tubiaojiesuo.skel,Summer Adventure Explore
9,8,,2469,,effect/hd.skel,activity/summer_challenge/img_24xrtz_klyx.png,快乐一夏,activity/summer_challenge/txt_24xrtz_klyx.png,{x=1;y=1},{x=1555;y=700},activity/summer_challenge/btn_2zn_11.png,{x=-20;y=-160},夏日探险,,Summer Adventure Explore
10,9,activity/summer_challenge/bg_25znq.png,2532,,effect/hd.skel,activity/summer_challenge/img_25znq_slzr.png,试炼之人,activity/summer_challenge/txt_25znq_slzr.png,{x=1;y=1},{x=1555;y=700},activity/summer_challenge/btn_2zn_11.png,{x=-20;y=-160},不可思议挑战,summer_challenge/2025znq_tubiaojiesuo.skel,Mysterious Challenge
11,10,activity/summer_challenge/bg_xrtz_5.png,2533,,effect/hd.skel,activity/summer_challenge/img_25xrtz_dyshz.png,岛屿守护者,activity/summer_challenge/txt_25xrtz_dyshz.png,{x=1;y=1},{x=1555;y=700},activity/summer_challenge/btn_2zn_11.png,{x=-20;y=-160},夏日探险,,Summer Adventure Explore
12,11,activity/summer_challenge/bg_xrtz_3.jpg,2451,,effect/hd.skel,activity/summer_challenge/img_xrtz_kgxj.png,考古学家,activity/summer_challenge/txt_xrtz_kgxj.png,{x=1;y=1},{x=1555;y=700},activity/summer_challenge/btn_bksy_11.png,{x=-20;y=-160},夏日探险,summer_challenge/summer2023_tubiaojiesuo.skel,Summer Adventure Explore
