变量名,levelExp2,levelExp1,levelExp6,levelExp5,levelExp4,levelExp3,__version
默认值,1,1,1,1,1,1,
ID,默认值,默认值,默认值,默认值,默认值,默认值,__version
1,300,300,1500,1020,660,450,
2,350,350,1750,1190,770,525,
3,400,400,2000,1360,880,600,
4,450,450,2250,1530,990,675,
5,500,500,2500,1700,1100,750,
6,550,550,2750,1870,1210,825,
7,600,600,3000,2040,1320,900,
8,650,650,3250,2210,1430,975,
9,700,700,3500,2380,1540,1050,
10,750,750,3750,2550,1650,1125,
11,800,800,4000,2720,1760,1200,
12,850,850,4250,2890,1870,1275,
13,925,925,4625,3145,2035,1388,
14,1000,1000,5000,3400,2200,1500,
15,1075,1075,5375,3655,2365,1613,
16,1150,1150,5750,3910,2530,1725,
17,1225,1225,6125,4165,2695,1838,
18,1300,1300,6500,4420,2860,1950,
19,1375,1375,6875,4675,3025,2063,
20,1450,1450,7250,4930,3190,2175,
21,1550,1550,7750,5270,3410,2325,
22,1650,1650,8250,5610,3630,2475,
23,1750,1750,8750,5950,3850,2625,
24,1850,1850,9250,6290,4070,2775,
25,1950,1950,9750,6630,4290,2925,
26,2075,2075,10375,7055,4565,3113,
27,2200,2200,11000,7480,4840,3300,
28,2325,2325,11625,7905,5115,3488,
29,2450,2450,12250,8330,5390,3675,
30,2575,2575,12875,8755,5665,3863,
