变量名,aidCardNums,aidCardMulti3Nums,aidCardMulti2Nums,aidTimes,aidUnlockLevel,aidUnlockLevel2,aidUnlockLevel3,_beizhu
默认值,3,3,3,<5;3;2;1;2;1>,<90;90;95;100;110>,<90;90;100>,<90;90;100>,
ID,默认值,默认值,默认值,默认值,默认值,默认值,默认值,系统名字
0,5,,,,<85;85;95;115>,,,
1,5,,,,<85;85;95;115>,<85;95>,<85>,
2,5,,,,<85;85;95;115>,,,
9,5,,,,<85;85;95;115>,,,
15,5,,,,<85;85;95;115>,,,
17,,,,,<85;95>,,,
20,5,,,,<85;85;95;115>,,,
21,5,,,,<85;85;95;115>,,,
23,2,,,,<85;95>,,,
26,5,,,,<85;85;95;115>,,,
29,,,,,<85;95>,,,
42,,,,,<85;95>,,,
