变量名,activeDemandLevel,awakeMaterialID,awakeDemandAidStage,awakeDemandAidLevel,awakeSequenceID,fightPointFactor,stageMaterialID,stageSequenceID,levelSequenceID,activeDemandStar,activeDemandAdvance,activeCost,awakeCost,languages
默认值,90,0,7,60,0,0,0,0,0,8,10,{},{},<cn;en;tw;kr;en_us>
ID,activeDemandLevel,awakeMaterialID,awakeDemandAidStage,awakeDemandAidLevel,awakeSequenceID,fightPointFactor,stageMaterialID,stageSequenceID,levelSequenceID,activeDemandStar,activeDemandAdvance,activeCost,awakeCost,languages
161,75,,,,,0.003,90161,1,1,11,14,{501=5;90161=50;gold=600000},,<cn;en;tw;kr;en_us>
241,75,,,,,0.003,90241,1,1,11,14,{501=5;90241=50;gold=600000},,<cn;en;tw;kr;en_us>
261,75,,,,,0.003,90261,1,1,11,14,{501=5;90261=50;gold=600000},,<cn;en;tw;kr;en_us>
264,75,,,,,0.003,90261,1,1,11,14,{501=5;90261=50;gold=600000},,<cn;en;tw;kr;en_us>
381,75,,,,,0.003,90381,1,1,11,14,{501=5;90381=50;gold=600000},,<cn;en;tw;kr;en_us>
391,75,,,,,0.003,90391,1,1,11,14,{501=5;90391=50;gold=600000},,<cn>
394,75,,,,,0.003,90391,1,1,11,14,{501=5;90391=50;gold=600000},,<cn>
401,75,,,,,0.003,90401,1,1,11,14,{501=5;90401=50;gold=600000},,<cn>
403,75,,,,,0.003,90401,1,1,11,14,{501=5;90401=50;gold=600000},,<cn>
571,75,,,,,0.003,90571,1,1,11,14,{501=5;90571=50;gold=600000},,<cn>
574,75,,,,,0.003,90571,1,1,11,14,{501=5;90571=50;gold=600000},,<cn>
601,75,,,,,0.003,90601,1,1,11,14,{501=5;90601=50;gold=600000},,<cn;en;tw;kr;en_us>
611,75,,,,,0.003,90611,1,1,11,14,{501=5;90611=50;gold=600000},,<cn>
711,75,,,,,0.003,90711,1,1,11,14,{501=5;90711=50;gold=600000},,<cn;tw>
721,75,,,,,0.003,90721,1,1,11,14,{501=5;90721=50;gold=600000},,<cn;en;tw;kr;en_us>
731,75,,,,,0.003,90731,1,1,11,14,{501=5;90731=50;gold=600000},,<cn;en;tw;kr;en_us>
741,75,,,,,0.003,90741,1,1,11,14,{501=5;90741=50;gold=600000},,<cn;en;tw;kr;en_us>
861,75,,,,,0.003,90861,1,1,11,14,{501=5;90861=50;gold=600000},,<cn>
881,75,,,,,0.003,90881,1,1,11,14,{501=5;90881=50;gold=600000},,<cn;tw;en_us>
884,75,,,,,0.003,90881,1,1,11,14,{501=5;90881=50;gold=600000},,<cn;tw;en_us>
1031,75,,,,,0.003,91031,1,1,11,14,{501=5;91031=50;gold=600000},,<cn>
