变量名,aidFightPoint6,demandStage6,aidFightPoint5,demandStage5,aidFightPoint4,demandStage4,aidFightPoint3,demandStage3,aidFightPoint2,demandStage2,aidFightPoint1,demandStage1,level,costMap1,attrMap1,costMap2,attrMap2,costMap3,attrMap3,costMap4,attrMap4,costMap5,attrMap5,costMap6,attrMap6
默认值,0,15,0,14,0,13,0,12,0,11,0,10,0,{},{},{},{},{},{},{},{},{},{},{},{}
ID,默认值,默认值,默认值,默认值,默认值,默认值,默认值,默认值,默认值,默认值,默认值,默认值,默认值,默认值,默认值,默认值,默认值,默认值,默认值,默认值,默认值,默认值,默认值,默认值,默认值
1,,,,,,,2000,1,2000,1,1000,1,1,{142=50;gold=100000},{1=600;7=165;8=165;9=83;10=83;13=2},{142=90;gold=180000},{1=1200;7=330;8=330;9=166;10=166;13=4},{142=130;gold=260000},{1=1200;7=330;8=330;9=166;10=166},,,,,,
2,,,,,,,2060,1,2060,1,1030,1,2,{142=50;gold=100000},{1=629;7=173;8=173;9=87;10=87;13=2},{142=90;gold=180000},{1=1258;7=346;8=346;9=174;10=174;13=4},{142=130;gold=260000},{1=1258;7=346;8=346;9=174;10=174},,,,,,
3,,,,,,,2120,1,2120,1,1060,1,3,{142=55;gold=110000},{1=659;7=182;8=182;9=91;10=91;13=2},{142=100;gold=198000},{1=1318;7=364;8=364;9=182;10=182;13=4},{142=145;gold=286000},{1=1318;7=364;8=364;9=182;10=182},,,,,,
4,,,,,,,2180,1,2180,1,1090,1,4,{142=55;gold=110000},{1=689;7=190;8=190;9=95;10=95;13=2},{142=100;gold=198000},{1=1378;7=380;8=380;9=190;10=190;13=4},{142=145;gold=286000},{1=1378;7=380;8=380;9=190;10=190},,,,,,
5,,,,,,,2240,1,2240,1,1120,1,5,{142=60;gold=120000},{1=719;7=198;8=198;9=99;10=99;13=3},{142=110;gold=216000},{1=1438;7=396;8=396;9=198;10=198;13=6},{142=155;gold=312000},{1=1438;7=396;8=396;9=198;10=198},,,,,,
6,,,,,,,2300,1,2300,1,1150,1,6,{142=60;gold=120000},{1=749;7=206;8=206;9=103;10=103;13=3},{142=110;gold=216000},{1=1498;7=412;8=412;9=206;10=206;13=6},{142=155;gold=312000},{1=1498;7=412;8=412;9=206;10=206},,,,,,
7,,,,,,,2360,1,2360,1,1180,1,7,{142=65;gold=130000},{1=779;7=215;8=215;9=107;10=107;13=3},{142=115;gold=234000},{1=1558;7=430;8=430;9=214;10=214;13=6},{142=170;gold=338000},{1=1558;7=430;8=430;9=214;10=214},,,,,,
8,,,,,,,2420,1,2420,1,1210,1,8,{142=65;gold=130000},{1=809;7=223;8=223;9=111;10=111;13=3},{142=115;gold=234000},{1=1618;7=446;8=446;9=222;10=222;13=6},{142=170;gold=338000},{1=1618;7=446;8=446;9=222;10=222},,,,,,
9,,,,,,,2480,1,2480,1,1240,1,9,{142=70;gold=140000},{1=839;7=231;8=231;9=116;10=116;13=3},{142=125;gold=252000},{1=1678;7=462;8=462;9=232;10=232;13=6},{142=180;gold=364000},{1=1678;7=462;8=462;9=232;10=232},,,,,,
10,,,,,,,2540,1,2540,1,1270,1,10,{142=70;gold=140000},{1=869;7=239;8=239;9=120;10=120;13=4},{142=125;gold=252000},{1=1738;7=478;8=478;9=240;10=240;13=8},{142=180;gold=364000},{1=1738;7=478;8=478;9=240;10=240},,,,,,
