变量名,stage,stageFactor,stageFightPoint,stageName,materialCostNum,sequenceID,costMap,attrMap,stageAttrFactor
默认值,0,0,0,"""""",0,0,{},{},{}
ID,stage,stageFactor,stageFightPoint,stageName,materialCostNum,sequenceID,costMap,attrMap,stageAttrFactor
1,1,,,White,50,1,{501=2;502=6;gold=500000},,
2,2,0.1,1000,Green,70,1,{501=2;502=6;gold=750000},{1=84;7=23;8=23;9=11;10=11;13=0},{1=1%;7=1%;8=1%;9=1%;10=1%;13=1%}
3,3,0.15,2500,Blue,100,1,{501=3;502=9;gold=1000000},{1=194;7=54;8=54;9=26;10=26;13=1},{1=2%;7=2%;8=2%;9=2%;10=2%;13=2%}
4,4,0.2,3500,Purple,130,1,{501=4;502=12;gold=1250000},{1=319;7=88;8=88;9=44;10=44;13=2},{1=3%;7=3%;8=3%;9=3%;10=3%;13=3%}
5,5,0.25,5000,Orange,160,1,{501=5;502=15;gold=1500000},{1=458;7=126;8=126;9=63;10=63;13=2},{1=4%;7=4%;8=4%;9=4%;10=4%;13=4%}
6,6,0.3,6000,Orange+1,190,1,{501=6;502=18;gold=1750000},{1=611;7=168;8=168;9=84;10=84;13=3},{1=5%;7=5%;8=5%;9=5%;10=5%;13=5%}
7,7,0.35,7000,Red,220,1,{501=7;502=21;gold=2000000},{1=784;7=216;8=216;9=108;10=108;13=4},{1=6%;7=6%;8=6%;9=6%;10=6%;13=6%}
8,8,0.4,8000,Red+1,250,1,{501=8;502=24;gold=2250000},{1=971;7=267;8=267;9=134;10=134;13=4},{1=7%;7=7%;8=7%;9=7%;10=7%;13=7%}
9,9,0.45,9000,Red+2,,1,,{1=1172;7=323;8=323;9=161;10=161;13=5},{1=8%;7=8%;8=8%;9=8%;10=8%;13=8%}
101,1,,,White,60,2,{501=3;521=5;gold=1000000},,
102,2,0.2,1500,Green,80,2,{501=3;521=5;gold=1500000},{1=167;7=46;8=46;9=22;10=22;13=1},{1=1.5%;7=1.5%;8=1.5%;9=1.5%;10=1.5%;13=1.5%}
103,3,0.25,4000,Blue,100,2,{501=4;521=6;gold=2000000},{1=388;7=107;8=107;9=53;10=53;13=2},{1=3%;7=3%;8=3%;9=3%;10=3%;13=3%}
104,4,0.3,5500,Purple,120,2,{501=4;521=6;gold=2500000},{1=638;7=175;8=175;9=87;10=87;13=3},{1=4.5%;7=4.5%;8=4.5%;9=4.5%;10=4.5%;13=4.5%}
105,5,0.35,8000,Orange,120,2,{501=5;521=8;gold=3000000},{1=916;7=252;8=252;9=126;10=126;13=5},{1=6%;7=6%;8=6%;9=6%;10=6%;13=6%}
106,6,0.4,10500,Orange+1,150,2,{501=6;521=9;gold=3500000},{1=1222;7=337;8=337;9=168;10=168;13=6},{1=7.5%;7=7.5%;8=7.5%;9=7.5%;10=7.5%;13=7.5%}
107,7,0.45,13500,Red,180,2,{501=7;521=11;gold=4000000},{1=1568;7=432;8=432;9=215;10=215;13=7},{1=9%;7=9%;8=9%;9=9%;10=9%;13=9%}
108,8,0.5,16000,Red+1,240,2,{501=8;521=12;gold=4500000},{1=1942;7=534;8=534;9=267;10=267;13=9},{1=10.5%;7=10.5%;8=10.5%;9=10.5%;10=10.5%;13=10.5%}
109,9,0.55,18500,Red+2,300,2,{501=9;521=13;gold=5000000},{1=2345;7=646;8=646;9=322;10=322;13=10},{1=12%;7=12%;8=12%;9=12%;10=12%;13=12%}
110,10,0.6,21000,Red+3,360,2,{501=10;521=14;gold=5500000},{1=2777;7=764;8=764;9=382;10=382;13=11},{1=13.5%;7=13.5%;8=13.5%;9=13.5%;10=13.5%;13=13.5%}
111,11,0.65,23500,Red+4,,2,,{1=3237;7=891;8=891;9=445;10=445;13=13},{1=15%;7=15%;8=15%;9=15%;10=15%;13=15%}
201,1,,,White,80,3,{501=4;502=6;gold=1500000},,
