变量名,name,viewTag,title,choice3,quality,choice2,icon,choice1,desc,params
默认值,"""""",<>,"""""","""""",4,"""""",city/adventure/random_maze/icon/icon_dwhs.png,"""""","""""",{}
ID,特殊事件名称,是否显示界面标签(TRUE/FALSE),事件标题(富文本),选项3文本,品质等级(4=高级/5=稀有),选项2文本,事件图标资源路径,选项1文本,事件描述(富文本),事件参数{times=持续次数;cardHp=血量变化比例;等}
101,镜像诅咒,<1>,获得「#C0xF76B45##L10#被诅咒的镜子#C0x5B545B##L10#」,,,,city/adventure/random_maze/icon/icon_jxzz.png,,#C0xF76B45##L10#镜像复制#C0x5B545B##L10#：在事件原地生成一个「镜像分身」，镜像分身会完全按照本体移动的方向反向行动，并触发其他事件，镜像移动时不消耗行动力。\n#C0xF76B45##L10#镜像换位 #C0x5B545B##L10#：在镜像显示期间，可以点击镜像分身与其互换位置，该效果只能使用#C0xF76B45##L10#1#C0x5B545B##L10#次\n#C0xF76B45##L10#生效次数#C0x5B545B##L10#：移动#C0xF76B45##L10#3#C0x5B545B##L10#次后消失,{times=3}
102,傀儡替身,<1;2>,获得「#C0xF76B45##L10#巫毒人偶#C0x5B545B##L10#」,,,,city/adventure/random_maze/icon/icon_tskl.png,,#C0xF76B45##L10#伤害转移#C0x5B545B##L10#：对战内或对战外精灵受到伤害时，#C0xF76B45##L10#50%#C0x5B545B##L10#概率转移至人偶上\n#C0xF76B45##L10#控制反转#C0x5B545B##L10#：人偶存在时，移动有#C0xF76B45##L10#10%#C0x5B545B##L10#概率被人偶镜像执行(反方向移动)\n#C0xF76B45##L10#生效次数#C0x5B545B##L10#：抵挡#C0xF76B45##L10#10#C0x5B545B##L10#次伤害后消失,{damageRate=0.5;moveRate=0.1;skillID=140010;times=10}
103,移动炸弹,<1>,获得「#C0xF76B45##L10#移动炸弹#C0x5B545B##L10#」,,,,city/adventure/random_maze/icon/icon_ydzd.png,,#C0xF76B45##L10#移动爆破#C0x5B545B##L10#：炸弹计数为#C0xF76B45##L10#15#C0x5B545B##L10#点，每次移动后会减少1点炸弹计数，计数为#C0xF76B45##L10#0#C0x5B545B##L10#后爆炸，扣除当前队伍精灵#C0xF76B45##L10#30%#C0x5B545B##L10#血量,{cardHp=-0.3;times=15}
105,贪婪魔咒,<1;2>,获得「#C0xF76B45##L10#贪婪魔咒#C0x5B545B##L10#」,,,,city/adventure/random_maze/icon/icon_tlmz.png,,#C0xF76B45##L10#极致力量#C0x5B545B##L10#：获得道具时，道具自动生效，使所有队伍内的精灵初始六维属性提升30%，但代价为挑战普通/困难/地狱对手有20%概率获取的航海币数量归0（避战不会触发）\n#C0xF76B45##L10#生效次数#C0x5B545B##L10#：生效#C0xF76B45##L10#5#C0x5B545B##L10#次后消失,{prob=0.2;skillID=140011;times=5}
106,飞跃长靴,<1>,获得「#C0xF76B45##L10#飞跃长靴#C0x5B545B##L10#」,,,,city/adventure/random_maze/icon/icon_fycx.png,,#C0xF76B45##L10#腾空微步#C0x5B545B##L10#：获得道具时，道具自动生效，单次可视与可移动的范围+1，且移动时消耗的行动力不变\n#C0xF76B45##L10#生效次数#C0x5B545B##L10#：移动#C0xF76B45##L10#3#C0x5B545B##L10#次后消失,{times=3}
201,回声定位,<1>,事件效果「#C0xF76B45##L10#回声定位#C0x5B545B##L10#」,,,,city/adventure/random_maze/icon/icon_dwhs.png,,#C0xF76B45##L10#声波追踪#C0x5B545B##L10#：移动到未触发的事件上时，将被回声定位精准锁定，「回声蝙蝠」会发动攻击，扣除当前队伍精灵#C0xF76B45##L10#10%#C0x5B545B##L10#血量，若走回到已触发的格子上，则不会被回声探查到。\n#C0xF76B45##L10#生效次数#C0x5B545B##L10#：移动#C0xF76B45##L10#3#C0x5B545B##L10#次后失效,{cardHp=-0.1;times=3}
202,指向单行,<1>,事件效果「#C0xF76B45##L10#指向单行#C0x5B545B##L10#」,,,,city/adventure/random_maze/icon/icon_zxdx.png,,#C0xF76B45##L10#线路限定#C0x5B545B##L10#：移动路径因不可抗力因素，接下来的#C0xF76B45##L10#3#C0x5B545B##L10#次可移动位置变为单向指定，只能按照既定的路线行走,{times=3}
204,阴影之旅,<1>,事件效果「#C0xF76B45##L10#阴影之旅#C0x5B545B##L10#」,,,,city/adventure/random_maze/icon/icon_yyzl.png,,#C0xF76B45##L10#暗影潜行#C0x5B545B##L10#：潜入侦查暗影中，后#C0xF76B45##L10#6#C0x5B545B##L10#次移动不消耗行动力，但同时不会触发事件(#C0xF76B45##L10#出口位置#C0x5B545B##L10#除外)，在第#C0xF76B45##L10#6#C0x5B545B##L10#次移动时离开暗影恢复正常。,{times=6}
