变量名,scale,x,y,keys,basePos,res
默认值,1,0,0,<>,{y=0;x=0},
ID,建筑缩放比例,X坐标偏移,Y坐标偏移,关联格子键值列表<key>,基准坐标{x;y},建筑资源图片路径
1,0.6,,70,<707;809;706;708;607>,{x=0;y=-143},city/union/cross_union_adventure/theme/waiwei/img_wwss01.png
2,0.32,10,80,<707;809;706;708;607>,{x=0;y=-143},city/union/cross_union_adventure/theme/waiwei/img_wwss20.png
3,0.6,-60,10,<808;809;708>,{x=0;y=0},city/union/cross_union_adventure/theme/waiwei/img_wwss34.png
4,0.6,40,10,<908;809;807;909>,{x=-143;y=71.5},city/union/cross_union_adventure/theme/waiwei/img_wwss28.png
5,0.6,,40,<908;809>,{x=-143;y=71.5},city/union/cross_union_adventure/theme/img_gsp3.png
6,,,-30,<909>,{x=0;y=143},city/union/cross_union_adventure/theme/img_shu02.png
7,,-20,,<908;910;909>,{x=-143;y=71.5},city/union/cross_union_adventure/theme/img_ssq01.png
8,0.8,-20,-40,<910;1009;909;1010>,{x=143;y=214.5},city/union/cross_union_adventure/theme/img_ys1.png
9,1.2,30,-30,<908;909>,{x=-143;y=71.5},city/union/cross_union_adventure/theme/img_shu15.png
10,0.6,10,-20,<808;908;809;909>,{x=0;y=0},city/union/cross_union_adventure/theme/img_st06.png
11,2,-40,70,<808>,{x=0;y=0},city/adventure/random_maze/huoshan/zhedangwu_01.png
12,2,-40,40,<808>,{x=0;y=0},city/adventure/random_maze/huoshan/zhedangwu_03.png
13,1.5,-35,45,<808>,{x=0;y=0},city/adventure/random_maze/huoshan/zhedangwu_04.png
14,2,-40,80,<808>,{x=0;y=0},city/adventure/random_maze/huoshan/zhedangwu_05.png
15,1.4,-30,75,<808>,{x=0;y=0},city/adventure/random_maze/huoshan/zhedangwu_06.png
16,1.3,-50,75,<808>,{x=0;y=0},city/adventure/random_maze/huoshan/zhedangwu_07.png
17,1.3,-10,20,<808>,{x=0;y=0},city/adventure/random_maze/huoshan/zhedangwu_08.png
21,2,-52,60,<808>,{x=0;y=0},city/adventure/random_maze/bingxue/zhedangwu_01.png
22,1.9,-55,65,<808>,{x=0;y=0},city/adventure/random_maze/bingxue/zhedangwu_02.png
23,1.9,-60,80,<808>,{x=0;y=0},city/adventure/random_maze/bingxue/zhedangwu_03.png
24,2,-40,55,<808>,{x=0;y=0},city/adventure/random_maze/bingxue/zhedangwu_05.png
25,1.8,-20,35,<808>,{x=0;y=0},city/adventure/random_maze/bingxue/zhedangwu_06.png
26,1.9,-25,50,<808>,{x=0;y=0},city/adventure/random_maze/bingxue/zhedangwu_07.png
27,1.9,-25,45,<808>,{x=0;y=0},city/adventure/random_maze/bingxue/zhedangwu_04.png
31,2,55,65,<808>,{x=0;y=0},city/adventure/random_maze/youming/zhedangwu_04.png
32,1.7,20,40,<808>,{x=0;y=0},city/adventure/random_maze/youming/zhedangwu_03.png
33,1.7,20,35,<808>,{x=0;y=0},city/adventure/random_maze/youming/zhedangwu_02.png
34,1.8,20,37,<808>,{x=0;y=0},city/adventure/random_maze/youming/zhedangwu_01.png
41,1.9,-20,30,<808>,{x=0;y=0},city/adventure/random_maze/liekong/zhedangwu_01.png
42,1.8,-20,30,<808>,{x=0;y=0},city/adventure/random_maze/liekong/zhedangwu_02.png
43,1.7,-20,30,<808>,{x=0;y=0},city/adventure/random_maze/liekong/zhedangwu_03.png
44,1.6,-20,30,<808>,{x=0;y=0},city/adventure/random_maze/liekong/zhedangwu_04.png
45,1.5,-20,15,<808>,{x=0;y=0},city/adventure/random_maze/liekong/zhedangwu_05.png
