变量名,desc,scale,weight,gridID,cost,result1,award1,result2,award2,result3,award3
默认值,"""""",1,0,1,{},{},{},{},{},{},{}
ID,宝箱描述文本,图标缩放比例,随机权重,关联格子类型ID(grid表),开启消耗{coin=航海币},结果1内容{items=道具},奖励1内容{gold=金币},结果2内容{items=道具},奖励2内容{gold=金币},结果3内容{items=道具},奖励3内容{gold=金币}
1,挖掘出一个满是泥土的宝箱，虽然有些破烂但依稀可以看出是一个埋藏许久的珍宝，请收下这份神秘奖励！,,,5,,,{gold=10000},,,,
2,挖掘出一个满是泥土的宝箱，虽然有些破烂但依稀可以看出是一个埋藏许久的珍宝，请收下这份神秘奖励！,0.8,300,5,,{items=<1>},,,,,
3,挖掘出一个满是泥土的宝箱，虽然有些破烂但依稀可以看出是一个埋藏许久的珍宝，请收下这份神秘奖励！,0.8,300,5,,{items={6=1}},,,,,
4,挖掘出一个满是泥土的宝箱，虽然有些破烂但依稀可以看出是一个埋藏许久的珍宝，请收下这份神秘奖励！,0.8,80,5,,{items={10=1}},,,,,
5,挖掘出一个满是泥土的宝箱，虽然有些破烂但依稀可以看出是一个埋藏许久的珍宝，请收下这份神秘奖励！,0.8,80,5,,{items={12=1}},,,,,
6,挖掘出一个满是泥土的宝箱，虽然有些破烂但依稀可以看出是一个埋藏许久的珍宝，请收下这份神秘奖励！,0.8,80,5,,{items={14=1}},,,,,
7,挖掘出一个闪耀金光的宝箱，这一定是古早贵族珍藏的物品，请收下这份豪华的奖励！,,,7,,,{gold=30000},,,,
8,挖掘出一个闪耀金光的宝箱，这一定是古早贵族珍藏的物品，请收下这份豪华的奖励！,,300,7,,{items={2=1}},,,,,
9,挖掘出一个闪耀金光的宝箱，这一定是古早贵族珍藏的物品，请收下这份豪华的奖励！,,300,7,,{items={3=1}},,,,,
10,挖掘出一个闪耀金光的宝箱，这一定是古早贵族珍藏的物品，请收下这份豪华的奖励！,,80,7,,{items={7=1}},,,,,
11,挖掘出一个闪耀金光的宝箱，这一定是古早贵族珍藏的物品，请收下这份豪华的奖励！,,80,7,,{items={13=1}},,,,,
12,挖掘出一个闪耀金光的宝箱，这一定是古早贵族珍藏的物品，请收下这份豪华的奖励！,,300,7,,{items={14=1}},,,,,
13,一个神秘的封印宝箱，要破除封印的方法需要消耗200航海币，是否要开启这神秘的封印宝箱？,,300,11,{coin=200},{items={4=1}},,,,,
14,一个神秘的封印宝箱，要破除封印的方法需要消耗200航海币，是否要开启这神秘的封印宝箱？,,300,11,{coin=200},{items={5=1}},,,,,
15,一个神秘的封印宝箱，要破除封印的方法需要消耗200航海币，是否要开启这神秘的封印宝箱？,,100,11,{coin=200},{items={8=1}},,,,,
16,一个神秘的封印宝箱，要破除封印的方法需要消耗200航海币，是否要开启这神秘的封印宝箱？,,100,11,{coin=200},{items={9=1}},,,,,
17,一个神秘的封印宝箱，要破除封印的方法需要消耗200航海币，是否要开启这神秘的封印宝箱？,,80,11,{coin=200},{items={11=1}},,,,,
18,一个神秘的封印宝箱，要破除封印的方法需要消耗200航海币，是否要开启这神秘的封印宝箱？,,300,11,{coin=200},{items={15=1}},,,,,
19,一个神秘的封印宝箱，要破除封印的方法需要消耗200航海币，是否要开启这神秘的封印宝箱？,,80,11,{coin=200},{items={16=1}},,,,,
20,一个神秘的封印宝箱，要破除封印的方法需要消耗200航海币，是否要开启这神秘的封印宝箱？,,,11,{coin=200},{items=<1>},{gold=30000},,,,
21,一个神秘的封印宝箱，要破除封印的方法需要消耗200航海币，是否要开启这神秘的封印宝箱？,,,11,{coin=200},,{rmb=3},,,,
22,,,300,12,,{items=<1>},,{items={2=1}},,{items={15=1}},
23,,,100,12,,{items={3=1}},,{items={4=1}},,{items={16=1}},
24,,,80,12,,{items={5=1}},,{items={8=1}},,{items={9=1}},
25,,,80,12,,{items={10=1}},,{items={17=1}},,{items={11=1}},
26,,,100,12,,{items={14=1}},,{items={14=2}},,{items={14=3}},
27,,,50,12,,{items={12=1}},,{items={13=1}},,{items={18=1}},
28,,,,12,,,{gold=10000},,{gold=20000},,{gold=30000}
