变量名,backGround,type,point,deployNum,deployCardNumLimit,deployType,teamMininum,weight,fightC,deployNatureLimit,monsters,monsters2,monsters3,monsters4,winResult,winAward,failResult,failAward,skipBattleResult,skipBattleAward,battleFlag
默认值,csv.stage.ytly,0,0,1,6,1,1,100,1,{},<>,<>,<>,{},{},{},{},{},{},{},<99;98098>
ID,战斗背景(csv.stage),战斗类型(2=Boss/8=普通/9=困难/15=地狱),冒险见闻积分要求,出战队伍数量,出战精灵数量上限,出战类型(1=单精灵/2=单队伍/3=多队伍/4=双队伍/5=三队伍),队伍最少精灵数,随机权重,战斗力系数,出战属性限制{属性ID},怪物队伍1<精灵CSV_ID>,怪物队伍2<精灵CSV_ID>,怪物队伍3<精灵CSV_ID>,怪物队伍4,胜利结果{coin=航海币;points=见闻},胜利奖励{道具ID=数量;gold=金币},失败结果{coin=航海币;points=见闻},失败奖励{道具ID=数量;gold=金币},跳过战斗结果{coin=航海币;points=见闻},跳过战斗奖励,战斗标记<标记值>
10001,,8,,,,,3,50,0.42,,<542;551;541;3471;541;542>,,,,{coin=100;points=200},,{coin=40;points=80},,{coin=50;points=100},,
10002,,8,,,,,3,50,0.42,,<3502;3012;3502;1851;2873;1851>,,,,{coin=100;points=200},,{coin=40;points=80},,{coin=50;points=100},,
10003,,8,,,,,3,50,0.42,,<222;552;1481;552;1481;222>,,,,{coin=100;points=200},,{coin=40;points=80},,{coin=50;points=100},,
10004,,8,,,,,3,50,0.42,,<1351;1352;1351;1352;1353;1352>,,,,{coin=100;points=200},,{coin=40;points=80},,{coin=50;points=100},,
10005,,8,,,,,3,50,0.42,,<2924;2922;123;2923;2921;113>,,,,{coin=100;points=200},,{coin=40;points=80},,{coin=50;points=100},,
10006,,8,,,,,3,50,0.42,,<892;3472;2872;3012;1851;893>,,,,{coin=100;points=200},,{coin=40;points=80},,{coin=50;points=100},,
10007,,8,,,,,3,50,0.42,,<2872;2302;1353;2922;3502;893>,,,,{coin=100;points=200},,{coin=40;points=80},,{coin=50;points=100},,
10008,,8,,,,,3,50,0.42,,<1352;3471;2921;3501;893;551>,,,,{coin=100;points=200},,{coin=40;points=80},,{coin=50;points=100},,
10009,,8,,,,,3,50,0.42,,<222;802;1852;691;3011;23>,,,,{coin=100;points=200},,{coin=40;points=80},,{coin=50;points=100},,
10010,,8,,,,,3,50,0.42,,<802;692;1863;552;893;2921>,,,,{coin=100;points=200},,{coin=40;points=80},,{coin=50;points=100},,
10011,,8,,,1,2,,50,0.07,,<893;0;0;0;0;0>,,,,{coin=100;points=200},,{coin=40;points=80},,{coin=50;points=100},,
10012,,8,,,1,2,,50,0.07,,<803;0;0;0;0;0>,,,,{coin=100;points=200},,{coin=40;points=80},,{coin=50;points=100},,
10013,,8,,,1,2,,50,0.07,,<1802;0;0;0;0;0>,,,,{coin=100;points=200},,{coin=40;points=80},,{coin=50;points=100},,
10014,,8,,,1,2,,50,0.07,,<2302;0;0;0;0;0>,,,,{coin=100;points=200},,{coin=40;points=80},,{coin=50;points=100},,
