变量名,name,resultDesc3,choice3,resultDesc2,choice2,resultDesc1,choice1,desc,limit,weight,res,group,theme,cost1,result1,award1,cost2,result2,award2,cost3,result3,award3
默认值,"""""","""""","""""","""""","""""","""""","""""","""""",0,100,"""""",1,<1;2;3;4;5;6>,{},{},{},{},{},{},{},{},{}
ID,事件名称,选项3结果描述,选项3文本,选项2结果描述,选项2文本,选项1结果描述,选项1文本,事件描述文本,触发次数上限,随机权重,事件资源图片,事件分组ID,适用主题ID列表,选项1消耗{coin/action/cardAction},选项1结果{coin/points/action/cardAction/skipBattleTimes},选项1奖励{gold/items},选项2消耗,选项2结果,选项2奖励,选项3消耗,选项3结果,选项3奖励
1,迷路的咩利羊,在咩利羊可怜的眼神中走开，你一无所获,默默走开,咩利羊表达了感谢，获得50冒险见闻,直接切断藤蔓（消耗1点行动力）,咩利羊吃了树果，获得50冒险见闻,用树果投喂（需消耗50航海币）,森林中发现一只走失的咩利羊，它被带电的藤蔓束缚着，因饥饿显着很虚弱，此时你会选择？,999,110,,,,{coin=50},{points=50},,{action=1},{points=50},,,,
2,迷路的咩利羊,在咩利羊可怜的眼神中走开，你一无所获,默默走开,咩利羊解脱后快速跑远，你一无所获,直接切断藤蔓（消耗1点行动力）,咩利羊很警觉，没有吃你的树果，你一无所获,用树果投喂（需消耗50航海币）,森林中发现一只走失的咩利羊，它被带电的藤蔓束缚着，因饥饿显着很虚弱，此时你会选择？,999,40,,,,{coin=50},,,{action=1},,,,,
3,神秘商人的箱子,,,保险意识得到商人的赞扬，获得20冒险见闻,拒绝交易,宝箱内开出100航海币和50冒险见闻,花费50航海币购买,戴墨镜的商人向你推销一个上锁的金属箱，听说里面会开出来意想不到的物品，是否尝试开启？,999,110,,2,,{coin=50},{coin=100;points=50},,,{points=20},,,,
4,神秘商人的箱子,,,转身就走，回眸看到商人失望的离开,拒绝交易,宝箱内只有一张纸条：“你被骗了”,花费50航海币购买,戴墨镜的商人向你推销一个上锁的金属箱，听说里面会开出来意想不到的物品，是否尝试开启？,999,40,,2,,{coin=50},,,,,,,,
5,暴鲤龙的愤怒,,,离开的路上受到暴鲤龙的潮汐攻击，丢失了100航海币,直接离开,成功击退暴鲤龙，获得50冒险见闻和100航海币,指挥宝可梦对战（消耗全队精灵1点体力）,湖泊中的暴鲤龙频繁袭击商船，导致无法海运物品，是否出手帮忙？,999,110,,3,,{cardAction=1},{coin=100;points=50},,,{coin=-100},,,,
6,暴鲤龙的愤怒,,,离开的路上偶然发现宝箱，获得20冒险见闻和10航海币,直接离开,暴鲤龙过于强大，宝可梦们不敌，快速撤退,指挥宝可梦对战（消耗全队精灵1点体力）,湖泊中的暴鲤龙频繁袭击商船，导致无法海运物品，是否出手帮忙？,999,40,,3,,{cardAction=1},,,,{coin=10;points=20},,,,
7,考古学者的请求,,,转身离开，无事发生,继续赶路,挖掘到了远古神秘化石，获得50冒险见闻和100航海币,协助挖掘（扣除1点行动力）,研究员需要帮手挖掘远古化石，是否协助研究员挖掘？,999,110,,4,,{action=1},{coin=100;points=50},,,,,,,
8,考古学者的请求,,,在继续前行的路上发现埋在石堆里的10航海币，意外之喜,继续赶路,挖掘了1天，未发现什么神秘化石，无功而返,协助挖掘（扣除1点行动力）,研究员需要帮手挖掘远古化石，是否协助研究员挖掘？,999,40,,4,,{action=1},,,,{coin=10},,,,
9,甜甜蜜危机,悄悄离开，没有被大针蜂发现，你一无所获,无视离开,成功引开大针蜂，三蜜蜂给予你们50冒险见闻,购买甜甜蜜引开大针蜂（消耗50航海币）,成功驱逐大针蜂，三蜜蜂给予你们50冒险见闻与100航海币作为谢礼,正面驱逐大针蜂（消耗全队精灵1点体力）,三蜜蜂的蜂巢被大针蜂占领，是否帮助三蜜蜂夺回蜂巢？,999,110,,5,,{cardAction=1},{coin=100;points=50},,{coin=50},{points=50},,,,
