变量名,x,y,map,simpleShow,connectOuter,corrosionInner,specialID
默认值,1,1,0,TRUE,<1;1>,<0;0>,<>
ID,内部地图宽度(格子数),内部地图高度(格子数),所属地图ID(map表),是否简略显示(TRUE/FALSE),外部连接点坐标<x;y>,腐蚀内部区域坐标<x;y>,特殊格子ID列表<grid表ID>
1,,,1,,<1;1>,,
2,2,2,1,,<2;3>,,
3,,,1,,<2;2>,,
4,2,2,2,,<0;0>,,<111>
5,,,2,,<1;1>,,
6,2,2,2,,<2;3>,,
7,,,2,,<2;2>,,
8,,,3,,<1;1>,,
9,2,2,3,,<2;3>,,
10,,,3,,<2;2>,,
11,,,4,,<1;1>,,
12,2,2,4,,<2;3>,,
13,,,4,,<2;2>,,
14,2,2,5,,<0;0>,,<111>
15,,,5,,<1;1>,,
16,2,2,5,,<2;3>,,
17,,,5,,<2;2>,,
18,,,6,,<1;1>,,
19,2,2,6,,<2;3>,,
20,,,6,,<2;2>,,
21,,,7,,<1;1>,,
22,2,2,7,,<2;3>,,
23,,,7,,<2;2>,,
24,2,2,8,,<0;0>,,<111>
25,,,8,,<1;1>,,
26,2,2,8,,<2;3>,,
27,,,8,,<2;2>,,
28,,,9,,<1;1>,,
29,2,2,9,,<2;3>,,
30,,,9,,<2;2>,,
31,,,10,,<1;1>,,
32,2,2,10,,<2;3>,,
33,,,10,,<2;2>,,
34,2,2,11,,<0;0>,,<111>
35,,,11,,<1;1>,,
36,2,2,11,,<2;3>,,
37,,,11,,<2;2>,,
38,,,12,,<1;1>,,
39,2,2,12,,<2;3>,,
40,,,12,,<2;2>,,
