变量名,attr7,attr5,attr2,attr3,attr6,attr4,attr1
默认值,{},{},{},{},{},{},{}
ID,默认值,默认值,默认值,默认值,默认值,默认值,默认值
0,{1=0;7=0;8=0;9=0;10=0},{1=0;7=0;8=0;9=0;10=0},{1=0;7=0;8=0;9=0;10=0},{1=0;7=0;8=0;9=0;10=0},{1=0;7=0;8=0;9=0;10=0},{1=0;7=0;8=0;9=0;10=0},{1=0;7=0;8=0;9=0;10=0}
1,{1=748;7=206;8=206;9=79;10=79},{1=691;7=190;8=190;9=73;10=73},{1=604;7=166;8=166;9=64;10=64},{1=633;7=174;8=174;9=67;10=67},{1=719;7=198;8=198;9=76;10=76},{1=662;7=182;8=182;9=70;10=70},{1=576;7=158;8=158;9=61;10=61}
2,{1=935;7=257;8=257;9=100;10=100},{1=863;7=238;8=238;9=92;10=92},{1=755;7=208;8=208;9=80;10=80},{1=791;7=218;8=218;9=84;10=84},{1=899;7=248;8=248;9=96;10=96},{1=827;7=228;8=228;9=88;10=88},{1=719;7=198;8=198;9=77;10=77}
3,{1=1122;7=309;8=309;9=118;10=118},{1=1036;7=285;8=285;9=109;10=109},{1=906;7=249;8=249;9=96;10=96},{1=950;7=261;8=261;9=100;10=100},{1=1079;7=297;8=297;9=114;10=114},{1=993;7=273;8=273;9=105;10=105},{1=863;7=238;8=238;9=91;10=91}
4,{1=1309;7=360;8=360;9=139;10=139},{1=1209;7=333;8=333;9=128;10=128},{1=1058;7=291;8=291;9=112;10=112},{1=1108;7=305;8=305;9=118;10=118},{1=1259;7=347;8=347;9=134;10=134},{1=1158;7=319;8=319;9=123;10=123},{1=1007;7=277;8=277;9=107;10=107}
5,{1=1496;7=412;8=412;9=158;10=158},{1=1381;7=380;8=380;9=146;10=146},{1=1209;7=333;8=333;9=128;10=128},{1=1266;7=348;8=348;9=134;10=134},{1=1439;7=396;8=396;9=152;10=152},{1=1324;7=364;8=364;9=140;10=140},{1=1151;7=317;8=317;9=121;10=121}
6,{1=1721;7=474;8=474;9=182;10=182},{1=1589;7=437;8=437;9=168;10=168},{1=1390;7=383;8=383;9=147;10=147},{1=1456;7=401;8=401;9=154;10=154},{1=1655;7=455;8=455;9=175;10=175},{1=1523;7=419;8=419;9=161;10=161},{1=1324;7=364;8=364;9=140;10=140}
7,{1=1946;7=535;8=535;9=206;10=206},{1=1796;7=494;8=494;9=190;10=190},{1=1572;7=432;8=432;9=166;10=166},{1=1647;7=453;8=453;9=174;10=174},{1=1871;7=515;8=515;9=198;10=198},{1=1721;7=474;8=474;9=182;10=182},{1=1497;7=412;8=412;9=158;10=158}
8,{1=2169;7=597;8=597;9=228;10=228},{1=2002;7=551;8=551;9=211;10=211},{1=1752;7=482;8=482;9=184;10=184},{1=1835;7=505;8=505;9=193;10=193},{1=2086;7=574;8=574;9=219;10=219},{1=1919;7=528;8=528;9=202;10=202},{1=1668;7=459;8=459;9=176;10=176}
9,{1=2394;7=659;8=659;9=252;10=252},{1=2210;7=608;8=608;9=233;10=233},{1=1933;7=532;8=532;9=204;10=204},{1=2026;7=558;8=558;9=213;10=213},{1=2302;7=634;8=634;9=243;10=243},{1=2118;7=583;8=583;9=223;10=223},{1=1841;7=507;8=507;9=194;10=194}
10,{1=2619;7=721;8=721;9=276;10=276},{1=2417;7=665;8=665;9=255;10=255},{1=2115;7=582;8=582;9=223;10=223},{1=2216;7=610;8=610;9=234;10=234},{1=2518;7=693;8=693;9=266;10=266},{1=2316;7=638;8=638;9=244;10=244},{1=2014;7=554;8=554;9=213;10=213}
11,{1=2881;7=793;8=793;9=304;10=304},{1=2660;7=732;8=732;9=280;10=280},{1=2327;7=640;8=640;9=245;10=245},{1=2438;7=671;8=671;9=257;10=257},{1=2770;7=762;8=762;9=292;10=292},{1=2549;7=701;8=701;9=269;10=269},{1=2216;7=610;8=610;9=234;10=234}
12,{1=3142;7=865;8=865;9=331;10=331},{1=2900;7=798;8=798;9=306;10=306},{1=2538;7=699;8=699;9=267;10=267},{1=2659;7=732;8=732;9=280;10=280},{1=3021;7=832;8=832;9=318;10=318},{1=2779;7=765;8=765;9=293;10=293},{1=2417;7=665;8=665;9=255;10=255}
13,{1=3405;7=937;8=937;9=359;10=359},{1=3143;7=865;8=865;9=331;10=331},{1=2750;7=757;8=757;9=290;10=290},{1=2881;7=793;8=793;9=303;10=303},{1=3274;7=901;8=901;9=345;10=345},{1=3012;7=829;8=829;9=317;10=317},{1=2619;7=721;8=721;9=276;10=276}
14,{1=3665;7=1009;8=1009;9=386;10=386},{1=3383;7=931;8=931;9=356;10=356},{1=2960;7=815;8=815;9=312;10=312},{1=3101;7=854;8=854;9=327;10=327},{1=3524;7=970;8=970;9=371;10=371},{1=3242;7=893;8=893;9=342;10=342},{1=2820;7=776;8=776;9=297;10=297}
15,{1=3928;7=1081;8=1081;9=415;10=415},{1=3626;7=998;8=998;9=383;10=383},{1=3173;7=873;8=873;9=335;10=335},{1=3324;7=915;8=915;9=351;10=351},{1=3777;7=1040;8=1040;9=399;10=399},{1=3475;7=956;8=956;9=367;10=367},{1=3021;7=832;8=832;9=319;10=319}
16,{1=4227;7=1163;8=1163;9=446;10=446},{1=3901;7=1074;8=1074;9=412;10=412},{1=3414;7=940;8=940;9=360;10=360},{1=3576;7=984;8=984;9=378;10=378},{1=4064;7=1119;8=1119;9=429;10=429},{1=3739;7=1029;8=1029;9=395;10=395},{1=3251;7=895;8=895;9=343;10=343}
