变量名,name,name_tw,name_en,name_vn,name_kr,icon,attrType1,attrType2,attrValue,levelMax,upCost,trainerLevel,totalAttrLevel,desc
默认值,"""""","""""","""""","""""","""""","""""",,,"""""",10,{},1,0,""""""
ID,显示名字,显示名字,显示名字,显示名字_越南,显示名字_韩,技能图标,属性类型1,属性类型2,每级属性加成（数值百分比都支持）,最大等级(-1：无上限),升级消耗,解锁条件（训练家等级）,解锁条件（技能属性累计等级）,技能描述
1,生命,,,,,,1,,260,500,{453=50},12,,
2,物攻,,,,,,7,,96,500,{453=50},12,,
3,特攻,,,,,,8,,96,500,{453=50},12,,
4,物防,,,,,,9,,38,500,{453=50},12,,
5,特防,,,,,,10,,38,500,{453=50},12,,
7,暴击,,,,,,14,,10,50,{453=120},12,150,
8,暴击抗性,,,,,,16,,10,50,{453=120},12,150,
9,竞技伤害加成,,,,,,92,,10,50,{453=150},12,200,
10,竞技伤害减免,,,,,,93,,10,50,{453=150},12,200,
11,抵御率,,,,,,17,,10,50,{453=200},12,480,
12,破抵御率,,,,,,18,,10,50,{453=200},12,480,
13,必杀伤害加成,,,,,,24,,10,50,{453=260},12,720,
14,必杀伤害抗性,,,,,,25,,10,50,{453=260},12,720,
15,控制率,,,,,,90,,10,50,{453=320},12,960,
16,免控率,,,,,,91,,10,50,{453=320},12,960,
