变量名,text,type,contract,__version
默认值,“”,0,<>,
ID,text,type,contract,__version
101,MOD101,1,<81301>,
102,MOD102,1,<81302>,
103,MOD103,1,<81303>,
104,MOD104,1,<82301>,
105,MOD105,1,<82302>,
106,MOD106,1,<82303>,
107,MOD107,1,<83301>,
108,MOD108,1,<83302>,
109,MOD109,1,<83303>,
110,MOD110,1,<81402;83401>,
111,MOD111,1,<81403;83403>,
112,MOD112,1,<81404;83404>,
113,MOD113,1,<82401;83405>,
114,MOD114,1,<82403;83406>,
115,MOD115,1,<82404;83301>,
116,MOD116,1,<82405;83304>,
117,MOD117,1,<82406;83303>,
118,MOD118,1,<81406;83302>,
119,MOD119,1,<81405;83201>,
120,MOD120,1,<81501;81502;83501>,
121,MOD121,1,<81503;81504;83511>,
122,MOD122,1,<82529;82528;83503>,
123,MOD123,1,<82527;82526;83504>,
124,MOD124,1,<82525;83505;83606>,
125,MOD125,1,<82524;83507;83508>,
126,MOD126,1,<82502;81401;83402>,
127,MOD127,1,<81602;81603;81629>,
128,MOD128,1,<81604;81605;83601>,
129,MOD129,1,<82601;82602;83602>,
130,MOD130,1,<82604;83617;83616>,
131,MOD131,1,<82605;83615;83614>,
132,MOD132,1,<81601;82603;83603>,
133,MOD133,1,<81507;82509;83502>,
201,,2,<84601;84602;84603;84604>,
202,,2,<84605;84606>,
203,,2,<84501;84503;84505;84507;84509;84511>,
204,,2,<84510;84512>,
205,,2,<84502;84504;84506>,
206,,2,<84412;84402>,
207,,2,<84401;84405;84410>,
208,,2,<84302;84408>,
209,,2,<84305;84306>,
