变量名,name,natureType,spine
默认值,"""""",0,""""""
ID,默认值,默认值,默认值
1,Normal Emblem,1,wenzhang/wenzhang1.skel
2,Fire Emblem,2,wenzhang/wenzhang1.skel
3,Water Emblem,3,wenzhang/wenzhang1.skel
4,Grass Emblem,4,wenzhang/wenzhang1.skel
5,Electric Emblem,5,wenzhang/wenzhang1.skel
6,Ice Emblem,6,wenzhang/wenzhang3.skel
7,Fighting Emblem,7,wenzhang/wenzhang3.skel
8,Poison Emblem,8,wenzhang/wenzhang2.skel
9,Ground Emblem,9,wenzhang/wenzhang1.skel
10,Flying Emblem,10,wenzhang/wenzhang3.skel
11,Psychic Emblem,11,wenzhang/wenzhang3.skel
12,Bug Emblem,12,wenzhang/wenzhang3.skel
13,Rock Emblem,13,wenzhang/wenzhang2.skel
14,Ghost Emblem,14,wenzhang/wenzhang3.skel
15,Dragon Emblem,15,wenzhang/wenzhang2.skel
16,Dark Emblem,16,wenzhang/wenzhang2.skel
17,Steel Emblem,17,wenzhang/wenzhang2.skel
18,Fairy Emblem,18,wenzhang/wenzhang2.skel
