变量名,_beizhu,itemWeightMap,itemCount,costMap,vipStart,vipWeight,beginDate,endDate,position,levelRange,limitType,limitTimes,showUnable
默认值,,{},0,{coin2=0},0,1,0,20990101,0,<1;150>,0,0,FALSE
商店ID,备注,商品ID表({ID=权重;}),商品个数,消耗积分,起始VIP等级,刷新几率权重(-1=必定出现),开始贩售时间,结束贩售时间,商店栏位,等级限制,限购周期类型(1-日限购；2-周限购；3-月限购；4-永久限购),限购数量,未解锁时是否可见
,,,,,,,,,,,,,
21,碎片,{20741=10},5,{coin2=1500},0,100,,,0,<200;200>,,,
22,碎片,{21241=10},5,{coin2=1500},0,100,,,1,<200;200>,,,
23,碎片,{20271=10},5,{coin2=900},0,100,,,2,<200;200>,,,
24,碎片,{20481=10},5,{coin2=900},0,100,,,3,<200;200>,,,
,,,,,,,,,,,,,
25,培养代币,{451=10},5,{coin2=500},0,100,,,12,<200;200>,,,
26,强化药剂,{5000=10},20,{coin2=400},0,100,,,13,<200;200>,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
27,5W金币,{514=10},15,{coin2=500},0,100,,,14,,,,
28,高级礼物盒子,{902=10},1,{coin2=200},0,100,,,15,,,,
,,,,,,,,,,,,,
31,咩利羊,{20881=10},5,{coin2=1500},0,100,,,0,,,,
32,戴鲁比,{21171=10},5,{coin2=1500},0,100,,,1,,,,
33,花蓓蓓,{23351=10},5,{coin2=1500},0,100,,,2,,,,
,,,,,,,,,,,,,
41,卡蒂狗,{20241=10},5,{coin2=1500},0,100,,,3,,,,
42,大岩蛇,{20401=10},5,{coin2=1500},0,100,,,4,,,,
43,赫拉克罗斯,{21071=10},5,{coin2=1500},0,100,,,5,,,,
,,,,,,,,,,,,,
34,海豹球,{21861=10},5,{coin2=900},0,100,,,6,,,,
35,菊草叶,{20781=10},5,{coin2=900},0,100,,,7,,,,
36,臭泥,{20371=10},5,{coin2=900},0,100,,,8,,,,
37,小火龙,{20011=10},5,{coin2=900},0,100,,,9,,,,
,,,,,,,,,,,,,
51,波波,{20051=10},5,{coin2=900},0,100,,,10,,,,
52,海星星,{20551=10},5,{coin2=900},0,100,,,11,,,,
,,,,,,,,,,,,,
1001,碎片,{29001=10},30,{coin2=3200},0,100,,,16,<1;150>,2,1,
1011,碧珂信物,{2228=10},1,{coin2=30000},0,100,,,17,<1;150>,4,1,
1021,紫色探险器选择箱子,{966=10},1,{coin2=8000},0,100,,,18,<1;150>,3,3,
,,,,,,,,,,,,,
101,宝石21,{5001=100;5002=100;5003=100},30,{coin2=300},,100,,,8,<200;200>,,,
