变量名,_beizhu,name,group,res,desc,onlyOne,limit,choice1,resultDesc1,result1,choice2,resultDesc2,result2,choice3,resultDesc3,result3
默认值,"""""","""""",1,"""""","""""",FALSE,999,"""""","""""",{},"""""","""""",{},"""""","""""",{}
ID,备注,事件标题,组ID,卡面资源,事件描述,今日是否唯一,限制出现的次数,选择1描述,结果1描述,结果1,选择2描述,结果2描述,结果2,选择3描述,结果3描述,结果3
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
1,,精致雕像,2,,有一个精致的雕像倒在了地上，似乎可以看到雕像内闪烁着金色的光,TRUE,,将雕像摆好,获得了雕像的祝福，上阵精灵的hp完全恢复,{buff=<210>},砸碎它,获得了金币，但是受到了诅咒，所有上阵精灵生命值减少20%,{items={gold=5000};buff=<201>},视而不见,什么都没有发生,
2,,奇异雕像,2,,有一个奇特的雕像倒在了地上，似乎可以看到雕像内闪烁着耀眼的光,TRUE,,将雕像摆好,获得了雕像的祝福，上阵精灵的怒气完全恢复,{buff=<211>},砸碎它,获得了金币，但是受到了诅咒，所有上阵精灵怒气被清空了,{items={gold=5000};buff=<205>},视而不见,雕像中透露出一个微弱的光，附加到你的身上，似乎得到了祝福，下一次战斗中，我方精灵击杀敌人后可以获得100%的攻击力加成，持续2回合,{buff=<1038>}
3,,拦路凶兽,1,,你误打误撞吵醒了正在熟睡的卡比兽,,3,安抚他,卡比兽继续倒头大睡，他的身后似乎有个宝箱,{items={gold=5000}},藏起来,卡比兽怒不可遏，发出怒吼，你受到惊吓，物理和特殊攻击力降低10%，上阵精灵怒气减少,{buff=<212;213>},,,
4,,暗藏玄机,2,,这里空空的，似乎能听到微弱的声音,,,侧耳倾听,听到了美洛耶塔的歌声，下一次战斗开始时，我方第一只行动的精灵造成双倍伤害,{buff=<1039>},四处找找,似乎找到了一个宝箱，里面有一些东西,{items={gold=5000}},,,
5,,迷之宝箱,2,,发现了一个长相奇特的宝箱,,,扔个石头过去,宝箱怪张开巨大的嘴巴把石头吞了下去，似乎是磕到了牙，掉落了一小袋金币,{items={gold=5000}},上前查看,居然是个宝箱怪，上阵精灵生命值减少了,{buff=<200>},小心上前,获得了一个宝箱,{items={gold=15000}}
6,,迷之宝箱,2,,发现了一个长相奇特的宝箱,,,扔个石头过去,宝箱怪张开巨大的嘴巴把石头吞了下去，似乎是磕到了牙，掉落了一小袋金币,{items={gold=5000}},上前查看,获得了一个宝箱,{items={gold=9000}},小心上前,居然是个宝箱怪，上阵精灵生命值减少了,{buff=<200>}
7,,遭遇火箭队,1,,发现了鬼鬼祟祟的火箭队三人组,,,上前打招呼,三人组受到了惊吓，当即发生对战，上阵精灵生命值减少10%，但是怒气值增加了,{buff=<200;215>},偷偷观察,他们似乎找到了什么值钱的东西后离开了，跟着他们的步伐，你也找到了一些残留的金币，金币+15000,{items={gold=15000}},,,
8,,遭遇火箭队,1,,发现了鬼鬼祟祟的火箭队三人组,,,上前打招呼,三人组受到了惊吓，飞也似地逃走了，慌乱中似乎留下了一些金币,{items={gold=15000}},偷偷观察,似乎被他们发现了，被迫进行对战，上阵精灵生命值减少10%，但是怒气值增加了,{buff=<200;215>},,,
