变量名,taskID,type,targetType,targetArg,award,__version
默认值,0,1,1,99,{},
ID,taskID,type,targetType,targetArg,award,__version
1101,1,2,,10,{543=400;951=3},
1102,1,2,,20,{543=800;951=5},
1103,1,2,3,3,{543=400;951=3},
1104,1,2,3,6,{543=600;951=3},
1105,1,2,3,12,{543=600;951=3},
1106,1,2,4,1,{543=200;951=3},
1107,1,2,4,3,{543=400;951=5},
1108,1,2,4,6,{543=400;951=5},
1109,1,2,2,1,{542=100},
1110,1,2,2,5,{542=200},
1111,1,2,6,1,{543=600;951=5},
1112,1,2,6,3,{543=800;951=5},
1113,1,2,5,1,{543=600;951=5},
1114,1,2,7,1,{543=400;951=3},
