变量名,contestEndTime,type,contestDate,rightTeam,leftTeam,betEndTime,contestName,betID,weatherDetail,weatherSkillIDs,weatherID,__version
默认值,1800,1,1,0,0,1800,"""""",1,"""""",<>,<>,
ID,contestEndTime,type,contestDate,rightTeam,leftTeam,betEndTime,contestName,betID,weatherDetail,weatherSkillIDs,weatherID,__version
1,1401,,2,2,1,1400,Group Stage A1,,"According to the Pokemon Weather Observatory forecast, snow will fall from Round 1 to Round 3, and rain will arrive from Round 4 to Round 6\n\n【Rainy】(Water-type Pokemon gain Speed, Fire-type Pokemon deal reduced damage, and at the end of each major round part of all Pokemon's negative effects are dispelled)\n【Snowy】(Ice-type Pokemon gain P.DEF and S.DEF, while all non-Ice-type Pokemon take a certain amount of Ice damage at the end of each major round and may be 【Frozen】)\n\n#C0xDCDCDC#              Weather can be unpredictable. Forecast results are for reference only.#C0x5B545B#\n#F10# \n#F40#",<110201;78101;110301>,<1;3>,
2,1501,,2,4,3,1500,Group Stage A2,,"According to the Pokemon Weather Observatory forecast, snow will fall from Round 1 to Round 3, and rain will arrive from Round 4 to Round 6\n\n【Rainy】(Water-type Pokemon gain Speed, Fire-type Pokemon deal reduced damage, and at the end of each major round part of all Pokemon's negative effects are dispelled)\n【Snowy】(Ice-type Pokemon gain P.DEF and S.DEF, while all non-Ice-type Pokemon take a certain amount of Ice damage at the end of each major round and may be 【Frozen】)\n\n#C0xDCDCDC#              Weather can be unpredictable. Forecast results are for reference only.#C0x5B545B#\n#F10# \n#F40#",<110201;78101;110301>,<1;3>,
3,1601,,2,6,5,1600,Group Stage B1,,"According to the Pokemon Weather Observatory forecast, snow will fall from Round 1 to Round 3, and rain will arrive from Round 4 to Round 6\n\n【Rainy】(Water-type Pokemon gain Speed, Fire-type Pokemon deal reduced damage, and at the end of each major round part of all Pokemon's negative effects are dispelled)\n【Snowy】(Ice-type Pokemon gain P.DEF and S.DEF, while all non-Ice-type Pokemon take a certain amount of Ice damage at the end of each major round and may be 【Frozen】)\n\n#C0xDCDCDC#              Weather can be unpredictable. Forecast results are for reference only.#C0x5B545B#\n#F10# \n#F40#",<110201;78101;110301>,<1;3>,
4,1701,,2,8,7,1700,Group Stage B2,,"According to the Pokemon Weather Observatory forecast, snow will fall from Round 1 to Round 3, and rain will arrive from Round 4 to Round 6\n\n【Rainy】(Water-type Pokemon gain Speed, Fire-type Pokemon deal reduced damage, and at the end of each major round part of all Pokemon's negative effects are dispelled)\n【Snowy】(Ice-type Pokemon gain P.DEF and S.DEF, while all non-Ice-type Pokemon take a certain amount of Ice damage at the end of each major round and may be 【Frozen】)\n\n#C0xDCDCDC#              Weather can be unpredictable. Forecast results are for reference only.#C0x5B545B#\n#F10# \n#F40#",<110201;78101;110301>,<1;3>,
5,1801,,2,10,9,,Group Stage C1,,"According to the Pokemon Weather Observatory forecast, snow will fall from Round 1 to Round 3, and rain will arrive from Round 4 to Round 6\n\n【Rainy】(Water-type Pokemon gain Speed, Fire-type Pokemon deal reduced damage, and at the end of each major round part of all Pokemon's negative effects are dispelled)\n【Snowy】(Ice-type Pokemon gain P.DEF and S.DEF, while all non-Ice-type Pokemon take a certain amount of Ice damage at the end of each major round and may be 【Frozen】)\n\n#C0xDCDCDC#              Weather can be unpredictable. Forecast results are for reference only.#C0x5B545B#\n#F10# \n#F40#",<110201;78101;110301>,<1;3>,
6,1901,,2,12,11,1900,Group Stage C2,,"According to the Pokemon Weather Observatory forecast, snow will fall from Round 1 to Round 3, and rain will arrive from Round 4 to Round 6\n\n【Rainy】(Water-type Pokemon gain Speed, Fire-type Pokemon deal reduced damage, and at the end of each major round part of all Pokemon's negative effects are dispelled)\n【Snowy】(Ice-type Pokemon gain P.DEF and S.DEF, while all non-Ice-type Pokemon take a certain amount of Ice damage at the end of each major round and may be 【Frozen】)\n\n#C0xDCDCDC#              Weather can be unpredictable. Forecast results are for reference only.#C0x5B545B#\n#F10# \n#F40#",<110201;78101;110301>,<1;3>,
7,1401,,3,14,13,1400,Group Stage D1,,"According to the Pokemon Weather Observatory forecast, today's weather is bright and clear with not a cloud in sight. A fine day for battle.\n\n#C0xDCDCDC#              Weather can be unpredictable. Forecast results are for reference only.#C0x5B545B#\n#F10# \n#F40#",<78101;110301>,<>,
8,1501,,3,16,15,1500,Group Stage D2,,"According to the Pokemon Weather Observatory forecast, today's weather is bright and clear with not a cloud in sight. A fine day for battle.\n\n#C0xDCDCDC#              Weather can be unpredictable. Forecast results are for reference only.#C0x5B545B#\n#F10# \n#F40#",<78101;110301>,<>,
9,1601,,3,3,1,1600,Group Stage A3,,"According to the Pokemon Weather Observatory forecast, today's weather is bright and clear with not a cloud in sight. A fine day for battle.\n\n#C0xDCDCDC#              Weather can be unpredictable. Forecast results are for reference only.#C0x5B545B#\n#F10# \n#F40#",<78101;110301>,<>,
10,1701,,3,4,2,1700,Group Stage A4,,"According to the Pokemon Weather Observatory forecast, today's weather is bright and clear with not a cloud in sight. A fine day for battle.\n\n#C0xDCDCDC#              Weather can be unpredictable. Forecast results are for reference only.#C0x5B545B#\n#F10# \n#F40#",<78101;110301>,<>,
11,1801,,3,7,5,,Group Stage B3,,"According to the Pokemon Weather Observatory forecast, today's weather is bright and clear with not a cloud in sight. A fine day for battle.\n\n#C0xDCDCDC#              Weather can be unpredictable. Forecast results are for reference only.#C0x5B545B#\n#F10# \n#F40#",<78101;110301>,<>,
12,1901,,3,8,6,1900,Group Stage B4,,"According to the Pokemon Weather Observatory forecast, today's weather is bright and clear with not a cloud in sight. A fine day for battle.\n\n#C0xDCDCDC#              Weather can be unpredictable. Forecast results are for reference only.#C0x5B545B#\n#F10# \n#F40#",<78101;110301>,<>,
13,1401,,4,11,9,1400,Group Stage C3,,"According to the Pokemon Weather Observatory forecast, today's weather is bright and clear with not a cloud in sight. A fine day for battle.\n\n#C0xDCDCDC#              Weather can be unpredictable. Forecast results are for reference only.#C0x5B545B#\n#F10# \n#F40#",<78101;110301>,<>,
14,1501,,4,12,10,1500,Group Stage C4,,"According to the Pokemon Weather Observatory forecast, today's weather is bright and clear with not a cloud in sight. A fine day for battle.\n\n#C0xDCDCDC#              Weather can be unpredictable. Forecast results are for reference only.#C0x5B545B#\n#F10# \n#F40#",<78101;110301>,<>,
15,1601,,4,15,13,1600,Group Stage D3,,"According to the Pokemon Weather Observatory forecast, today's weather is bright and clear with not a cloud in sight. A fine day for battle.\n\n#C0xDCDCDC#              Weather can be unpredictable. Forecast results are for reference only.#C0x5B545B#\n#F10# \n#F40#",<78101;110301>,<>,
16,1701,,4,16,14,1700,Group Stage D4,,"According to the Pokemon Weather Observatory forecast, today's weather is bright and clear with not a cloud in sight. A fine day for battle.\n\n#C0xDCDCDC#              Weather can be unpredictable. Forecast results are for reference only.#C0x5B545B#\n#F10# \n#F40#",<78101;110301>,<>,
17,1801,,4,4,1,,Group Stage A5,,"According to the Pokemon Weather Observatory forecast, today's weather is bright and clear with not a cloud in sight. A fine day for battle.\n\n#C0xDCDCDC#              Weather can be unpredictable. Forecast results are for reference only.#C0x5B545B#\n#F10# \n#F40#",<78101;110301>,<>,
18,1901,,4,3,2,1900,Group Stage A6,,"According to the Pokemon Weather Observatory forecast, today's weather is bright and clear with not a cloud in sight. A fine day for battle.\n\n#C0xDCDCDC#              Weather can be unpredictable. Forecast results are for reference only.#C0x5B545B#\n#F10# \n#F40#",<78101;110301>,<>,
19,1401,,5,8,5,1400,Group Stage B5,,"According to the Pokemon Weather Observatory forecast, today's weather is bright and clear with not a cloud in sight. A fine day for battle.\n\n#C0xDCDCDC#              Weather can be unpredictable. Forecast results are for reference only.#C0x5B545B#\n#F10# \n#F40#",<78101;110301>,<>,
20,1501,,5,7,6,1500,Group Stage B6,,"According to the Pokemon Weather Observatory forecast, today's weather is bright and clear with not a cloud in sight. A fine day for battle.\n\n#C0xDCDCDC#              Weather can be unpredictable. Forecast results are for reference only.#C0x5B545B#\n#F10# \n#F40#",<78101;110301>,<>,
21,1601,,5,12,9,1600,Group Stage C5,,"According to the Pokemon Weather Observatory forecast, today's weather is bright and clear with not a cloud in sight. A fine day for battle.\n\n#C0xDCDCDC#              Weather can be unpredictable. Forecast results are for reference only.#C0x5B545B#\n#F10# \n#F40#",<78101;110301>,<>,
22,1701,,5,11,10,1700,Group Stage C6,,"According to the Pokemon Weather Observatory forecast, today's weather is bright and clear with not a cloud in sight. A fine day for battle.\n\n#C0xDCDCDC#              Weather can be unpredictable. Forecast results are for reference only.#C0x5B545B#\n#F10# \n#F40#",<78101;110301>,<>,
23,1801,,5,16,13,,Group Stage D5,,"According to the Pokemon Weather Observatory forecast, today's weather is bright and clear with not a cloud in sight. A fine day for battle.\n\n#C0xDCDCDC#              Weather can be unpredictable. Forecast results are for reference only.#C0x5B545B#\n#F10# \n#F40#",<78101;110301>,<>,
24,1901,,5,15,14,1900,Group Stage D6,,"According to the Pokemon Weather Observatory forecast, today's weather is bright and clear with not a cloud in sight. A fine day for battle.\n\n#C0xDCDCDC#              Weather can be unpredictable. Forecast results are for reference only.#C0x5B545B#\n#F10# \n#F40#",<78101;110301>,<>,
25,1601,2,6,6,1,1600,Top 4 Match 1,102,"According to the Pokemon Weather Observatory forecast, today's weather is bright and clear with not a cloud in sight. A fine day for battle.\n\n#C0xDCDCDC#              Weather can be unpredictable. Forecast results are for reference only.#C0x5B545B#\n#F10# \n#F40#",<78101;110301>,<>,
26,1701,2,6,3,8,1700,Top 4 Match 2,102,"According to the Pokemon Weather Observatory forecast, today's weather is bright and clear with not a cloud in sight. A fine day for battle.\n\n#C0xDCDCDC#              Weather can be unpredictable. Forecast results are for reference only.#C0x5B545B#\n#F10# \n#F40#",<78101;110301>,<>,
27,1801,2,6,4,5,,Top 4 Match 3,102,"According to the Pokemon Weather Observatory forecast, today's weather is bright and clear with not a cloud in sight. A fine day for battle.\n\n#C0xDCDCDC#              Weather can be unpredictable. Forecast results are for reference only.#C0x5B545B#\n#F10# \n#F40#",<78101;110301>,<>,
28,1901,2,6,7,2,1900,Top 4 Match 4,102,"According to the Pokemon Weather Observatory forecast, today's weather is bright and clear with not a cloud in sight. A fine day for battle.\n\n#C0xDCDCDC#              Weather can be unpredictable. Forecast results are for reference only.#C0x5B545B#\n#F10# \n#F40#",<78101;110301>,<>,
29,1101,3,7,,,1100,Semifinal 1,103,"According to the Pokemon Weather Observatory forecast, today's weather is bright and clear with not a cloud in sight. A fine day for battle.\n\n#C0xDCDCDC#              Weather can be unpredictable. Forecast results are for reference only.#C0x5B545B#\n#F10# \n#F40#",<78101;110301>,<>,
30,1201,3,7,,,1200,Semifinal 2,103,"According to the Pokemon Weather Observatory forecast, today's weather is bright and clear with not a cloud in sight. A fine day for battle.\n\n#C0xDCDCDC#              Weather can be unpredictable. Forecast results are for reference only.#C0x5B545B#\n#F10# \n#F40#",<78101;110301>,<>,
31,2101,4,7,,,2100,Third-Place Match,104,"According to the Pokemon Weather Observatory forecast, today's weather is bright and clear with not a cloud in sight. A fine day for battle.\n\n#C0xDCDCDC#              Weather can be unpredictable. Forecast results are for reference only.#C0x5B545B#\n#F10# \n#F40#",<78101;110301>,<>,
32,2201,5,7,,,2200,Championship Match,203,"According to the Pokemon Weather Observatory forecast, today's weather is bright and clear with not a cloud in sight. A fine day for battle.\n\n#C0xDCDCDC#              Weather can be unpredictable. Forecast results are for reference only.#C0x5B545B#\n#F10# \n#F40#",<78101;110301>,<>,
33,1401,,3,2,1,1400,Group Stage A1,,"According to the Pokemon Weather Observatory forecast, snow will fall from Round 1 to Round 3, and rain will arrive from Round 4 to Round 6\n\n【Rainy】(Water-type Pokemon gain Speed, Fire-type Pokemon deal reduced damage, and at the end of each major round part of all Pokemon's negative effects are dispelled)\n【Snowy】(Ice-type Pokemon gain P.DEF and S.DEF, while all non-Ice-type Pokemon take a certain amount of Ice damage at the end of each major round and may be 【Frozen】)\n\n#C0xDCDCDC#              Weather can be unpredictable. Forecast results are for reference only.#C0x5B545B#\n#F10# \n#F40#",<110201;78101>,<1;3>,
34,1501,,3,4,3,1500,Group Stage A2,,"According to the Pokemon Weather Observatory forecast, snow will fall from Round 1 to Round 3, and rain will arrive from Round 4 to Round 6\n\n【Rainy】(Water-type Pokemon gain Speed, Fire-type Pokemon deal reduced damage, and at the end of each major round part of all Pokemon's negative effects are dispelled)\n【Snowy】(Ice-type Pokemon gain P.DEF and S.DEF, while all non-Ice-type Pokemon take a certain amount of Ice damage at the end of each major round and may be 【Frozen】)\n\n#C0xDCDCDC#              Weather can be unpredictable. Forecast results are for reference only.#C0x5B545B#\n#F10# \n#F40#",<110201;78101>,<1;3>,
35,1601,,3,6,5,1600,Group Stage B1,,"According to the Pokemon Weather Observatory forecast, snow will fall from Round 1 to Round 3, and rain will arrive from Round 4 to Round 6\n\n【Rainy】(Water-type Pokemon gain Speed, Fire-type Pokemon deal reduced damage, and at the end of each major round part of all Pokemon's negative effects are dispelled)\n【Snowy】(Ice-type Pokemon gain P.DEF and S.DEF, while all non-Ice-type Pokemon take a certain amount of Ice damage at the end of each major round and may be 【Frozen】)\n\n#C0xDCDCDC#              Weather can be unpredictable. Forecast results are for reference only.#C0x5B545B#\n#F10# \n#F40#",<110201;78101>,<1;3>,
36,1701,,3,8,7,1700,Group Stage B2,,"According to the Pokemon Weather Observatory forecast, snow will fall from Round 1 to Round 3, and rain will arrive from Round 4 to Round 6\n\n【Rainy】(Water-type Pokemon gain Speed, Fire-type Pokemon deal reduced damage, and at the end of each major round part of all Pokemon's negative effects are dispelled)\n【Snowy】(Ice-type Pokemon gain P.DEF and S.DEF, while all non-Ice-type Pokemon take a certain amount of Ice damage at the end of each major round and may be 【Frozen】)\n\n#C0xDCDCDC#              Weather can be unpredictable. Forecast results are for reference only.#C0x5B545B#\n#F10# \n#F40#",<110201;78101>,<1;3>,
37,1801,,3,10,9,,Group Stage C1,,"According to the Pokemon Weather Observatory forecast, snow will fall from Round 1 to Round 3, and rain will arrive from Round 4 to Round 6\n\n【Rainy】(Water-type Pokemon gain Speed, Fire-type Pokemon deal reduced damage, and at the end of each major round part of all Pokemon's negative effects are dispelled)\n【Snowy】(Ice-type Pokemon gain P.DEF and S.DEF, while all non-Ice-type Pokemon take a certain amount of Ice damage at the end of each major round and may be 【Frozen】)\n\n#C0xDCDCDC#              Weather can be unpredictable. Forecast results are for reference only.#C0x5B545B#\n#F10# \n#F40#",<110201;78101>,<1;3>,
38,1901,,3,12,11,1900,Group Stage C2,,"According to the Pokemon Weather Observatory forecast, snow will fall from Round 1 to Round 3, and rain will arrive from Round 4 to Round 6\n\n【Rainy】(Water-type Pokemon gain Speed, Fire-type Pokemon deal reduced damage, and at the end of each major round part of all Pokemon's negative effects are dispelled)\n【Snowy】(Ice-type Pokemon gain P.DEF and S.DEF, while all non-Ice-type Pokemon take a certain amount of Ice damage at the end of each major round and may be 【Frozen】)\n\n#C0xDCDCDC#              Weather can be unpredictable. Forecast results are for reference only.#C0x5B545B#\n#F10# \n#F40#",<110201;78101>,<1;3>,
39,1401,,4,14,13,1400,Group Stage D1,,"According to the Pokemon Weather Observatory forecast, snow will fall from Round 1 to Round 3, and rain will arrive from Round 4 to Round 6\n\n【Rainy】(Water-type Pokemon gain Speed, Fire-type Pokemon deal reduced damage, and at the end of each major round part of all Pokemon's negative effects are dispelled)\n【Snowy】(Ice-type Pokemon gain P.DEF and S.DEF, while all non-Ice-type Pokemon take a certain amount of Ice damage at the end of each major round and may be 【Frozen】)\n\n#C0xDCDCDC#              Weather can be unpredictable. Forecast results are for reference only.#C0x5B545B#\n#F10# \n#F40#",<110201;78101>,<1;3>,
40,1501,,4,16,15,1500,Group Stage D2,,"According to the Pokemon Weather Observatory forecast, snow will fall from Round 1 to Round 3, and rain will arrive from Round 4 to Round 6\n\n【Rainy】(Water-type Pokemon gain Speed, Fire-type Pokemon deal reduced damage, and at the end of each major round part of all Pokemon's negative effects are dispelled)\n【Snowy】(Ice-type Pokemon gain P.DEF and S.DEF, while all non-Ice-type Pokemon take a certain amount of Ice damage at the end of each major round and may be 【Frozen】)\n\n#C0xDCDCDC#              Weather can be unpredictable. Forecast results are for reference only.#C0x5B545B#\n#F10# \n#F40#",<110201;78101>,<1;3>,
41,1601,,4,3,1,1600,Group Stage A3,,"According to the Pokemon Weather Observatory forecast, snow will fall from Round 1 to Round 3, and rain will arrive from Round 4 to Round 6\n\n【Rainy】(Water-type Pokemon gain Speed, Fire-type Pokemon deal reduced damage, and at the end of each major round part of all Pokemon's negative effects are dispelled)\n【Snowy】(Ice-type Pokemon gain P.DEF and S.DEF, while all non-Ice-type Pokemon take a certain amount of Ice damage at the end of each major round and may be 【Frozen】)\n\n#C0xDCDCDC#              Weather can be unpredictable. Forecast results are for reference only.#C0x5B545B#\n#F10# \n#F40#",<110201;78101>,<1;3>,
42,1701,,4,4,2,1700,Group Stage A4,,"According to the Pokemon Weather Observatory forecast, snow will fall from Round 1 to Round 3, and rain will arrive from Round 4 to Round 6\n\n【Rainy】(Water-type Pokemon gain Speed, Fire-type Pokemon deal reduced damage, and at the end of each major round part of all Pokemon's negative effects are dispelled)\n【Snowy】(Ice-type Pokemon gain P.DEF and S.DEF, while all non-Ice-type Pokemon take a certain amount of Ice damage at the end of each major round and may be 【Frozen】)\n\n#C0xDCDCDC#              Weather can be unpredictable. Forecast results are for reference only.#C0x5B545B#\n#F10# \n#F40#",<110201;78101>,<1;3>,
43,1801,,4,7,5,,Group Stage B3,,"According to the Pokemon Weather Observatory forecast, snow will fall from Round 1 to Round 3, and rain will arrive from Round 4 to Round 6\n\n【Rainy】(Water-type Pokemon gain Speed, Fire-type Pokemon deal reduced damage, and at the end of each major round part of all Pokemon's negative effects are dispelled)\n【Snowy】(Ice-type Pokemon gain P.DEF and S.DEF, while all non-Ice-type Pokemon take a certain amount of Ice damage at the end of each major round and may be 【Frozen】)\n\n#C0xDCDCDC#              Weather can be unpredictable. Forecast results are for reference only.#C0x5B545B#\n#F10# \n#F40#",<110201;78101>,<1;3>,
44,1901,,4,8,6,1900,Group Stage B4,,"According to the Pokemon Weather Observatory forecast, snow will fall from Round 1 to Round 3, and rain will arrive from Round 4 to Round 6\n\n【Rainy】(Water-type Pokemon gain Speed, Fire-type Pokemon deal reduced damage, and at the end of each major round part of all Pokemon's negative effects are dispelled)\n【Snowy】(Ice-type Pokemon gain P.DEF and S.DEF, while all non-Ice-type Pokemon take a certain amount of Ice damage at the end of each major round and may be 【Frozen】)\n\n#C0xDCDCDC#              Weather can be unpredictable. Forecast results are for reference only.#C0x5B545B#\n#F10# \n#F40#",<110201;78101>,<1;3>,
45,1401,,5,11,9,1400,Group Stage C3,,"According to the Pokemon Weather Observatory forecast, snow will fall from Round 1 to Round 3, and rain will arrive from Round 4 to Round 6\n\n【Rainy】(Water-type Pokemon gain Speed, Fire-type Pokemon deal reduced damage, and at the end of each major round part of all Pokemon's negative effects are dispelled)\n【Snowy】(Ice-type Pokemon gain P.DEF and S.DEF, while all non-Ice-type Pokemon take a certain amount of Ice damage at the end of each major round and may be 【Frozen】)\n\n#C0xDCDCDC#              Weather can be unpredictable. Forecast results are for reference only.#C0x5B545B#\n#F10# \n#F40#",<110201;78101>,<1;3>,
