变量名,csvID,system,level
默认值,1,"""""",0
ID,CSV配置ID,系统名称,等级
1,,union_skill,24
2,2,union_skill,24
3,3,union_skill,24
4,4,union_skill,24
5,5,union_skill,24
6,6,union_skill,24
7,7,union_skill,24
8,8,union_skill,24
9,9,union_skill,24
10,10,union_skill,24
11,11,union_skill,24
12,12,union_skill,24
13,13,union_skill,24
14,14,union_skill,24
15,15,union_skill,24
16,16,union_skill,24
17,17,union_skill,24
101,,explorer,12
102,2,explorer,12
103,3,explorer,12
104,4,explorer,12
105,5,explorer,12
106,6,explorer,12
107,7,explorer,12
108,8,explorer,12
109,9,explorer,12
201,,component,12
202,2,component,12
203,3,component,12
204,4,component,12
205,5,component,12
206,6,component,12
207,7,component,12
208,8,component,12
209,9,component,12
210,10,component,12
211,11,component,12
212,12,component,12
213,13,component,12
214,14,component,12
215,15,component,12
216,16,component,12
217,17,component,12
218,18,component,12
219,19,component,12
220,20,component,12
221,21,component,12
222,22,component,12
223,23,component,12
224,24,component,12
225,25,component,12
226,26,component,12
227,27,component,12
228,28,component,12
229,29,component,12
230,30,component,12
231,31,component,12
232,32,component,12
233,33,component,12
301,,attr_skills,100
302,2,attr_skills,100
303,3,attr_skills,100
304,4,attr_skills,100
305,5,attr_skills,100
307,7,attr_skills,20
308,8,attr_skills,20
309,9,attr_skills,20
310,10,attr_skills,20
