变量名,index,scoresRange,award,randomAward
默认值,0,0,{},{}
ID,索引,分数范围,奖励,随机奖励
1,1,4000,{14=6;161=11;901=1;gold=50000},{libs=<112>}
2,1,8000,{14=6;161=11;901=1;gold=55000},{libs=<112>}
3,1,12000,{14=6;161=12;901=1;gold=60000},{libs=<112>}
4,1,20000,{14=7;161=12;901=2;gold=65000},{libs=<112>}
5,1,28000,{14=7;161=13;901=2;gold=70000},{libs=<112>}
6,1,36000,{14=7;161=13;901=2;gold=75000},{libs=<112>}
7,1,48000,{14=8;161=14;901=3;gold=80000},{libs=<112>}
8,1,60000,{14=8;161=14;901=3;gold=85000},{libs=<112>}
9,1,72000,{14=8;161=15;901=3;gold=90000},{libs=<112>}
10,1,88000,{14=9;161=16;901=4;gold=95000},{libs=<112>}
11,1,108000,{14=9;161=17;901=4;gold=100000},{libs=<112>}
12,1,128000,{14=9;161=18;901=4;gold=105000},{libs=<112>}
13,1,156000,{14=10;161=19;901=5;gold=110000},{libs=<112>}
14,1,184000,{14=10;161=19;901=5;gold=115000},{libs=<112>}
15,1,212000,{14=10;161=20;901=5;gold=120000},{libs=<112>}
16,1,248000,{14=11;161=20;901=6;gold=125000},{libs=<112>}
17,1,284000,{14=11;161=21;901=6;gold=130000},{libs=<112>}
18,1,320000,{14=11;161=21;901=6;gold=135000},{libs=<112>}
19,1,360000,{14=12;161=22;901=7;gold=140000},{libs=<112>}
20,1,400000,{14=12;161=22;901=7;gold=145000},{libs=<112>}
101,2,4000,{14=6;161=11;901=1;gold=50000},{libs=<112>}
102,2,8000,{14=6;161=11;901=1;gold=55000},{libs=<112>}
103,2,12000,{14=6;161=12;901=1;gold=60000},{libs=<112>}
104,2,20000,{14=7;161=12;901=2;gold=65000},{libs=<112>}
105,2,28000,{14=7;161=13;901=2;gold=70000},{libs=<112>}
106,2,36000,{14=7;161=13;901=2;gold=75000},{libs=<112>}
107,2,48000,{14=8;161=14;901=3;gold=80000},{libs=<112>}
108,2,60000,{14=8;161=14;901=3;gold=85000},{libs=<112>}
109,2,72000,{14=8;161=15;901=3;gold=90000},{libs=<112>}
110,2,88000,{14=9;161=16;901=4;gold=95000},{libs=<112>}
111,2,108000,{14=9;161=17;901=4;gold=100000},{libs=<112>}
112,2,128000,{14=9;161=18;901=4;gold=105000},{libs=<112>}
113,2,156000,{14=10;161=19;901=5;gold=110000},{libs=<112>}
114,2,184000,{14=10;161=19;901=5;gold=115000},{libs=<112>}
115,2,212000,{14=10;161=20;901=5;gold=120000},{libs=<112>}
116,2,248000,{14=11;161=20;901=6;gold=125000},{libs=<112>}
117,2,284000,{14=11;161=21;901=6;gold=130000},{libs=<112>}
118,2,320000,{14=11;161=21;901=6;gold=135000},{libs=<112>}
119,2,360000,{14=12;161=22;901=7;gold=140000},{libs=<112>}
120,2,400000,{14=12;161=22;901=7;gold=145000},{libs=<112>}
201,3,4000,{14=6;161=11;901=1;gold=50000},{libs=<112>}
202,3,8000,{14=6;161=11;901=1;gold=55000},{libs=<112>}
203,3,12000,{14=6;161=12;901=1;gold=60000},{libs=<112>}
204,3,20000,{14=7;161=12;901=2;gold=65000},{libs=<112>}
205,3,28000,{14=7;161=13;901=2;gold=70000},{libs=<112>}
206,3,36000,{14=7;161=13;901=2;gold=75000},{libs=<112>}
207,3,48000,{14=8;161=14;901=3;gold=80000},{libs=<112>}
208,3,60000,{14=8;161=14;901=3;gold=85000},{libs=<112>}
209,3,72000,{14=8;161=15;901=3;gold=90000},{libs=<112>}
210,3,88000,{14=9;161=16;901=4;gold=95000},{libs=<112>}
211,3,108000,{14=9;161=17;901=4;gold=100000},{libs=<112>}
212,3,128000,{14=9;161=18;901=4;gold=105000},{libs=<112>}
213,3,156000,{14=10;161=19;901=5;gold=110000},{libs=<112>}
214,3,184000,{14=10;161=19;901=5;gold=115000},{libs=<112>}
215,3,212000,{14=10;161=20;901=5;gold=120000},{libs=<112>}
216,3,248000,{14=11;161=20;901=6;gold=125000},{libs=<112>}
217,3,284000,{14=11;161=21;901=6;gold=130000},{libs=<112>}
218,3,320000,{14=11;161=21;901=6;gold=135000},{libs=<112>}
219,3,360000,{14=12;161=22;901=7;gold=140000},{libs=<112>}
220,3,400000,{14=12;161=22;901=7;gold=145000},{libs=<112>}
