变量名,name,scoresCondition,tips,bossID,dropLimit,dropID,quality,coefficientIndex,basicScores,level,icon1,desc,skill
默认值,"""""",0,0,0,0,0,0,0,0,0,"""""","""""",0
ID,名称,分数条件,提示类型,BossID,掉落限制,掉落ID,品质,系数索引,基础分数,等级,图标,描述,技能ID
1001,攻击,,,,1,1,1,1,20,6,city/adventure/random_tower/icon/icon_sh1.png,双攻提升8%,450001
1002,伤害,,,,1,1,1,1,20,6,city/adventure/random_tower/icon/icon_gj1.png,伤害加成提升10%,450002
1003,暴击,,,,1,1,1,1,20,6,city/adventure/random_tower/icon/icon_gj.png,暴击提升15%,450003
1004,暴伤,,,,1,1,1,1,20,6,city/adventure/random_tower/icon/icon_gj.png,暴击伤害提升提升15%,450004
1005,必杀,,,,1,1,1,1,20,6,city/adventure/random_tower/icon/icon_dk.png,必杀技伤害提升15%,450005
1006,防御,,,,1,1,1,1,20,6,city/develop/talent/icon_wf.png,双防提升15%,450006
1007,减免,,,,1,1,1,1,20,6,city/develop/talent/icon_wf.png,伤害减免提升10%,450007
1008,抗暴,,,,1,1,1,1,20,6,city/develop/talent/icon_gddj.png,暴击抗性提升15%,450008
1009,抵御,,,,1,1,1,1,20,6,city/develop/talent/icon_gddj_gdqd.png,抵御率15%,450009
1010,守备,,,,1,1,1,1,20,6,city/develop/talent/icon_gdqd.png,必杀伤害抗性提升15%,450010
1011,狩猎I,,,,1,1,1,2,30,6,city/adventure/random_tower/icon/icon_js.png,击败1名单位时，永久提升10%双攻（可叠加3层）,450011
1012,勇猛I,,,,1,1,1,2,30,6,city/adventure/random_tower/icon/icon_sh1.png,每次攻击永久提升2%双攻（可叠加5层）,450012
1013,破碎I,,,,1,1,1,2,30,6,city/adventure/random_tower/icon/icon_qr.png,受到攻击时降低目标5%的双防（可叠加5层）,450013
1014,蓄力,,,,1,1,1,2,30,6,city/adventure/random_tower/icon/icon_js2.png,每使用一次普攻或者小技能，下一次使用大招时伤害提升10%，使用大招后加成消失,450014
1015,爆破I,,,,1,1,1,2,30,6,city/adventure/random_tower/icon/icon_gj.png,每次暴击时，暴击率提升5%（可叠加5层）,450015
1016,突击I,,,,1,1,1,2,30,6,city/adventure/random_tower/icon/icon_sh1.png,每个大回合双攻永久提升6%（可叠加3层）,450016
1017,瘟疫I,,,,1,1,1,2,30,6,city/adventure/random_tower/icon/icon_qr.png,受到攻击时降低目标2%的双攻（可叠加5层）,450017
1018,不灭I,,,,1,1,1,2,30,6,city/develop/talent/icon_gdqd.png,每使用一次大招，提升10%必杀伤害减免（可叠加3层）,450018
1019,霸者I,,,,1,1,1,2,30,6,city/develop/talent/icon_wf.png,每次攻击永久提升5%双防（可叠加5层）,450019
1020,守护I,,,,1,1,1,2,30,6,city/develop/talent/icon_wf.png,每受到一次攻击提升2%伤害减免（可叠加5层）,450020
1021,坚韧I,,,,1,1,1,2,30,6,city/develop/talent/icon_gddj.png,每次受到暴击时，暴击抗性提升3%（可叠加5层）,450021
1022,惩罚,,,,1,1,1,2,30,6,city/adventure/random_tower/icon/icon_qr.png,每个大回合随机降低一名单位15%双攻，持续2回合（可叠加3层）,450022
1023,沉默·守I,,,,1,1,1,2,30,6,city/adventure/random_tower/icon/icon_ns.png,受到攻击时有12%概率沉默攻击者1回合,450023
1024,眩晕·守I,,,,1,1,1,2,30,6,city/adventure/random_tower/icon/icon_ns.png,受到攻击时有10%概率眩晕攻击者1回合,450024
1025,降维·先机I,,,,1,1,1,2,30,6,city/adventure/random_tower/icon/icon_js1.png,战斗开始时，降低所有单位六维属性8%2回合,450025
1026,怒意·先机I,,,,1,1,1,2,30,6,city/adventure/random_tower/icon/icon_hn.png,战斗开始时，获得500点怒气，且必杀伤害提升10%2回合,450026
1027,格挡,,,,1,1,1,1,20,6,city/develop/talent/icon_gddj_gdqd.png,抵御强度提升15%,450027
1028,均衡I,,,,1,1,1,2,30,6,city/develop/talent/icon_ysg.png,五维属性提高5%,450028
2001,洞察,,,,1,2,2,3,50,15,city/adventure/random_tower/icon/icon_sh1.png,命中率提升50%，双攻提升20%,451001
2002,易怒,,,,1,2,2,3,50,15,city/adventure/random_tower/icon/icon_gj1.png,怒气恢复速度提升20%，伤害加成提升20%,451002
2003,闪躲,,,,1,2,2,3,50,15,city/develop/talent/icon_wf.png,闪避率提升30%，伤害减免提升20%,451003
2004,均衡II,,,,1,2,2,3,50,15,city/develop/talent/icon_ysg.png,五维属性提高15%,451004
2005,狩猎II,,,,1,2,2,3,50,15,city/adventure/random_tower/icon/icon_js.png,击败1名单位时，永久提升20%双攻（可叠加3层）,451005
2006,勇猛II,,,,1,2,2,3,50,15,city/adventure/random_tower/icon/icon_sh1.png,每次攻击永久提升5%双攻（可叠加5层）,451006
2007,破碎II,,,,1,2,2,3,50,15,city/adventure/random_tower/icon/icon_qr.png,受到攻击时降低目标12%的双防（可叠加5层）,451007
2008,爆破II,,,,1,2,2,3,50,15,city/adventure/random_tower/icon/icon_gj.png,每次暴击时，暴击率提升12%（可叠加5层）,451008
2009,突击II,,,,1,2,2,3,50,15,city/adventure/random_tower/icon/icon_sh1.png,每个大回合双攻永久提升18%（可叠加3层）,451009
2010,瘟疫II,,,,1,2,2,3,50,15,city/adventure/random_tower/icon/icon_qr.png,受到攻击时降低目标5%的双攻（可叠加5层）,451010
2011,不灭II,,,,1,2,2,3,50,15,city/develop/talent/icon_wf.png,每使用一次大招，提升25%必杀伤害减免（可叠加3层）,451011
2012,霸者II,,,,1,2,2,3,50,15,city/develop/talent/icon_wf.png,每次攻击永久提升12%双防（可叠加5层）,451012
2013,守护II,,,,1,2,2,3,50,15,city/develop/talent/icon_wf.png,每受到一次攻击提升5%伤害减免（可叠加5层）,451013
2014,坚韧II,,,,1,2,2,3,50,15,city/develop/talent/icon_gddj.png,每次受到暴击时，暴击抗性提升6%（可叠加5层）,451014
2015,沉默·守II,,,,1,2,2,3,50,15,city/adventure/random_tower/icon/icon_ns.png,受到攻击时有50%概率沉默攻击者1回合,451015
2016,眩晕·守II,,,,1,2,2,3,50,15,city/adventure/random_tower/icon/icon_ns.png,受到攻击时有40%概率眩晕攻击者1回合,451016
2017,执法者,,,,1,2,2,4,60,15,city/adventure/random_tower/icon/icon_sw.png,每次攻击附带目标最大生命值8%的真实伤害,451017
2018,审判者,,,,1,2,2,4,60,15,city/adventure/random_tower/icon/icon_sw.png,每次攻击附带目标损失血量12%的真实伤害,451018
2019,沉默·先机,,,,1,2,2,4,60,15,city/adventure/random_tower/icon/icon_ns.png,战斗开始时，沉默所有单位2回合,451019
2020,眩晕·先机,,,,1,2,2,4,60,15,city/adventure/random_tower/icon/icon_ns.png,战斗开始时，眩晕所有单位2回合,451020
2021,降维·先机II,,,,1,2,2,4,60,15,city/adventure/random_tower/icon/icon_js1.png,战斗开始时，降低所有单位六维属性20%2回合,451021
2022,怒意·先机II,,,,1,2,2,4,60,15,city/adventure/random_tower/icon/icon_hn.png,战斗开始时，获得满怒，且必杀伤害提升30%2回合,451022
2023,怒意·斩杀,,,,1,2,2,4,60,15,city/adventure/random_tower/icon/icon_hn.png,击败1名单位时，额外获得300点怒气，并永久提升12%双攻（可叠加5层）,451023
2024,怒意·守,,,,1,2,2,4,60,15,city/adventure/random_tower/icon/icon_hn.png,受到攻击时，额外获得100怒气值,451024
2025,连击,,,,1,2,2,4,60,15,city/adventure/random_tower/icon/icon_yybm1.png,获得连击效果,451025
2026,冷静,,,,1,2,2,4,60,15,city/adventure/random_tower/icon/icon_yybm.png,小技能无冷却,451026
3001,碎甲,50000,1,,1,3,3,5,100,30,city/develop/talent/icon_bsjc.png,攻击时无视目标双防,452001
3002,狂怒,50000,1,,1,3,3,5,100,30,city/develop/talent/icon_shjc_shjm.png,造成的最终伤害提升30%,452002
3003,钢化,50000,1,,1,3,3,5,100,30,city/develop/talent/icon_sf.png,每个大回合受到首次必杀技伤害降低90%,452003
3004,坚甲,50000,1,,1,3,3,5,100,30,city/develop/talent/icon_sf.png,每个大回合首次受到伤害降低60%,452004
3005,慧心,50000,1,,1,3,3,5,100,30,city/adventure/random_tower/icon/icon_nqhs.png,怒气上限降低300,452005
3006,愤恨,50000,1,,1,3,3,5,100,30,city/adventure/random_tower/icon/icon_nqhs.png,每个大回合开始回复300点怒气,452006
3007,深思,50000,1,,1,3,3,5,100,30,city/adventure/random_tower/icon/icon_nqhs.png,敌方每次行动回复100点怒气值,452007
3008,瞬法,50000,1,,1,3,3,5,100,30,city/adventure/random_tower/icon/icon_zh.png,第五回合后，每个回合开始前，释放一次免消耗必杀技,452008
3009,连环,50000,1,,1,3,3,5,100,30,city/adventure/random_tower/icon/icon_yybm1.png,每次使用技能后都有50%概率再随机释放一次技能,452009
3010,天雷,50000,1,,1,3,3,5,100,30,city/adventure/random_tower/icon/icon_cxsh.png,每个大回合开始前有60%概率释放天雷随机一名单位造成300%双攻加成的雷元素伤害,452010
3011,制裁,50000,1,,1,3,3,5,100,30,city/adventure/random_tower/icon/icon_cxsh.png,敌方行动前有50%概率制裁一名单位使其双攻降低99%1回合（每个大回合最多触发1次）,452011
3012,禁锢,50000,1,,1,3,3,5,100,30,city/adventure/random_tower/icon/icon_cxsh.png,攻击时有100%概率随机禁锢一名单位，使其无法行动（无法驱散）,452012
3013,携带·攻,50000,1,,1,3,3,5,100,30,city/adventure/random_tower/icon/icon_yybm3.png,获得携带道具【超能轮滑鞋】、【高能护腕】、【共鸣元素】,452013
3014,携带·守,50000,1,,1,3,3,5,100,30,city/adventure/random_tower/icon/icon_yybm3.png,获得携带道具【不朽之剑】、【神秘项链】、【极巨腕带】,452014
3015,守财奴,50000,1,1,1,4,3,6,120,50,city/adventure/mimicry/nitai_icon/icon_mmjqr_jj1.png,【贪婪】额外效果：行动回合开始前额外损失来自喵喵机器人60%物攻和150%物防加成的血量,
3016,爱财如命,50000,1,1,1,4,3,6,120,50,city/adventure/mimicry/nitai_icon/icon_mmjqr_jj2.png,收买无法被驱散，且延长2-3回合,
3017,人财两空,50000,1,1,1,4,3,6,120,50,city/adventure/mimicry/nitai_icon/icon_mmjqr_jj3.png,收买的单位可使用技能（必杀技）攻击友方精灵，且收买单位暴击率和伤害加成提高30%,
3018,见钱眼开,50000,1,1,1,4,3,6,120,50,city/adventure/mimicry/nitai_icon/icon_mmjqr_jj4.png,喵喵机器人获得被动技能：对技能范围内的单位添加1层【贪婪】，且有30%概率添加【收买】,
3019,挥金如土,50000,1,1,1,4,3,6,120,50,city/adventure/mimicry/nitai_icon/icon_mmjqr_jj5.png,挥金如土效果强化：敌方每次【收买】或者被【贪婪】额外提升5%双防和暴击抗性，当叠加至10层时，额外提升30%最终伤害减免,
3020,破坏之力,50000,1,2,1,4,3,6,120,50,city/adventure/mimicry/nitai_icon/icon_gtbjls_jj1.png,钢铁班基拉斯无视双防提升至100%，最终伤害提升20%,
3021,强力衰竭,50000,1,2,1,4,3,6,120,50,city/adventure/mimicry/nitai_icon/icon_gtbjls_jj2.png,【衰竭】强化：无法驱散，命中率和伤害降低30%，且行动前有50%几率无法行动,
3022,钢铁之力,50000,1,2,1,4,3,6,120,50,city/adventure/mimicry/nitai_icon/icon_gtbjls_jj3.png,【钢铁之力】：每1%已损失生命，提升1.5%伤害加成和伤害减免，最多获得100%,
3023,致残打击,50000,1,2,1,4,3,6,120,50,city/adventure/mimicry/nitai_icon/icon_gtbjls_jj4.png,每次攻击附带【致盲】降低30%命中率或者【衰竭】目标2回合,
3024,钢甲铁拳,50000,1,2,1,4,3,6,120,50,city/adventure/mimicry/nitai_icon/icon_gtbjls_jj5.png,每次触发反击时。永久提升3%伤害减免，最多叠加20层,
3031,海域霸主,50000,1,3,1,4,3,6,120,50,city/adventure/mimicry/nitai_icon/icon_jxdcsm_jj1.png,机械毒刺水母在场时，除了海域中水和毒系的其他精灵永久降低30%双攻与50%双防,
3032,毒液强化,50000,1,3,1,4,3,6,120,50,city/adventure/mimicry/nitai_icon/icon_jxdcsm_jj2.png,剧毒效果强化：无法驱散，且回合延长1回合,
3033,淬毒,50000,1,3,1,4,3,6,120,50,city/adventure/mimicry/nitai_icon/icon_jxdcsm_jj3.png,剧毒效果进阶：（剧毒期间每回合前有60%概率使其无法行动），且额外造成目标5%当前生命的真实伤害,
3034,包裹强化,50000,1,3,1,4,3,6,120,50,city/adventure/mimicry/nitai_icon/icon_jxdcsm_jj4.png,必杀技中的包裹的玛瑙水母伤害翻倍；且提升至2回合,
3035,用毒高手,50000,1,3,1,4,3,6,120,50,city/adventure/mimicry/nitai_icon/icon_jxdcsm_jj5.png,机械玛瑙水母和机械毒刺水母攻击【中毒】与【剧毒】单位时额外造成80%特殊伤害加成与已损失生命5%百分比的毒元素伤害,
4001,崩坏激活,90000,1,1,1,5,4,7,300,150,city/adventure/mimicry/nitai_icon/icon_mmjqr_jj6.png,崩坏状态下：伤害减免、双攻、双防属性大幅度提升，崩坏的自爆伤害大幅度提升,
4002,崩坏爆破,90000,1,1,1,5,4,7,300,150,city/adventure/mimicry/nitai_icon/icon_mmjqr_jj7.png,崩坏的触发条件降低：喵喵机器人每受到5次攻击后会进入【崩坏】状态。第六回合永久进入【崩坏】,
4003,激光攻击,90000,1,1,1,5,4,7,300,150,city/adventure/mimicry/nitai_icon/icon_mmjqr_jj8.png,喵喵机器人可额外触发必杀技：第六回合后每个大回合开始前释放一次【激光攻击】：对敌方全体单位发起激光攻击造成真实伤害,
4004,金钱扫射,90000,1,1,1,5,4,8,300,150,city/adventure/mimicry/nitai_icon/icon_mmjqr_jj9.png,崩坏期间每次释放必杀技或者释放额外必杀技【激光攻击】额外触发一次自爆伤害，且【激光攻击】和自爆伤害大幅度提升,
4005,喵星人,90000,1,1,1,5,4,8,300,150,city/adventure/mimicry/nitai_icon/icon_mmjqr_jj10.png,喵喵机器人自爆伤害额外提高敌方80点怒气上限，且降低其12%双攻和25%双防（可叠加）,
4006,怒钢咆哮,90000,1,2,1,5,4,7,300,150,city/adventure/mimicry/nitai_icon/icon_gtbjls_jj6.png,技能后额外再触发一次【钢铁咆哮】伤害，【钢铁咆哮】额外造成60%物攻和150%物防加成的伤害,
4007,究极·破坏死光,90000,1,2,1,5,4,7,300,150,city/adventure/mimicry/nitai_icon/icon_gtbjls_jj7.png,【钢铁意志】触发时释放【究极·破坏死光】对随机两列单位造成超额双攻加成的物理伤害【钢铁意志】期间双防、伤害减免、真实伤害减免大幅度提升,
4008,钢铁意志,90000,1,2,1,5,4,7,300,150,city/adventure/mimicry/nitai_icon/icon_gtbjls_jj8.png,钢铁意志条件触发降低至90%，80%，70%，60%，50%，40%，30%，20%，10%,
4009,钢意反击,90000,1,2,1,5,4,8,300,150,city/adventure/mimicry/nitai_icon/icon_gtbjls_jj9.png,【钢铁意志】受到攻击时会极高的几率使用【钢铁·破坏死光】或者【究极·破坏死光】反击敌人,
4010,钢铁无双,90000,1,2,1,5,4,8,300,150,city/adventure/mimicry/nitai_icon/icon_gtbjls_jj10.png,每隔1回合必定进入【钢铁意志】1回合,
4011,爆破鬼才,90000,1,3,1,5,4,7,300,150,city/adventure/mimicry/nitai_icon/icon_jxdcsm_jj6.png,机械玛瑙水母爆炸伤害提升50%；每次死亡时永久提升毒刺水母10%双攻和5%伤害减免,
4012,召唤强化,90000,1,3,1,5,4,7,300,150,city/adventure/mimicry/nitai_icon/icon_jxdcsm_jj7.png,召唤的机械玛瑙水母永久继承的血量提升至25%，继承的属性为毒刺水母的100%,
4013,领悟进化,90000,1,3,1,5,4,7,300,150,city/adventure/mimicry/nitai_icon/icon_jxdcsm_jj8.png,召唤的机械玛瑙水母获得小技能且冷却为1回合：并有20%概率使敌人陷入【剧毒】2回合（剧毒，负面效果，中毒期间每回合前有20%概率无法行动，并额外损失目标3%当前生命，最多可叠加10层）,
4014,小弟，你先上！,90000,1,3,1,5,4,8,300,150,city/adventure/mimicry/nitai_icon/icon_jxdcsm_jj9.png,玛瑙水母攻击时会邀战其他机械毒刺水母和机械玛瑙水母,
4015,双倍召唤,90000,1,3,1,5,4,8,300,150,city/adventure/mimicry/nitai_icon/icon_jxdcsm_jj10.png,每个大回合额外召唤一只机械玛瑙水母,
