变量名,damageRange,index,scoresCoefficient
默认值,0,0,0
ID,伤害范围,索引,分数系数
1,300000,1,7.095
2,600000,1,8.0135
3,1000000,1,9.0695
4,1400000,1,10.1035
5,1800000,1,11.1155
6,2200000,1,12.1055
7,2600000,1,13.0735
8,3000000,1,14.0195
9,3500000,1,15.0645
10,4000000,1,16.082
11,4500000,1,17.072
12,5000000,1,17.5945
13,5500000,1,18.0978
14,6100000,1,18.6786
15,6700000,1,19.2363
16,7300000,1,19.7709
17,8000000,1,20.3676
18,8700000,1,20.9374
19,9400000,1,21.4803
20,10200000,1,22.0831
21,11000000,1,22.6683
22,12000000,1,23.3778
23,13000000,1,24.0653
24,14200000,1,24.8639
25,15400000,1,25.6361
26,16900000,1,26.5848
27,18400000,1,27.5171
28,20400000,1,28.7381
29,22400000,1,29.9481
30,24900000,1,31.4468
31,27400000,1,32.9318
32,30400000,1,34.7072
33,33400000,1,36.476
34,36900000,1,38.5319
35,40400000,1,40.5801
36,44400000,1,42.9121
37,48400000,1,45.2441
38,52900000,1,47.8676
39,57400000,1,50.4911
40,62400000,1,53.4061
41,67400000,1,56.3211
42,72900000,1,59.5276
43,78400000,1,62.7341
44,84400000,1,66.2321
45,90400000,1,69.7301
46,96900000,1,73.5196
47,103400000,1,77.3091
48,110400000,1,81.3901
49,117400000,1,85.4711
50,124900000,1,89.5961
101,300000,2,5.747
102,600000,2,6.491
103,1000000,2,7.3463
104,1400000,2,8.1839
105,1800000,2,9.0036
106,2200000,2,9.8055
107,2600000,2,10.5896
108,3000000,2,11.3558
109,3500000,2,12.2023
110,4000000,2,13.0264
111,4500000,2,13.8283
112,5000000,2,14.2516
113,5500000,2,14.6592
114,6100000,2,15.1296
115,6700000,2,15.5814
116,7300000,2,16.0144
117,8000000,2,16.4977
118,8700000,2,16.9593
119,9400000,2,17.3991
120,10200000,2,17.8873
121,11000000,2,18.3614
122,12000000,2,18.936
123,13000000,2,19.4929
124,14200000,2,20.1398
125,15400000,2,20.7653
126,16900000,2,21.5337
127,18400000,2,22.2889
128,20400000,2,23.2779
129,22400000,2,24.258
130,24900000,2,25.4719
131,27400000,2,26.6747
132,30400000,2,28.1129
133,33400000,2,29.5456
134,36900000,2,31.2108
135,40400000,2,32.8699
136,44400000,2,34.7588
137,48400000,2,36.6477
138,52900000,2,38.7727
139,57400000,2,40.8978
140,62400000,2,43.259
141,67400000,2,45.6201
142,72900000,2,48.2173
143,78400000,2,50.8146
144,84400000,2,53.648
145,90400000,2,56.4814
146,96900000,2,59.5508
147,103400000,2,62.6204
148,110400000,2,65.926
149,117400000,2,69.2316
150,124900000,2,72.5729
201,300000,3,6.45
202,600000,3,7.285
203,1000000,3,8.245
204,1400000,3,9.185
205,1800000,3,10.105
206,2200000,3,11.005
207,2600000,3,11.885
208,3000000,3,12.745
209,3500000,3,13.695
210,4000000,3,14.62
211,4500000,3,15.52
212,5000000,3,15.995
213,5500000,3,16.4525
214,6100000,3,16.9805
215,6700000,3,17.4875
216,7300000,3,17.9735
217,8000000,3,18.516
218,8700000,3,19.034
219,9400000,3,19.5275
220,10200000,3,20.0755
221,11000000,3,20.6075
222,12000000,3,21.2525
223,13000000,3,21.8775
224,14200000,3,22.6035
225,15400000,3,23.3055
226,16900000,3,24.168
227,18400000,3,25.0155
228,20400000,3,26.1255
229,22400000,3,27.2255
230,24900000,3,28.588
231,27400000,3,29.938
232,30400000,3,31.552
233,33400000,3,33.16
234,36900000,3,35.029
235,40400000,3,36.891
236,44400000,3,39.011
237,48400000,3,41.131
238,52900000,3,43.516
239,57400000,3,45.901
240,62400000,3,48.551
241,67400000,3,51.201
242,72900000,3,54.116
243,78400000,3,57.031
244,84400000,3,60.211
245,90400000,3,63.391
246,96900000,3,66.836
247,103400000,3,70.281
248,110400000,3,73.991
249,117400000,3,77.701
250,124900000,3,81.451
