变量名,levelExp3,levelExp1,levelExp4,levelExp5,levelExp2
默认值,,,,,
ID,升级经验序列1,升级经验序列2,升级经验序列3,升级经验序列4,升级经验序列5
1,36,24,48,64,28
2,72,48,96,128,56
3,108,72,144,192,84
4,144,96,192,256,112
5,180,120,240,320,140
6,216,144,288,384,168
7,270,180,360,480,210
8,360,240,480,640,280
9,540,360,720,960,420
10,720,480,960,1280,560
11,900,600,1200,1600,700
12,1080,720,1440,1920,840
13,1440,960,1920,2560,1120
14,1800,1200,2400,3200,1400
15,2160,1440,2880,3840,1680
16,3060,2040,4080,5440,2380
17,3600,2400,4800,6400,2800
18,4140,2760,5520,7360,3220
19,4680,3120,6240,8320,3640
20,5220,3480,6960,9280,4060
21,5760,3840,7680,10240,4480
22,6300,4200,8400,11200,4900
23,6660,4440,8880,11840,5180
24,7200,4800,9600,12800,5600
25,7740,5160,10320,13760,6020
26,9360,6240,12480,16640,7280
27,9540,6360,12720,16960,7419
28,10260,6840,13680,18240,7980
29,10980,7320,14640,19520,8540
30,11700,7800,15600,20800,9100
31,13500,9000,18000,24000,10500
32,14400,9600,19200,25600,11200
33,15300,10200,20400,27200,11900
34,16380,10920,21840,29120,12740
35,17460,11640,23280,31040,13580
36,21600,14400,28800,38400,16800
37,21600,14400,28800,38400,16800
38,23400,15600,31200,41600,18200
39,25200,16800,33600,44800,19600
40,28800,19200,38400,51200,22400
41,37800,25200,50400,67200,29400
42,43200,28800,57600,76800,33600
43,48600,32400,64800,86400,37800
44,54000,36000,72000,96000,42000
45,59400,39600,79200,105600,46200
46,66600,44400,88800,118400,51800
47,73800,49200,98400,131200,57400
48,81000,54000,108000,144000,63000
49,88200,58800,117600,156800,68600
50,97200,64800,129600,172800,75600
51,118800,79200,158400,211200,92400
52,129600,86400,172800,230400,100800
53,142200,94800,189600,252800,110600
54,154800,103200,206400,275200,120400
55,172800,115200,230400,307200,134400
56,198000,132000,264000,352000,154000
57,216000,144400,288000,384000,168000
58,234000,156000,312000,416000,182000
59,252000,168000,336000,448000,196000
60,288000,192000,384000,512000,224000
61,360000,240000,480000,640000,280000
62,396000,264000,528000,704000,308000
63,450000,300000,600000,800000,350000
64,486000,324000,648000,864000,378000
65,540000,360000,720000,960000,420000
66,576000,384000,768000,1024000,448000
67,630000,420000,840000,1120000,490000
68,702000,468000,936000,1248000,546000
69,756000,504000,1008000,1344000,588000
70,864000,576000,1152000,1536000,672000
71,954000,636000,1272000,1696000,742000
72,1080000,720000,1440000,1920000,840000
73,1188000,792000,1584000,2112000,924000
74,1314000,876000,1752000,2336000,1022000
75,1566000,1044000,2088000,2784000,1218000
76,1782000,1188000,2376000,3168000,1386000
77,1980000,1320000,2640000,3520000,1540000
78,2160000,1440000,2880000,3840000,1680000
79,2520000,1680000,3360000,4480000,1960000
80,2520000,1680000,3360000,4480000,1960000
81,2520000,1680000,3360000,4480000,1960000
82,2520000,1680000,3360000,4480000,1960000
83,2700000,1800000,3600000,4800000,2100000
84,2700000,1800000,3600000,4800000,2100000
85,2880000,1920000,3840000,5120000,2240000
86,3060000,2040000,4080000,5440000,2380000
87,3240000,2160000,4320000,5760000,2520000
88,3420000,2280000,4560000,6080000,2660000
89,3600000,2400000,4800000,6400000,2800000
90,3780000,2520000,5040000,6720000,2940000
91,4140000,2760000,5520000,7360000,3220000
92,3960000,2640000,5280000,7040000,3080000
93,4140000,2760000,5520000,7360000,3220000
94,3960000,2640000,5280000,7040000,3080000
95,4005000,2670000,5340000,7120000,3115000
96,4050000,2700000,5400000,7200000,3150000
97,4095000,2730000,5460000,7280000,3185000
98,4140000,2760000,5520000,7360000,3220000
99,4185000,2790000,5580000,7440000,3255000
100,4275000,2850000,5700000,7600000,3325000
101,4455000,2970000,5940000,7920000,3465000
102,4635000,3090000,6180000,8240000,3605000
103,4815000,3210000,6420000,8560000,3745000
104,4995000,3330000,6660000,8880000,3885000
105,7200000,4800000,9600000,12800000,5600000
106,7335000,4890000,9780000,13040000,5705000
107,7470000,4980000,9960000,13280000,5810000
108,7605000,5070000,10140000,13520000,5915000
109,7740000,5160000,10320000,13760000,6020000
110,7875000,5250000,10500000,14000000,6125000
111,9000000,6000000,12000000,16000000,7000000
112,9202500,6135000,12270000,16360000,7157500
113,9405000,6270000,12540000,16720000,7315000
114,9607500,6405000,12810000,17080000,7472500
115,9810000,6540000,13080000,17440000,7630000
116,11497500,7665000,15330000,20440000,8942500
117,11722500,7815000,15630000,20840000,9117500
118,11947500,7965000,15930000,21240000,9292500
119,12172500,8115000,16230000,21640000,9467500
120,12397500,8265000,16530000,22040000,9642500
121,15097500,10065000,20130000,26840000,11742500
122,15367500,10245000,20490000,27320000,11952500
123,15637500,10425000,20850000,27800000,12162500
124,15907500,10605000,21210000,28280000,12372500
125,19957500,13305000,26610000,35480000,15522500
126,20362500,13575000,27150000,36200000,15837500
127,20767500,13845000,27690000,36920000,16152500
128,21172500,14115000,28230000,37640000,16467500
129,21577500,14385000,28770000,38360000,16782500
130,27652500,18435000,36870000,49160000,21507500
131,28260000,18840000,37680000,50240000,21980000
132,28867500,19245000,38490000,51320000,22452500
133,29475000,19650000,39300000,52400000,22925000
134,30082500,20055000,40110000,53480000,23397500
135,38957500,25905000,52010000,69280000,30122500
136,39845000,26490000,53200000,70860000,30795000
137,40732500,27075000,54390000,72440000,31467500
138,41620000,27660000,55580000,74020000,32140000
139,42507500,28245000,56770000,75600000,32812500
140,55057500,36345000,73770000,98000000,41862500
141,56312500,37155000,75470000,100240000,42767500
142,57567500,37965000,77170000,102480000,43672500
143,58822500,38775000,78870000,104720000,44577500
144,60077500,39585000,80570000,106960000,45482500
145,69082500,47045000,91270000,119700000,53862500
146,70485000,48115000,93020000,121870000,55062500
147,71887500,49185000,94770000,124040000,56262500
148,73290000,50255000,96520000,126210000,57462500
149,74692500,51325000,98270000,128380000,58662500
150,82797000,58039000,107900000,139846000,66204500
151,84199500,59109000,109650000,142016000,67404500
152,85602000,60179000,111400000,144186000,68604500
153,87004500,61249000,113150000,146356000,69804500
154,88407000,62319000,114900000,148526000,71004500
