变量名,itemNum5,itemNum4,itemNum3,itemNum2,itemNum1,fragNum3,fragNum2,fragNum1,needLevel,gold7,gold6,gold5,gold4,gold3,gold2,gold1,itemMap1,itemMap2,itemMap3,itemMap4,itemMap5,itemMap6,itemMap7
默认值,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,{},{},{},{},{},{},{}
ID,默认值,默认值,默认值,默认值,默认值,默认值,默认值,默认值,默认值,默认值,默认值,默认值,默认值,默认值,默认值,默认值,默认值,默认值,默认值,默认值,默认值,默认值,默认值
0,5,5,5,5,5,5,5,5,,,,,,,,,,,,,,,
1,5,5,5,5,5,5,5,5,2,2000,2500,1500,1000,1250,750,500,,,,,,,
2,5,5,5,5,5,5,5,5,3,2200,2750,1650,1100,1375,825,550,,,,,,,
3,5,5,5,5,5,5,5,5,4,2400,3000,1800,1200,1500,900,600,,,,,,,
4,5,5,5,5,5,5,5,5,5,2600,3250,1950,1300,1625,975,650,,,,,,,
5,5,5,5,5,5,5,5,5,6,2800,3500,2100,1400,1750,1050,700,,,,,,,
6,5,5,5,5,5,5,5,5,7,3000,3750,2250,1500,1875,1125,750,,,,,,,
7,5,5,5,5,5,5,5,5,8,3200,4000,2400,1600,2000,1200,800,,,,,,,
8,5,5,5,5,5,10,10,10,9,3400,4250,2550,1700,2125,1275,850,,,,,,,
9,5,5,5,5,5,10,10,10,10,3600,4500,2700,1800,2250,1350,900,,,,,,,
10,10,10,10,10,10,10,10,10,11,3800,4750,2850,1900,2375,1425,950,,,,,,,
11,10,10,10,10,10,10,10,10,12,4000,5000,3000,2000,2500,1500,1000,,,,,,,
12,10,10,10,10,10,10,10,10,13,4200,5250,3150,2100,2625,1575,1050,,,,,,,
13,10,10,10,10,10,10,10,10,14,4400,5500,3300,2200,2750,1650,1100,,,,,,,
14,10,10,10,10,10,10,10,10,15,4600,5750,3450,2300,2875,1725,1150,,,,,,,
