变量名,costItemMap1,costItemMap2,costItemMap3,costItemMap4,costItemMap5,costItemMap6,costItemMap7,costItemMap8,costItemMap9,costItemMap10,costItemMap11,costItemMap12,costItemMap13,costItemMap14,costItemMap15,costItemMap16,costItemMap17,costItemMap18,costItemMap19,costItemMap20,__version
默认值,{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},
ID,costItemMap1,costItemMap2,costItemMap3,costItemMap4,costItemMap5,costItemMap6,costItemMap7,costItemMap8,costItemMap9,costItemMap10,costItemMap11,costItemMap12,costItemMap13,costItemMap14,costItemMap15,costItemMap16,costItemMap17,costItemMap18,costItemMap19,costItemMap20,__version
0,{111=240;112=80;coin10=200;gold=200000},{111=240;112=80;coin2=200;gold=200000},{111=240;112=80;coin1=200;gold=200000},{111=240;112=80;coin6=200;gold=200000},{111=360;112=120;coin10=300;gold=400000},{111=360;112=120;coin2=300;gold=400000},{111=360;112=120;coin1=300;gold=400000},{111=360;112=120;coin6=300;gold=400000},{111=360;112=120;coin10=300;gold=400000},{111=360;112=120;coin2=300;gold=400000},{111=360;112=120;coin1=300;gold=400000},{111=360;112=120;coin6=300;gold=400000},{111=480;112=160;coin10=400;gold=600000},{111=480;112=160;coin2=400;gold=600000},{111=480;112=160;coin1=400;gold=600000},{111=480;112=160;coin6=400;gold=600000},{111=480;112=160;coin10=400;gold=600000},{111=480;112=160;coin2=400;gold=600000},{111=480;112=160;coin1=400;gold=600000},{111=480;112=160;coin6=400;gold=600000},
1,{111=260;112=90;coin10=300;gold=300000},{111=260;112=90;coin2=300;gold=300000},{111=260;112=90;coin1=300;gold=300000},{111=260;112=90;coin6=300;gold=300000},{111=390;112=135;coin10=450;gold=600000},{111=390;112=135;coin2=450;gold=600000},{111=390;112=135;coin1=450;gold=600000},{111=390;112=135;coin6=450;gold=600000},{111=390;112=135;coin10=450;gold=600000},{111=390;112=135;coin2=450;gold=600000},{111=390;112=135;coin1=450;gold=600000},{111=390;112=135;coin6=450;gold=600000},{111=520;112=180;coin10=600;gold=900000},{111=520;112=180;coin2=600;gold=900000},{111=520;112=180;coin1=600;gold=900000},{111=520;112=180;coin6=600;gold=900000},{111=520;112=180;coin10=600;gold=900000},{111=520;112=180;coin2=600;gold=900000},{111=520;112=180;coin1=600;gold=900000},{111=520;112=180;coin6=600;gold=900000},
2,{111=280;112=100;coin10=400;gold=400000},{111=280;112=100;coin2=400;gold=400000},{111=280;112=100;coin1=400;gold=400000},{111=280;112=100;coin6=400;gold=400000},{111=420;112=150;coin10=600;gold=800000},{111=420;112=150;coin2=600;gold=800000},{111=420;112=150;coin1=600;gold=800000},{111=420;112=150;coin6=600;gold=800000},{111=420;112=150;coin10=600;gold=800000},{111=420;112=150;coin2=600;gold=800000},{111=420;112=150;coin1=600;gold=800000},{111=420;112=150;coin6=600;gold=800000},{111=560;112=200;coin10=800;gold=1200000},{111=560;112=200;coin2=800;gold=1200000},{111=560;112=200;coin1=800;gold=1200000},{111=560;112=200;coin6=800;gold=1200000},{111=560;112=200;coin10=800;gold=1200000},{111=560;112=200;coin2=800;gold=1200000},{111=560;112=200;coin1=800;gold=1200000},{111=560;112=200;coin6=800;gold=1200000},
3,{111=300;112=120;coin10=500;gold=500000},{111=300;112=120;coin2=500;gold=500000},{111=300;112=120;coin1=500;gold=500000},{111=300;112=120;coin6=500;gold=500000},{111=450;112=180;coin10=800;gold=1000000},{111=450;112=180;coin2=800;gold=1000000},{111=450;112=180;coin1=800;gold=1000000},{111=450;112=180;coin6=800;gold=1000000},{111=450;112=180;coin10=800;gold=1000000},{111=450;112=180;coin2=800;gold=1000000},{111=450;112=180;coin1=800;gold=1000000},{111=450;112=180;coin6=800;gold=1000000},{111=600;112=240;coin10=1000;gold=1500000},{111=600;112=240;coin2=1000;gold=1500000},{111=600;112=240;coin1=1000;gold=1500000},{111=600;112=240;coin6=1000;gold=1500000},{111=600;112=240;coin10=1000;gold=1500000},{111=600;112=240;coin2=1000;gold=1500000},{111=600;112=240;coin1=1000;gold=1500000},{111=600;112=240;coin6=1000;gold=1500000},
4,{111=340;112=140;coin10=600;gold=600000},{111=340;112=140;coin2=600;gold=600000},{111=340;112=140;coin1=600;gold=600000},{111=340;112=140;coin6=600;gold=600000},{111=510;112=210;coin10=900;gold=1200000},{111=510;112=210;coin2=900;gold=1200000},{111=510;112=210;coin1=900;gold=1200000},{111=510;112=210;coin6=900;gold=1200000},{111=510;112=210;coin10=900;gold=1200000},{111=510;112=210;coin2=900;gold=1200000},{111=510;112=210;coin1=900;gold=1200000},{111=510;112=210;coin6=900;gold=1200000},{111=680;112=280;coin10=1200;gold=1800000},{111=680;112=280;coin2=1200;gold=1800000},{111=680;112=280;coin1=1200;gold=1800000},{111=680;112=280;coin6=1200;gold=1800000},{111=680;112=280;coin10=1200;gold=1800000},{111=680;112=280;coin2=1200;gold=1800000},{111=680;112=280;coin1=1200;gold=1800000},{111=680;112=280;coin6=1200;gold=1800000},
5,{111=380;112=180;coin10=700;gold=800000},{111=380;112=180;coin2=700;gold=800000},{111=380;112=180;coin1=700;gold=800000},{111=380;112=180;coin6=700;gold=800000},{111=570;112=270;coin10=1050;gold=1600000},{111=570;112=270;coin2=1050;gold=1600000},{111=570;112=270;coin1=1050;gold=1600000},{111=570;112=270;coin6=1050;gold=1600000},{111=570;112=270;coin10=1050;gold=1600000},{111=570;112=270;coin2=1050;gold=1600000},{111=570;112=270;coin1=1050;gold=1600000},{111=570;112=270;coin6=1050;gold=1600000},{111=760;112=360;coin10=1400;gold=2400000},{111=760;112=360;coin2=1400;gold=2400000},{111=760;112=360;coin1=1400;gold=2400000},{111=760;112=360;coin6=1400;gold=2400000},{111=760;112=360;coin10=1400;gold=2400000},{111=760;112=360;coin2=1400;gold=2400000},{111=760;112=360;coin1=1400;gold=2400000},{111=760;112=360;coin6=1400;gold=2400000},
6,{111=420;112=220;coin10=800;gold=1000000},{111=420;112=220;coin2=800;gold=1000000},{111=420;112=220;coin1=800;gold=1000000},{111=420;112=220;coin6=800;gold=1000000},{111=630;112=330;coin10=1200;gold=2000000},{111=630;112=330;coin2=1200;gold=2000000},{111=630;112=330;coin1=1200;gold=2000000},{111=630;112=330;coin6=1200;gold=2000000},{111=630;112=330;coin10=1200;gold=2000000},{111=630;112=330;coin2=1200;gold=2000000},{111=630;112=330;coin1=1200;gold=2000000},{111=630;112=330;coin6=1200;gold=2000000},{111=840;112=440;coin10=1600;gold=3000000},{111=840;112=440;coin2=1600;gold=3000000},{111=840;112=440;coin1=1600;gold=3000000},{111=840;112=440;coin6=1600;gold=3000000},{111=840;112=440;coin10=1600;gold=3000000},{111=840;112=440;coin2=1600;gold=3000000},{111=840;112=440;coin1=1600;gold=3000000},{111=840;112=440;coin6=1600;gold=3000000},
7,{111=460;112=280;coin10=900;gold=1200000},{111=460;112=280;coin2=900;gold=1200000},{111=460;112=280;coin1=900;gold=1200000},{111=460;112=280;coin6=900;gold=1200000},{111=690;112=420;coin10=1350;gold=2400000},{111=690;112=420;coin2=1350;gold=2400000},{111=690;112=420;coin1=1350;gold=2400000},{111=690;112=420;coin6=1350;gold=2400000},{111=690;112=420;coin10=1350;gold=2400000},{111=690;112=420;coin2=1350;gold=2400000},{111=690;112=420;coin1=1350;gold=2400000},{111=690;112=420;coin6=1350;gold=2400000},{111=920;112=560;coin10=1800;gold=3600000},{111=920;112=560;coin2=1800;gold=3600000},{111=920;112=560;coin1=1800;gold=3600000},{111=920;112=560;coin6=1800;gold=3600000},{111=920;112=560;coin10=1800;gold=3600000},{111=920;112=560;coin2=1800;gold=3600000},{111=920;112=560;coin1=1800;gold=3600000},{111=920;112=560;coin6=1800;gold=3600000},
8,{111=520;112=340;coin10=1000;gold=1400000},{111=520;112=340;coin2=1000;gold=1400000},{111=520;112=340;coin1=1000;gold=1400000},{111=520;112=340;coin6=1000;gold=1400000},{111=780;112=510;coin10=1500;gold=2800000},{111=780;112=510;coin2=1500;gold=2800000},{111=780;112=510;coin1=1500;gold=2800000},{111=780;112=510;coin6=1500;gold=2800000},{111=780;112=510;coin10=1500;gold=2800000},{111=780;112=510;coin2=1500;gold=2800000},{111=780;112=510;coin1=1500;gold=2800000},{111=780;112=510;coin6=1500;gold=2800000},{111=1040;112=680;coin10=2000;gold=4200000},{111=1040;112=680;coin2=2000;gold=4200000},{111=1040;112=680;coin1=2000;gold=4200000},{111=1040;112=680;coin6=2000;gold=4200000},{111=1040;112=680;coin10=2000;gold=4200000},{111=1040;112=680;coin2=2000;gold=4200000},{111=1040;112=680;coin1=2000;gold=4200000},{111=1040;112=680;coin6=2000;gold=4200000},
9,{111=580;112=400;coin10=1100;gold=1600000},{111=580;112=400;coin2=1100;gold=1600000},{111=580;112=400;coin1=1100;gold=1600000},{111=580;112=400;coin6=1100;gold=1600000},{111=870;112=600;coin10=1650;gold=3200000},{111=870;112=600;coin2=1650;gold=3200000},{111=870;112=600;coin1=1650;gold=3200000},{111=870;112=600;coin6=1650;gold=3200000},{111=870;112=600;coin10=1650;gold=3200000},{111=870;112=600;coin2=1650;gold=3200000},{111=870;112=600;coin1=1650;gold=3200000},{111=870;112=600;coin6=1650;gold=3200000},{111=1160;112=800;coin10=2200;gold=4800000},{111=1160;112=800;coin2=2200;gold=4800000},{111=1160;112=800;coin1=2200;gold=4800000},{111=1160;112=800;coin6=2200;gold=4800000},{111=1160;112=800;coin10=2200;gold=4800000},{111=1160;112=800;coin2=2200;gold=4800000},{111=1160;112=800;coin1=2200;gold=4800000},{111=1160;112=800;coin6=2200;gold=4800000},
