变量名,handBookIsShow,limitIsShow,speed,specialDefence,defence,specialDamage,damage,hpMax,languages,autoCards,cards,deployLock,enemyRandomCards,enemydeployLock,passiveSkillList
默认值,TRUE,FALSE,1,1,1,1,1,1,<cn;kr;tw;en;en_us;en_eu>,{},<>,<0;0;0;0;0;0>,<200221;200221;200221;200221;200221;200221>,<0;0;0;0;0;0>,<61201>
ID,默认值,默认值,默认值,默认值,默认值,默认值,默认值,默认值,默认值,默认值,默认值,默认值,默认值,默认值,默认值
14,,,,,,,,,,{100014=0},<101271;101981;104193;101173;101231;100741;104193>,,,,
242,,,,,,,,,,{100242=0},<101271;102461;100014;100741;101303;102023;101172>,,,,
603,,,,,,,,,,{100603=0},<101271;102461;100014;100741;101303;102023;101172>,,,,
631,,,,,,,,,,{100631=0},<101981;101261;101304;104151;103353;102401;103301>,,,,
632,,,,,,,,,,{100632=0},<101981;101261;101304;104151;103353;102401;103301>,,,,
761,,,,,,,,,<cn;kr;tw;en;en_us;en_eu>,{100761=5;101261=1;101281=6;104101=4;107041=3;107081=2},<>,,,,
762,,,,,,,,,<cn;tw;kr;en_us;en>,{100762=5;103262=4;104121=6;104601=1;107061=3},<102243;104431;104621;104622;104623>,,,,
763,,,,,,,,,<cn;tw;kr;en_us;en>,{100763=5;101261=1;104101=4;107041=3;107081=2},<101281;101991>,,,,
1261,,,,,,,,,<cn;kr;tw;en;en_us;en_eu>,{101261=0},<101261;101982;101271;103611;102442;102421;101962;107011;102361;107071>,,,,
1271,,,,,,,,,<cn;kr;tw;en;en_us;en_eu>,{101271=1;101972=2;102461=6;103211=3;103651=4},<100014;100242;100603;102023;102371;104151;103673;104193>,,,,
1281,,,,,,,,,<cn;kr;en;en_us;en_eu;tw>,{101281=3;102441=4;104631=1},<104081;102303;101293;100004>,,,,
1911,,,,,,,,,,{101911=0;101921=0;101931=0},<102381;103171;104141;101253>,,,,
1921,,,,,,,,,,{101911=0;101921=0;101931=0},<102381;103241;103021;100721;100382>,,,,
1931,,,,,,,,,,{101911=0;101921=0;101931=0},<102381;102351;101903;103161;101501>,,,,
1961,,,,,,,,,<cn;kr;tw;en;en_us;en_eu>,{101961=2;102361=5;102421=1;107011=4;107071=6},<100632;102132>,,,,
1962,,,,,,,,,<cn;kr;en;en_us;en_eu;tw>,{101962=2;102361=5;102421=1;107011=4;107071=6},<100632;102132>,,,,
1971,,,,,,,,,<cn;kr;tw;en;en_us;en_eu>,{101271=1;101971=2;102461=6;103211=3;103651=4},<100014;100242;100603;102023;102371;104151;103673;104193>,,,,
1972,,,,,,,,,<cn;tw;kr;en;en_us;en_eu>,{101271=1;101972=2;102461=6;103211=3;103651=4},<100014;100242;100603;102023;102371;104151;103673;104193>,,,,
1981,,,,,,,,,<cn;kr;tw;en;en_us;en_eu>,{101981=0},<103211;103221;103241;103623;107091;102391;102361;102351;101271;103611;101261;102442>,,,,
1982,,,,,,,,,<cn;kr;tw;en;en_us;en_eu>,{101982=0},<103211;103221;103241;103623;107091;102391;102361;102351;101271;103611;101261;102442>,,,,
1991,,,,,,,,,<cn;kr;tw;en;en_us;en_eu>,{101991=6;102351=5;104023=3;104172=1;107081=2},<104111;103271>,,,,
2023,,,,,,,,,,{102023=0},<101271;102461;103673;102242;101304;104621;103831>,,,,
2132,,,,,,,,,,{102132=0},<101962;102361;101961;103303;102493;102033;103683>,,,,
2351,,,,,,,,,<cn;kr;tw;en;en_us;en_eu>,{102351=5;103271=4;104023=3;104172=1;107081=2},<104111;101991>,,,,
2352,,,,,,,,,<cn>,{102352=0},<104103;107171;107111;107081;104172;104111>,,,,
2361,,,,,,,,,<cn;kr;tw;en;en_us;en_eu>,{101962=2;102361=5;102421=1;107011=4;107071=6},<100632;102132>,,,,
2371,,,,,,,,,,{102371=0},<101271;102461;102371;101503;101231;101903;103161>,,,,
2381,,,,,,,,,<cn;kr;tw;en;en_us;en_eu>,{102381=0},<101931;101911;101921;103261;103262;103241;104172;107081;104023;103271;102351;104111>,,,,
2391,,,,,,,,,<cn;kr;tw;en;en_us;en_eu>,{102391=2;103641=1;104024=3;104121=5;104683=6;107021=4},<>,,,,
2421,,,,,,,,,<cn;kr;tw;en;en_us;en_eu>,{101962=2;102361=5;102421=1;107011=4;107071=6},<100632;102132>,,,,
