变量名,passiveSkill,attrNatureType3,attrNatureType1,pointType,attrNum3,attrType3,extraWeight,name,limit,group,attrNum2,attrType2,attrNum1,attrType1,pointValue,buffColor,iconBg,unlockConditionDesc,icon,weight,belongLib,desc,condition,supplyNum,supplyTarget,supplyType,buffType,descNew,nameNew,logo,changeLib,effectTimes,unlockCondition,skillgroup,selfExtraWeight,__version,buffsGroup1,buffsGroup2,strategyGroup
默认值,0,0,0,0,"""""",0,0,"""""",99,1,"""""",0,"""""",0,0,"""""","""""","""""","""""",999,0,"""""",0,0,0,0,1,"""""","""""","""""",0,0,{},{},{},,0,0,0
ID,被动技能ID,属性3类型,属性1类型,积分类型,属性3数值,属性3类型值,额外权重,buff名称,出现次数限制,流派分组,属性2数值,属性2类型,属性1数值,属性1类型,积分值,buff颜色,图标背景,解锁条件描述,图标,抽选权重,所属库,描述,条件,效果数值,效果目标,效果类型,buff类型,新版描述,新版名称,流派logo,变更库,效果次数,解锁条件,技能组,自身额外权重,__version,buffsGroup1,buffsGroup2,strategyGroup
1,,,,,,,,双攻I,,,5%,7,5%,8,,effect,city/adventure/random_tower/icon/box_red.png,,city/adventure/random_tower/icon/icon_gj.png,150,,我方精灵物攻和特攻+5%,,,,,,,,,,,,,,,1001,,11
2,,,,,,,,双攻Ⅱ,3,2,10%,7,10%,8,,effect,city/adventure/random_tower/icon/box_red.png,,city/adventure/random_tower/icon/icon_gj.png,150,,我方精灵物攻和特攻+10%,,,,,,,,,,,,,,,1001,,11
3,,,,,,,,双攻Ⅲ,2,3,15%,7,15%,8,,effect,city/adventure/random_tower/icon/box_red.png,,city/adventure/random_tower/icon/icon_gj.png,150,,我方精灵物攻和特攻+15%,,,,,,,,,,,,,,,1001,,11
4,,,,,,,,双防I,,,10%,9,10%,10,,effect,city/adventure/random_tower/icon/box_blue.png,,city/adventure/random_tower/icon/icon_fy.png,200,,我方精灵物理和特殊防御力+10%,,,,,,,,,,,,,,,,,11
5,,,,,,,,双防Ⅱ,3,2,20%,9,20%,10,,effect,city/adventure/random_tower/icon/box_blue.png,,city/adventure/random_tower/icon/icon_fy.png,200,,我方精灵物理和特殊防御力+20%,,,,,,,,,,,,,,,,,11
6,,,,,,,,双防Ⅲ,2,3,30%,9,30%,10,,effect,city/adventure/random_tower/icon/box_blue.png,,city/adventure/random_tower/icon/icon_fy.png,200,,我方精灵物理和特殊防御力+30%,,,,,,,,,,,,,,,,,11
7,,,,,,,,暴击I,,,,,500,14,,effect,city/adventure/random_tower/icon/box_yellow.png,,city/develop/talent/icon_bj.png,100,,我方精灵暴击率+5%,,,,,,,,,,,,,,,1001,,11
8,,,,,,,,暴击Ⅱ,3,2,,,1000,14,,effect,city/adventure/random_tower/icon/box_yellow.png,,city/develop/talent/icon_bj.png,120,,我方精灵暴击率+10%,,,,,,,,,,,,,,,1001,,11
9,,,,,,,,暴击Ⅲ,1,3,,,1500,14,,effect,city/adventure/random_tower/icon/box_yellow.png,,city/develop/talent/icon_bj.png,150,,我方精灵暴击率+15%,,,,,,,,,,,,,,,1001,,11
10,,,,,,,,暴击伤害I,,,,,1000,15,,effect,city/adventure/random_tower/icon/box_orange.png,,city/develop/talent/icon_bj.png,50,,我方精灵暴击伤害+10%,,,,,,,,,,,,,,,1001,,11
11,,,,,,,,暴击伤害Ⅱ,3,2,,,1500,15,,effect,city/adventure/random_tower/icon/box_orange.png,,city/develop/talent/icon_bj.png,50,,我方精灵暴击伤害+15%,,,,,,,,,,,,,,,1001,,11
