变量名,icon,room,boxIndex,monster,pointC,monsterType,fightC,desc,name,group,weight,type,theme,drops,buff,event,__version
默认值,"""""",0,0,1,1,1,1,"""""","""""",1,100,0,<1>,{},<>,<>,
ID,格子图标路径,所属房间ID,宝箱格索引,怪物组ID,积分系数,怪物类型,战斗系数,格子描述,格子名称,分组,权重,格子类型,适用主题,掉落,buff池,事件池,__version
1,city/adventure/random_tower/icon/icon_wz.png,1,,,,,,,战斗效果,,,2,<1;2;3;1001;1002;1003>,,<<101;100>;<111;100>;<121;100>;<131;100>;<141;100>;<161;100>;<1;300>;<9999;100>>,,
2,city/adventure/random_tower/icon/icon_wz.png,1,,,,,,,战斗效果,,,2,<1;2;3;1001;1002;1003>,,<<101;100>;<111;100>;<121;100>;<131;100>;<141;100>;<161;100>;<1;300>;<9999;100>>,,
3,city/adventure/random_tower/icon/icon_wz.png,1,,,,,,,战斗效果,,,2,<1;2;3;1001;1002;1003>,,<<101;100>;<111;100>;<121;100>;<131;100>;<141;100>;<161;100>;<1;300>;<9999;100>>,,
4,city/adventure/random_tower/icon/icon_wz.png,1,,,,,,,战斗效果,,,2,<1;2;3;1001;1002;1003>,,<<101;100>;<111;100>;<121;100>;<131;100>;<141;100>;<161;100>;<1;300>;<9999;100>>,,
5,city/adventure/random_tower/icon/icon_wz.png,2,,,,,,,战斗效果,,,2,<1;2;3;1001;1002;1003>,,<<101;100>;<111;100>;<121;100>;<131;100>;<141;100>;<161;100>;<1;300>;<9999;100>>,,
6,city/adventure/random_tower/icon/icon_wz.png,2,,,,,,,战斗效果,,,2,<1;2;3;1001;1002;1003>,,<<101;100>;<111;100>;<121;100>;<131;100>;<141;100>;<161;100>;<1;300>;<9999;100>>,,
7,city/adventure/random_tower/icon/icon_wz.png,2,,,,,,,战斗效果,,,2,<1;2;3;1001;1002;1003>,,<<101;100>;<111;100>;<121;100>;<131;100>;<141;100>;<161;100>;<1;300>;<9999;100>>,,
8,city/adventure/random_tower/icon/icon_wz.png,2,,,,,,,战斗效果,,,2,<1;2;3;1001;1002;1003>,,<<101;100>;<111;100>;<121;100>;<131;100>;<141;100>;<161;100>;<1;300>;<9999;100>>,,
9,city/adventure/random_tower/icon/icon_wz.png,3,,,,,,,战斗效果,,,2,<1;2;3;1001;1002;1003>,,<<101;100>;<111;100>;<121;100>;<131;100>;<141;100>;<161;100>;<1;300>;<9999;100>>,,
10,city/adventure/random_tower/icon/icon_wz.png,3,,,,,,,战斗效果,,,2,<1;2;3;1001;1002;1003>,,<<101;100>;<111;100>;<121;100>;<131;100>;<141;100>;<161;100>;<1;300>;<9999;100>>,,
11,city/adventure/random_tower/icon/icon_wz.png,3,,,,,,,战斗效果,,,2,<1;2;3;1001;1002;1003>,,<<101;100>;<111;100>;<121;100>;<131;100>;<141;100>;<161;100>;<1;300>;<9999;100>>,,
12,city/adventure/random_tower/icon/icon_wz.png,3,,,,,,,战斗效果,,,2,<1;2;3;1001;1002;1003>,,<<101;100>;<111;100>;<121;100>;<131;100>;<141;100>;<161;100>;<1;300>;<9999;100>>,,
13,city/adventure/random_tower/icon/img_jddr@.png,4,,,,,,似乎是可以轻松击败的对手,简单的敌人,,,1,<1;2;3;1001;1002;1003>,,,,
14,city/adventure/random_tower/icon/img_jddr@.png,4,,,,,,似乎是可以轻松击败的对手,简单的敌人,,,1,<1;2;3;1001;1002;1003>,,,,
15,city/adventure/random_tower/icon/img_jddr@.png,4,,,,,,似乎是可以轻松击败的对手,简单的敌人,,,1,<1;2;3;1001;1002;1003>,,,,
16,city/adventure/random_tower/icon/img_ptdr@.png,4,,2,,2,,小有实力，但是不足为惧的对手,普通的敌人,,,1,<1;2;3;1001;1002;1003>,,,,
17,city/adventure/random_tower/icon/img_ptdr@.png,5,,12,,2,,小有实力，但是不足为惧的对手,普通的敌人,,,1,<1;2;3;1001;1002;1003>,,,,
18,city/adventure/random_tower/icon/img_ptdr@.png,5,,12,,2,,小有实力，但是不足为惧的对手,普通的敌人,,,1,<1;2;3;1001;1002;1003>,,,,
19,city/adventure/random_tower/icon/img_kndr@.png,5,,13,,3,,请谨慎挑选对手,困难的敌人,,,1,<1;2;3;1001;1002;1003>,,,,
20,city/adventure/random_tower/icon/img_kndr@.png,5,,13,,3,,请谨慎挑选对手,困难的敌人,,,1,<1;2;3;1001;1002;1003>,,,,
21,city/adventure/random_tower/icon/icon_wz.png,6,,,,,,,战斗效果,,,2,<1;2;3;1001;1002;1003>,,<<101;100>;<111;100>;<121;100>;<131;100>;<141;100>;<161;100>;<1;300>;<9999;100>>,,
22,city/adventure/random_tower/icon/icon_wz.png,6,,,,,,,属性加成,,,2,<1;2;3;1001;1002;1003>,,<<1;100>;<2;50>>,,
23,city/adventure/random_tower/icon/img_ptdr@.png,6,,12,,2,,小有实力，但是不足为惧的对手,普通的敌人,,,1,<1;2;3;1001;1002;1003>,,,,
24,city/adventure/random_tower/icon/img_kndr@.png,6,,13,,3,,请谨慎挑选对手,困难的敌人,,,1,<1;2;3;1001;1002;1003>,,,,
25,city/adventure/random_tower/icon/icon_wz.png,7,,,,,,,属性加成,,,2,<1;2;3;1001;1002;1003>,,<<1;100>;<2;50>>,,
26,city/adventure/random_tower/icon/icon_sj.png,7,,,,,,谁也不知道会发生什么,事件,,,4,<1;2;3;1001;1002;1003>,,,<<11;1000>;<12;500>;<21;1000>;<22;500>;<31;1000>;<32;500>;<41;1000>;<42;500>;<51;1000>;<52;500>;<61;1000>;<62;500>;<99;1>>,
27,city/adventure/random_tower/icon/img_jddr@.png,7,,11,,,,似乎是可以轻松击败的对手,简单的敌人,,,1,<1;2;3;1001;1002;1003>,,,,
28,city/adventure/random_tower/icon/img_ptdr@.png,7,,12,,2,,小有实力，但是不足为惧的对手,普通的敌人,,,1,<1;2;3;1001;1002;1003>,,,,
29,city/adventure/random_tower/icon/img_kndr@.png,7,,13,,3,,请谨慎挑选对手,困难的敌人,,,1,<1;2;3;1001;1002;1003>,,,,
30,city/adventure/random_tower/icon/icon_wz.png,8,,,,,,,战斗补给,,,2,<1;2;3;1001;1002;1003>,,<<4;100>>,,
31,city/adventure/random_tower/icon/icon_wz.png,8,,,,,,,战斗补给,,,2,<1;2;3;1001;1002;1003>,,<<5;100>>,,
32,city/adventure/random_tower/icon/icon_sj.png,8,,,,,,谁也不知道会发生什么,事件,,,4,<1;2;3;1001;1002;1003>,,,<<11;1000>;<12;500>;<21;1000>;<22;500>;<31;1000>;<32;500>;<41;1000>;<42;500>;<51;1000>;<52;500>;<61;1000>;<62;500>;<99;1>>,
33,city/adventure/random_tower/icon/img_jddr@.png,8,,11,,,,似乎是可以轻松击败的对手,简单的敌人,,,1,<1;2;3;1001;1002;1003>,,,,
34,city/adventure/random_tower/icon/img_ptdr@.png,8,,12,,2,,小有实力，但是不足为惧的对手,普通的敌人,,,1,<1;2;3;1001;1002;1003>,,,,
35,city/adventure/random_tower/icon/img_kndr@.png,8,,13,,3,,请谨慎挑选对手,困难的敌人,,,1,<1;2;3;1001;1002;1003>,,,,
36,city/adventure/random_tower/icon/img_kndr@.png,9,,23,,3,,请谨慎挑选对手,困难的敌人,,,1,<1;2;3;1001;1002;1003>,,,,
37,city/adventure/random_tower/icon/img_boss@.png,9,,24,,4,0.8,极为艰难的力量在前方,霸主,,,1,<1;2;3;1001;1002;1003>,,,,
38,city/adventure/random_tower/icon/img_boss@.png,9,,24,,4,0.8,极为艰难的力量在前方,霸主,,,1,<1;2;3;1001;1002;1003>,,,,
39,city/adventure/random_tower/icon/img_boss@.png,9,,24,,4,0.8,极为艰难的力量在前方,霸主,,,1,<1;2;3;1001;1002;1003>,,,,
40,city/adventure/random_tower/icon_hhbx.png,10,11,,,,,跨越巨大挑战后才会配拥有此回报,豪华宝箱,,,3,<1;2;3;1001;1002;1003>,,,,
41,city/adventure/random_tower/icon/icon_wz.png,11,,,,,,,战斗效果,,,2,<1;2;3;1001;1002;1003>,,<<101;100>;<111;100>;<121;100>;<131;100>;<141;100>;<161;100>;<1;300>;<9999;100>>,,
42,city/adventure/random_tower/icon/icon_wz.png,11,,,,,,,战斗效果,,,2,<1;2;3;1001;1002;1003>,,<<101;100>;<111;100>;<121;100>;<131;100>;<141;100>;<161;100>;<1;300>;<9999;100>>,,
43,city/adventure/random_tower/icon/icon_wz.png,11,,,,,,,战斗效果,,,2,<1;2;3;1001;1002;1003>,,<<101;100>;<111;100>;<121;100>;<131;100>;<141;100>;<161;100>;<1;300>;<9999;100>>,,
44,city/adventure/random_tower/icon/icon_wz.png,11,,,,,,,战斗效果,,,2,<1;2;3;1001;1002;1003>,,<<101;100>;<111;100>;<121;100>;<131;100>;<141;100>;<161;100>;<1;300>;<9999;100>>,,
45,city/adventure/random_tower/icon/icon_wz.png,12,,,,,,,战斗效果,,,2,<1;2;3;1001;1002;1003>,,<<101;100>;<111;100>;<121;100>;<131;100>;<141;100>;<161;100>;<1;300>;<9999;100>>,,
46,city/adventure/random_tower/icon/icon_wz.png,12,,,,,,,战斗效果,,,2,<1;2;3;1001;1002;1003>,,<<101;100>;<111;100>;<121;100>;<131;100>;<141;100>;<161;100>;<1;300>;<9999;100>>,,
47,city/adventure/random_tower/icon/icon_wz.png,12,,,,,,,战斗效果,,,2,<1;2;3;1001;1002;1003>,,<<101;100>;<111;100>;<121;100>;<131;100>;<141;100>;<161;100>;<1;300>;<9999;100>>,,
48,city/adventure/random_tower/icon/icon_wz.png,12,,,,,,,战斗效果,,,2,<1;2;3;1001;1002;1003>,,<<101;100>;<111;100>;<121;100>;<131;100>;<141;100>;<161;100>;<1;300>;<9999;100>>,,
49,city/adventure/random_tower/icon/icon_wz.png,13,,,,,,,战斗效果,,,2,<1;2;3;1001;1002;1003>,,<<101;100>;<111;100>;<121;100>;<131;100>;<141;100>;<161;100>;<1;300>;<9999;100>>,,
50,city/adventure/random_tower/icon/icon_wz.png,13,,,,,,,战斗效果,,,2,<1;2;3;1001;1002;1003>,,<<101;100>;<111;100>;<121;100>;<131;100>;<141;100>;<161;100>;<1;300>;<9999;100>>,,
51,city/adventure/random_tower/icon/icon_wz.png,13,,,,,,,战斗效果,,,2,<1;2;3;1001;1002;1003>,,<<101;100>;<111;100>;<121;100>;<131;100>;<141;100>;<161;100>;<1;300>;<9999;100>>,,
52,city/adventure/random_tower/icon/icon_wz.png,13,,,,,,,战斗效果,,,2,<1;2;3;1001;1002;1003>,,<<101;100>;<111;100>;<121;100>;<131;100>;<141;100>;<161;100>;<1;300>;<9999;100>>,,
53,city/adventure/random_tower/icon/img_jddr@.png,14,,31,,,,似乎是可以轻松击败的对手,简单的敌人,,,1,<1;2;3;1001;1002;1003>,,,,
54,city/adventure/random_tower/icon/img_jddr@.png,14,,31,,,,似乎是可以轻松击败的对手,简单的敌人,,,1,<1;2;3;1001;1002;1003>,,,,
55,city/adventure/random_tower/icon/img_jddr@.png,14,,31,,,,似乎是可以轻松击败的对手,简单的敌人,,,1,<1;2;3;1001;1002;1003>,,,,
56,city/adventure/random_tower/icon/img_ptdr@.png,14,,32,,2,,小有实力，但是不足为惧的对手,普通的敌人,,,1,<1;2;3;1001;1002;1003>,,,,
57,city/adventure/random_tower/icon/img_ptdr@.png,15,,32,,2,,小有实力，但是不足为惧的对手,普通的敌人,,,1,<1;2;3;1001;1002;1003>,,,,
58,city/adventure/random_tower/icon/img_ptdr@.png,15,,32,,2,,小有实力，但是不足为惧的对手,普通的敌人,,,1,<1;2;3;1001;1002;1003>,,,,
59,city/adventure/random_tower/icon/img_kndr@.png,15,,33,,3,,请谨慎挑选对手,困难的敌人,,,1,<1;2;3;1001;1002;1003>,,,,
60,city/adventure/random_tower/icon/img_kndr@.png,15,,33,,3,,请谨慎挑选对手,困难的敌人,,,1,<1;2;3;1001;1002;1003>,,,,
61,city/adventure/random_tower/icon/icon_wz.png,16,,,,,,,战斗效果,,,2,<1;2;3;1001;1002;1003>,,<<101;100>;<111;100>;<121;100>;<131;100>;<141;100>;<161;100>;<1;300>;<9999;100>>,,
62,city/adventure/random_tower/icon/icon_wz.png,16,,,,,,,属性加成,,,2,<1;2;3;1001;1002;1003>,,<<1;100>;<2;50>>,,
63,city/adventure/random_tower/icon/img_ptdr@.png,16,,32,,2,,小有实力，但是不足为惧的对手,普通的敌人,,,1,<1;2;3;1001;1002;1003>,,,,
64,city/adventure/random_tower/icon/img_kndr@.png,16,,33,,3,,请谨慎挑选对手,困难的敌人,,,1,<1;2;3;1001;1002;1003>,,,,
65,city/adventure/random_tower/icon/icon_wz.png,17,,,,,,,属性加成,,,2,<1;2;3;1001;1002;1003>,,<<1;100>;<2;50>>,,
66,city/adventure/random_tower/icon/icon_sj.png,17,,,,,,谁也不知道会发生什么,事件,,,4,<1;2;3;1001;1002;1003>,,,<<11;1000>;<12;500>;<21;1000>;<22;500>;<31;1000>;<32;500>;<41;1000>;<42;500>;<51;1000>;<52;500>;<61;1000>;<62;500>;<99;1>>,
67,city/adventure/random_tower/icon/img_jddr@.png,17,,31,,,,似乎是可以轻松击败的对手,简单的敌人,,,1,<1;2;3;1001;1002;1003>,,,,
68,city/adventure/random_tower/icon/img_ptdr@.png,17,,32,,2,,小有实力，但是不足为惧的对手,普通的敌人,,,1,<1;2;3;1001;1002;1003>,,,,
69,city/adventure/random_tower/icon/img_kndr@.png,17,,33,,3,,请谨慎挑选对手,困难的敌人,,,1,<1;2;3;1001;1002;1003>,,,,
70,city/adventure/random_tower/icon_bx.png,17,1,,,,,不经意间发现的宝箱,宝箱,,,3,<1;2;3;1001;1002;1003>,,,,
71,city/adventure/random_tower/icon/icon_wz.png,18,,,,,,,战斗补给,,,2,<1;2;3;1001;1002;1003>,,<<4;100>>,,
72,city/adventure/random_tower/icon/icon_wz.png,18,,,,,,,战斗补给,,,2,<1;2;3;1001;1002;1003>,,<<5;100>>,,
