变量名,actionPoint,readyCardNum,awardVersion,deployType,buffSkillID,name,desc,resetTimesLimit,buffGroupEffectLimit,validRarity,buffGroup,fightCardNum,__version
默认值,0,0,0,1,0,"""""","""""",0,0,<>,{},<>,
ID,行动点(预留),备战精灵数量,积分奖励版本ID,布阵类型(1单队4双队),本期buff技能ID,本期名称,本期描述,重置次数上限,同组buff效果上限,可用的精灵稀有度,buff流派组,战斗精灵数阈值,__version
1,,2,1001,,,常规模式,,2,999,,,<0;300;500;1200>,
2,,2,1002,,,限定稀有度,本期无尽模式只能使用%s的精灵,2,999,<2;3>,,<0;300;500;1200>,
3,,2,1003,,83903,若木重生,本期玩法内怪物获得额外特殊能力；获取的#C0xF76B45#【甘露】#C0x5B545B#流派祝福效果将强化,2,999,,{161=200;163=1},<0;300;500;1200>,
4,,3,1001,4,,双队模式,双队模式下两队胜利才可过关,2,999,,,<0;150;300;450;600;750;900;1000;1200>,
1001,,2,1001,,,常规模式,,2,999,,,<0;300;500;1200>,
1002,,2,1002,,,限定稀有度,本期无尽模式只能使用%s的精灵,2,999,<2;3>,,<0;300;500;1200>,
1003,,2,1003,,83903,若木重生,本期玩法内怪物获得额外特殊能力；获取的#C0xF76B45#【甘露】#C0x5B545B#流派祝福效果将强化,2,999,,{161=200;163=1},<0;300;500;1200>,
1004,,3,1001,4,,双队模式,双队模式下两队胜利才可过关,2,999,,,<0;150;300;450;600;750;900;1000;1200>,
