变量名,boxType,index,version,award,award2,__version
默认值,1,1,0,{},{},
ID,宝箱类型(1普通2高级),宝箱在房间中的格子序号,主题版本ID,主奖励(金币/道具等),备选奖励,__version
1,,,1,{gold=5000;libs=<504;504>},,
2,,2,1,{gold=5000;libs=<504;504>},,
3,,3,1,{gold=5000;libs=<504;504>},,
4,,4,1,{gold=5000;libs=<504;504>},,
5,,5,1,{gold=5000;libs=<504;504>},,
6,,6,1,{gold=5000;libs=<504;504>},,
7,,7,1,{gold=5000;libs=<504;504>},,
8,,8,1,{gold=5000;libs=<504;504>},,
9,,9,1,{gold=5000;libs=<504;504>},,
10,,10,1,{gold=5000;libs=<504;504>},,
11,2,11,1,{gold=20000;libs=<505;8016>},,
12,2,12,1,{gold=20000;libs=<505;505>},,
13,2,13,1,{gold=20000;libs=<505;8013>},,
14,2,14,1,{gold=20000;libs=<505;8016>},,
15,2,15,1,{gold=20000;libs=<505;505>},,
16,2,16,1,{gold=20000;libs=<505;8013>},,
17,2,17,1,{gold=20000;libs=<505;8016>},,
18,2,18,1,{gold=20000;libs=<505;505>},,
19,2,19,1,{gold=20000;libs=<505;8016>},,
20,2,20,1,{gold=20000;libs=<505;505>},,
101,2,101,1,{gold=200000;libs=<505;505;8013;8017>},,
1001,,,2,{gold=5000;libs=<504;504>},,
1002,,2,2,{gold=5000;libs=<504;504>},,
1003,,3,2,{gold=5000;libs=<504;504>},,
1004,,4,2,{gold=5000;libs=<504;504>},,
1005,,5,2,{gold=5000;libs=<504;504>},,
1006,,6,2,{gold=5000;libs=<504;504>},,
1007,,7,2,{gold=5000;libs=<504;504>},,
1008,,8,2,{gold=5000;libs=<504;504>},,
1009,,9,2,{gold=5000;libs=<504;504>},,
1010,,10,2,{gold=5000;libs=<504;504>},,
1011,2,11,2,{gold=20000;libs=<505;22506>},,
1012,2,12,2,{gold=20000;libs=<505;505>},,
1013,2,13,2,{gold=20000;libs=<505;22502>},,
1014,2,14,2,{gold=20000;libs=<505;22506>},,
1015,2,15,2,{gold=20000;libs=<505;505>},,
1016,2,16,2,{gold=20000;libs=<505;22503>},,
1017,2,17,2,{gold=20000;libs=<505;22506>},,
1018,2,18,2,{gold=20000;libs=<505;505>},,
