变量名,weight,choice2,name,resultDesc1,res,choice1,limit,desc,group,choice3,resultDesc3,resultDesc2,theme,result1,result2,result3,__version,choiceWeight1,choiceWeight2,choiceWeight3
默认值,100,"""""","""""","""""","""""","""""",999,"""""",1,"""""","""""","""""",<1>,{},{},{},,100,100,100
ID,事件权重,选项2文案,事件名称,结果1描述,资源,选项1文案,出现次数限制,事件描述,分组,选项3文案,结果3描述,结果2描述,适用主题,结果1(buff/fight/items),结果2,结果3,__version,choiceWeight1,choiceWeight2,choiceWeight3
1,,拒绝挑战,不屈之心,平手，损失10%气血,,你出了石头,2,克丽丝塔儿的快拳郎友好得向你发起挑战,11,,,快拳郎向你露出鄙视的眼神,<1;2;3;4;1001;1002;1003;1004>,{buff=<200>},,,,,,
2,,拒绝挑战,不屈之心,获得胜利，赢得【强袭·生命回流】祝福（不会重复获得）,,你出了布,1,克丽丝塔儿的快拳郎友好得向你发起挑战,12,,,快拳郎向你露出鄙视的眼神,<1;2;3;4;1001;1002;1003;1004>,{buff=<1021>},,,,,,
3,,拒绝挑战,不屈之心,虽败犹荣，损失20%气血，赢得【强袭·必杀追击】祝福（不会重复获得）,,你出了剪刀,1,克丽丝塔儿的快拳郎友好得向你发起挑战,13,,,快拳郎向你露出鄙视的眼神,<1;2;3;4;1001;1002;1003;1004>,{buff=<201;1022>},,,,,,
4,,给他补钙,生锈的美录梅塔,繁衍出了1只美录坦,,静静等待,2,经过3000年的时间，美录梅塔的身体开始生锈,21,,,美录梅塔最终走向了生命的尽头,<1;2;3;4;1001;1002;1003;1004>,,,,,,,
5,,给他补铁,生锈的美录梅塔,损失10%气血，繁衍出了4只美录坦，赢得【无双·血契之誓】祝福（不会重复获得）,,给他加热,1,经过3000年的时间，美录梅塔的身体开始生锈,22,,,美录梅塔最终走向了生命的尽头,<1;2;3;4;1001;1002;1003;1004>,{buff=<200;1121>},,,,,,
6,,给他补锌,生锈的美录梅塔,损失20%气血，繁衍出了3只美录坦，赢得【无双·绝境利刃】祝福（不会重复获得）,,给他减压,1,经过3000年的时间，美录梅塔的身体开始生锈,23,,,美录梅塔最终走向了生命的尽头,<1;2;3;4;1001;1002;1003;1004>,{buff=<201;1122>},,,,,,
7,,单手许愿,七夜之愿,恢复20%气血,,紧握双手许愿,2,你来开拓区寻找基拉祈，终于在一个夜晚，基拉祈如流星般出现在你的面前,31,,,基拉祈默默的离开了,<1;2;3;4;1001;1002;1003;1004>,{buff=<214>},,,,,,
8,,紧握双手许愿,七夜之愿,损失20%气血，获得【终结·怒气节制】祝福（不会重复获得）,,许愿流派祝福，但会损失20%的血量,1,你来开拓区寻找基拉祈，终于在一个夜晚，基拉祈如流星般出现在你的面前,32,,,恢复20%气血,<1;2;3;4;1001;1002;1003;1004>,{buff=<201;1221>},{buff=<214>},,,,,
9,,紧握双手许愿,七夜之愿,损失30%气血，获得【终结·生命回响】祝福（不会重复获得）,,许愿流派祝福，但会损失30%的血量,1,你来开拓区寻找基拉祈，终于在一个夜晚，基拉祈如流星般出现在你的面前,33,,,恢复20%气血,<1;2;3;4;1001;1002;1003;1004>,{buff=<202;1221>},{buff=<214>},,,,,
10,,吃掉眼前的蘑菇,3D龙的璀璨世界,被杰尼龟暴打一顿，损失20%气血,,将杰尼龟壳踩烂,2,你身处无垠草原，白云点缀蓝天——一切都是*方块*绘制。你低头看自己的双手，它们变成了像素方块,41,,,恢复20%气血,<1;2;3;4;1001;1002;1003;1004>,{buff=<201>},{buff=<214>},,,,,
11,,冲向宝可梦联盟,3D龙的璀璨世界,波波向你发起攻击，损失20%气血,,攻击天上的波波,1,你身处无垠草原，白云点缀蓝天——一切都是*方块*绘制。你低头看自己的双手，它们变成了像素方块,42,,,获得【毁灭·残命守护】流派祝福（不会重复获得）,<1;2;3;4;1001;1002;1003;1004>,{buff=<201>},{buff=<1321>},,,,,
12,,跳进右边的砖块,3D龙的璀璨世界,从右边的管道出来了,,爬进左边的管道,1,你身处无垠草原，白云点缀蓝天——一切都是*方块*绘制。你低头看自己的双手，它们变成了像素方块,43,,,损失20%气血，获得【毁灭·无尽战意】流派祝福（不会重复获得）,<1;2;3;4;1001;1002;1003;1004>,,{buff=<201;1321>},,,,,
13,,使用皮卡丘撞开它,消失的精灵球,无意间给精疲力尽的顽皮蛋充电，意外获得【诡术·气血汲取】祝福（不会重复获得）,,使用皮卡丘攻击它,2,前方出现一颗精灵球,51,,,无事发生,<1;2;3;4;1001;1002;1003;1004>,{buff=<1421>},,,,,,
14,,踢开它,消失的精灵球,找到了失主，获得夸赞,,捡起它,1,前方出现一颗精灵球,52,,,被失主看到后一顿教训损失10%生命值,<1;2;3;4;1001;1002;1003;1004>,,{buff=<201>},,,,,
15,,踢开它,消失的精灵球,捡到一颗顽皮蛋，损失30%生命值,,捡起它,1,前方出现一颗精灵球,53,,,你踢开的是顽皮蛋，意外获得【诡术·真实创伤】祝福（不会重复获得）,<1;2;3;4;1001;1002;1003;1004>,{buff=<202>},{buff=<1422>},,,,,
16,1,给他水喝,都市摩托车大赛,故勒顿为了感谢你，你获得双攻提升10%,,给他食物,,你来到黑市参加摩托车大赛，你正愁没有摩托车的时候，出现了受伤的密勒顿,99,,,故勒顿为了感谢你，和你参加了摩托车大赛，但是并没有拿到名次,<1;2;3;4;1001;1002;1003;1004>,{buff=<2>},,,,,,
17,,向异色时拉比寻求如何返回第一宇宙,穿梭时空的相遇,你和你的飞船成功回到了地球，损失20%气血,,向绿色时拉比寻求如何返回第一宇宙,2,你的飞船无意中进入到了时间乱流之中，在这个时空之中出现了一只异色时拉比和一只绿色时拉比,61,,,时拉比将【甘露·生命之泉】赠予你，希望你可以平安返回地球,<1;2;3;4;1001;1002;1003;1004>,{buff=<200>},{buff=<1621>},,,,,
18,,向异色时拉比寻求获得时间波纹的力量,穿梭时空的相遇,人类，妄想获得预知未来的力量,,向绿色时拉比寻求获得时间波纹的力量,1,你的飞船无意中进入到了时间乱流之中，在这个时空之中出现了一只异色时拉比和一只绿色时拉比,62,,,人类，妄想获得预知未来的力量,<1;2;3;4;1001;1002;1003;1004>,,,,,,,
