变量名,historyCanjump,historyCanPass,lastCanjump,lastCanPass,markBoards3,markBoards2,markBoards1,markType3,markType2,markType1,hiddenBoardsNumberUpperLimit,hiddenBoardsNumberLowerLimit,boards,boardGroups1,boardGroups2,boardGroups3,pointC,itemAward,itemAward2,__version
默认值,0,0,0,0,0,0,0,0,0,0,0,0,{},<>,<>,<>,<>,{},{},
ID,历史可跳层数,历史可通层数,上期可跳层数,上期可通层数,标记格子3数量,标记格子2数量,标记格子1数量,标记类型3,标记类型2,标记类型1,隐藏格子上限,隐藏格子下限,该层格子ID列表,格子组1,格子组2,格子组3,积分系数,道具奖励,道具奖励2,__version
1,,,,,,,,,,,,,,,,,<1;1.4;2;3>,{1=1;2=1;5=1},{1=2;2=2;5=2},
2,,,,,,,,2,2,2,4,1,{4=50},<5;6;7;8>,<5;6;7;8>,<5;6;7;8>,<1;1.4;2;3>,,,
3,,,,,,,,2,2,2,4,1,{3=50;4=200},<9;10;11;12>,<9;10;11;12>,<9;10;11;12>,<1.012;1.4168;2.024;3.036>,,,
4,,,,,16,14,13,1,1,1,4,1,{3=50;4=200},,,,<1.012;1.4168;2.024;3.036>,,,
5,,,,,19,18,17,1,1,1,4,1,{4=50},,,,<1.024;1.4336;2.048;3.072>,,,
6,,,,,24,23,,1,1,2,4,1,{3=50;4=200},<21;22>,,,<1.024;1.4336;2.048;3.072>,,,
7,,,,,28,26,,1,4,2,4,1,{3=50;4=200},<25>,,,<1.036;1.4504;2.072;3.108>,,,
8,,,,,34,33,32,1,1,4,4,1,{3=50;4=200},,,,<1.072;1.5008;2.144;3.216>,,,
9,,,,,37,37,37,1,1,1,,,{2=100},,,,<1.072;1.5008;2.144;3.216>,,,
10,,,,,40,40,40,3,3,3,,,{1=100},,,,<1.096;1.5344;2.192;3.288>,{3=1},{3=2},
11,,,,,,,,2,2,2,3,2,{3=50},<41;42;43;44>,<41;42;43;44>,<41;42;43;44>,<1.096;1.5344;2.192;3.288>,,,
12,,,,,,,,2,2,2,4,1,{3=50;4=200},<45;46;47;48>,<45;46;47;48>,<45;46;47;48>,<1.096;1.5344;2.192;3.288>,,,
13,,,,,,,,2,2,2,4,1,{3=50;4=200},<49;50;51;52>,<49;50;51;52>,<49;50;51;52>,<1.108;1.5512;2.216;3.324>,,,
14,,,,,56,53,53,1,1,1,4,1,{3=50;4=200},,,,<1.108;1.5512;2.216;3.324>,,,
15,,,,,59,57,57,1,1,1,4,1,{4=50},,,,<1.12;1.568;2.24;3.36>,,,
16,,,,,64,,,1,2,2,4,1,{3=50;4=200},<61;62>,<61;62>,,<1.12;1.568;2.24;3.36>,,,
17,,,,,68,66,,1,4,2,4,1,{3=50;4=200},<65>,,,<1.132;1.5848;2.264;3.396>,,,
18,,,,,75,73,70,1,4,3,4,1,{3=50;4=200},,,,<1.132;1.5848;2.264;3.396>,,,
19,,,,,79,79,79,1,1,1,,,{2=100},,,,<1.168;1.6352;2.336;3.504>,,,
20,,,,,81,81,81,4,4,4,,,{1=100},,,,<1.168;1.6352;2.336;3.504>,{2=1},{2=2},
21,,,,,,,,2,2,2,3,2,{3=50},<82;83;84;85>,<82;83;84;85>,<82;83;84;85>,<1.192;1.6688;2.384;3.576>,,,
22,,,,,,,,2,2,2,4,1,{3=50;4=200},<86;87;88;89>,<86;87;88;89>,<86;87;88;89>,<1.192;1.6688;2.384;3.576>,,,
23,,,,,92,92,91,1,1,1,4,1,{3=50;4=200},,,,<1.204;1.6856;2.408;3.612>,,,
24,,,,,97,96,96,1,1,1,4,1,{3=50;4=200},,,,<1.204;1.6856;2.408;3.612>,,,
25,,,,,101,98,98,1,1,1,4,1,{3=50;4=200},,,,<1.216;1.7024;2.432;3.648>,,,
26,,,,,106,104,,1,4,2,4,1,{3=50;4=200},<102;103>,,,<1.216;1.7024;2.432;3.648>,,,
27,,,,,111,108,,1,4,2,4,1,{3=50;4=200},<107>,,,<1.228;1.7192;2.456;3.684>,,,
28,,,,,117,116,114,1,1,4,4,1,{3=50;4=200},,,,<1.228;1.7192;2.456;3.684>,,,
29,,,,,121,121,121,1,1,1,,,{2=100},,,,<1.264;1.7696;2.528;3.792>,,,
30,,,,,122,122,122,3,3,3,,,{1=100},,,,<1.264;1.7696;2.528;3.792>,{4=1},{4=2},
31,,,,,,,,2,2,2,3,2,{3=50},<123;124;125;126>,<123;124;125;126>,<123;124;125;126>,<1.288;1.8032;2.576;3.864>,,,
32,,,,,,,,2,2,2,4,1,{3=50;4=200},<127;128;129;130>,<127;128;129;130>,<127;128;129;130>,<1.288;1.8032;2.576;3.864>,,,
33,,,,,134,134,131,1,1,1,4,1,{3=50;4=200},,,,<1.3;1.82;2.6;3.9>,,,
34,,,,,138,135,135,1,1,1,4,1,{3=50;4=200},,,,<1.3;1.82;2.6;3.9>,,,
35,,,,,142,142,139,1,1,1,4,1,{3=50;4=200},,,,<1.312;1.8368;2.624;3.936>,,,
36,,,,,146,,,1,2,2,4,1,{3=50;4=200},<143;144>,<143;144>,,<1.312;1.8368;2.624;3.936>,,,
37,,,,,151,148,,1,4,2,4,1,{3=50;4=200},<147>,,,<1.324;1.8536;2.648;3.972>,,,
38,,,,,158,158,155,1,1,4,4,1,{3=50;4=200},,,,<1.324;1.8536;2.648;3.972>,,,
39,,,,,162,162,162,1,1,1,,,{2=100},,,,<1.36;1.904;2.72;4.08>,,,
40,,,,,163,163,163,4,4,4,,,{1=100},,,,<1.36;1.904;2.72;4.08>,{1=1},{1=2},
41,,,,,,,,2,2,2,3,2,{3=50},<164;165;166>,<164;165;166>,<164;165;166>,<1.384;1.9376;2.768;4.152>,,,
42,,,,,170,169,,1,4,2,4,1,{3=50;4=200},<167;168>,,,<1.384;1.9376;2.768;4.152>,,,
43,,,,,174,174,174,1,1,1,4,1,{3=50;4=200},,,,<1.396;1.9544;2.792;4.188>,,,
44,,,,,178,178,178,1,1,1,4,1,{3=50;4=200},,,,<1.396;1.9544;2.792;4.188>,,,
45,,,,,180,180,180,1,1,1,4,1,{3=50;4=200},,,,<1.408;1.9712;2.816;4.224>,,,
46,,,,,185,183,,1,4,2,4,1,{3=50;4=200},<181;182>,,,<1.408;1.9712;2.816;4.224>,,,
47,,,,,190,187,,1,4,2,4,1,{3=50;4=200},<186>,,,<1.42;1.988;2.84;4.26>,,,
48,,,,,196,196,193,1,1,4,4,1,{3=50;4=200},,,,<1.42;1.988;2.84;4.26>,,,
49,,,,,200,200,200,1,1,1,,,{2=100},,,,<1.456;2.0384;2.912;4.368>,,,
50,,,,,201,201,201,3,3,3,,,{1=100},,,,<1.456;2.0384;2.912;4.368>,{4=1},{4=2},
51,,,30,30,,,,2,2,2,3,2,{3=50},<202;203;204;205>,<202;203;204;205>,<202;203;204;205>,<1.48;2.072;2.96;4.44>,,,
52,,,30,30,209,208,,1,4,2,4,1,{3=50;4=200},<206;207>,,,<1.48;2.072;2.96;4.44>,,,
53,,,30,30,212,212,211,1,1,1,4,1,{3=50;4=200},,,,<1.492;2.0888;2.984;4.476>,,,
54,,,30,30,217,216,216,1,1,1,4,1,{3=50;4=200},,,,<1.492;2.0888;2.984;4.476>,,,
55,,,30,30,220,220,219,1,1,1,4,1,{3=50;4=200},,,,<1.504;2.1056;3.008;4.512>,,,
56,,,30,30,225,,,1,2,2,4,1,{3=50;4=200},<222;223>,<222;223>,,<1.504;2.1056;3.008;4.512>,,,
57,,,30,30,230,227,,1,4,2,4,1,{3=50;4=200},<226>,,,<1.516;2.1224;3.032;4.548>,,,
58,,,30,30,237,236,234,1,1,4,4,1,{3=50;4=200},,,,<1.516;2.1224;3.032;4.548>,,,
59,,,30,30,241,241,241,1,1,1,,,{2=100},,,,<1.552;2.1728;3.104;4.656>,,,
60,,,30,30,242,242,242,4,4,4,,,{1=100},,,,<1.552;2.1728;3.104;4.656>,{5=1},{5=2},
61,,,35,35,,,,2,2,2,3,2,{3=50},<243;244;245;246>,<243;244;245;246>,<243;244;245;246>,<1.576;2.2064;3.152;4.728>,,,
62,,,35,35,250,249,,1,4,2,4,1,{3=50;4=200},<247;248>,,,<1.576;2.2064;3.152;4.728>,,,
63,,,35,35,254,252,252,1,1,1,4,1,{3=50;4=200},,,,<1.588;2.2232;3.176;4.764>,,,
64,,,35,35,258,258,255,1,1,1,4,1,{3=50;4=200},,,,<1.588;2.2232;3.176;4.764>,,,
65,,,35,35,261,261,260,1,1,1,4,1,{3=50;4=200},,,,<1.6;2.24;3.2;4.8>,,,
66,,,35,35,266,,,1,2,2,4,1,{3=50;4=200},<263;264>,<263;264>,,<1.6;2.24;3.2;4.8>,,,
67,,,35,35,271,268,,1,4,2,4,1,{3=50;4=200},<267>,,,<1.612;2.2568;3.224;4.836>,,,
68,,,35,35,277,274,274,1,4,4,4,1,{3=50;4=200},,,,<1.612;2.2568;3.224;4.836>,,,
69,,,35,35,281,281,281,1,1,1,,,{2=100},,,,<1.648;2.3072;3.296;4.944>,,,
70,,,35,35,282,282,282,3,3,3,,,{1=100},,,,<1.648;2.3072;3.296;4.944>,{2=1},{2=2},
71,30,30,40,40,,,,2,2,2,3,2,{3=50},<283;284;285;286>,<283;284;285;286>,<283;284;285;286>,<1.672;2.3408;3.344;5.016>,,,
72,30,30,40,40,289,,,4,2,2,4,1,{3=50;4=200},<287;288>,<287;288>,,<1.672;2.3408;3.344;5.016>,,,
73,30,30,40,40,293,293,292,1,1,1,4,1,{3=50;4=200},,,,<1.684;2.3576;3.368;5.052>,,,
74,30,30,40,40,298,298,297,1,1,1,4,1,{3=50;4=200},,,,<1.684;2.3576;3.368;5.052>,,,
75,30,30,40,40,301,301,300,1,1,1,4,1,{3=50;4=200},,,,<1.696;2.3744;3.392;5.088>,,,
76,30,30,40,40,306,,,1,2,2,4,1,{3=50;4=200},<303;304>,<303;304>,,<1.696;2.3744;3.392;5.088>,,,
77,30,30,40,40,311,308,,1,4,2,4,1,{3=50;4=200},<307>,,,<1.708;2.3912;3.416;5.124>,,,
78,30,30,40,40,318,315,315,1,4,4,4,1,{3=50;4=200},,,,<1.708;2.3912;3.416;5.124>,,,
79,30,30,40,40,322,322,319,1,1,1,,,{2=100},,,,<1.744;2.4416;3.488;5.232>,,,
80,30,30,40,40,323,323,323,4,4,4,,,{1=100},,,,<1.744;2.4416;3.488;5.232>,{4=1},{4=2},
81,35,35,45,45,,,,2,2,2,3,2,{3=50},<324;325;326;327>,<324;325;326;327>,<324;325;326;327>,<1.768;2.4752;3.536;5.304>,,,
82,35,35,45,45,331,330,,1,4,2,4,1,{3=50;4=200},<328;329>,,,<1.768;2.4752;3.536;5.304>,,,
83,35,35,45,45,335,335,332,1,1,1,4,1,{3=50;4=200},,,,<1.78;2.492;3.56;5.34>,,,
84,35,35,45,45,339,339,338,1,1,1,4,1,{3=50;4=200},,,,<1.78;2.492;3.56;5.34>,,,
85,35,35,45,45,343,343,341,1,1,1,4,1,{3=50;4=200},,,,<1.792;2.5088;3.584;5.376>,,,
