变量名,name,type,desc,isHidden,clientTaskType,targetType,point,targetArg,languages,targetArg2,clientTaskArg
默认值,"""""",1,"""""",FALSE,1,0,0,9999,<cn;tw;en;en_us;en_eu;vn;th;kr>,<>,{}
ID,成就名称,成就类型ID,描述,是否隐藏,客户端任务类型,目标类型,奖励积分,目标参数,语言区域<lang>,目标参数2<args>,客户端任务参数{配置}
10010,New Adventure,,Clear one full Adventure run using any Trainer.,,,,10,1,<cn;tw;en;en_us;en_eu;kr>,,{default=1}
10020,Social Anxiety,,Lose every round in three Apex Duel matches and still clear the run with your Trainer surviving.,TRUE,2,,10,1,<cn;tw;en;en_us;en_eu;kr>,,{pvpLoseR=<3;3>}
10030,Breakthrough Bid,,Use Promote encounters to raise any Pokémon to 2★.,,2,,10,1,<cn;tw;en;en_us;en_eu;kr>,,{shopRiseN=<<2>>;sum=TRUE}
10040,Breakthrough Mastery,,Use Promote encounters to raise any Pokémon to 4★.,,2,,10,1,<cn;tw;en;en_us;en_eu;kr>,,{shopRiseN=<<4>>;sum=TRUE}
10050,HP Acrobat,,Clear the run with your Trainer’s HP at 20 or lower.,,,,10,1,<cn;tw;en;en_us;en_eu;kr>,,{hpR=<1;20>}
10060,Practice Pays Off,,Raise Pokémon to 4★ using Promote Strengthening encounters 20 times in total.,,2,,10,20,<cn;tw;en;en_us;en_eu;kr>,,{shopRiseN=<<4>>;sum=TRUE}
10070,Focused Training,,Promote Pokémon 40 times in total using Promote Strengthening encounters.,,2,,10,40,<cn;tw;en;en_us;en_eu;kr>,,{shopRiseN=<<2;4>>;sum=TRUE}
10080,Leaderboard Glory I,,"When the season settles, rank in the global top 50.",TRUE,,3,10,1,<cn;tw;en;en_us;en_eu;kr>,<50;-1>,
10090,Desperate Bite,,"In the Famished encounter, choose Eat it raw and clear the run.",TRUE,,,10,1,<cn;tw;en;en_us;en_eu;kr>,,{storyChooseR=<1;99999;22;2>}
10100,Burn It All,,"In the Fallen Tree encounter, choose Burn it down and clear the run.",TRUE,,,10,1,<cn;tw;en;en_us;en_eu;kr>,,{storyChooseR=<1;99999;23;2>}
10110,Probably a Bad Idea,,"In the Delivery Box encounter, choose Open it and clear the run.",TRUE,,,10,1,<cn;tw;en;en_us;en_eu;kr>,,{storyChooseR=<1;99999;201;2>}
10120,Coin Pouch Path,,"In the Prepared to Depart encounter, choose the bag of coins and clear the run.",,,,10,1,<cn;tw;en;en_us;en_eu;kr>,,{storyChooseR=<1;99999;15;1>}
10130,Lunchbox Boost,,"In the Prepared to Depart encounter, choose the Heart Lunchbox and clear the run.",,,,10,1,<cn;tw;en;en_us;en_eu;kr>,,{storyChooseR=<1;99999;15;2>}
10140,Explorer’s Prep,,"In the Prepared to Depart encounter, choose the exploration kit and clear the run.",,,,10,1,<cn;tw;en;en_us;en_eu;kr>,,{storyChooseR=<1;99999;15;3>}
10150,Fortune Keeper,,Clear the run with 50 Coins or more.,,,,20,1,<cn;tw;en;en_us;en_eu;kr>,,{coinR=<50;99999>}
10160,Shake It Off,,Clear the run after losing three or more battles.,,,,20,1,<cn;tw;en;en_us;en_eu;kr>,,{loseR=<3;99999>}
10170,Tightrope HP,,Clear the run with your Trainer’s HP at 10 or lower.,,,,20,1,<cn;tw;en;en_us;en_eu;kr>,,{hpR=<1;10>}
10180,Closed Shop,,Clear the run without buying anything from the mystery merchant.,TRUE,,,20,1,<cn;tw;en;en_us;en_eu;kr>,,{shopUseHPR=<0;0>}
10190,Blood Price,,Spend 10 or more Trainer HP at the mystery merchant and clear the run.,,,,20,1,<cn;tw;en;en_us;en_eu;kr>,,{shopUseHPR=<10;99999>}
10200,Self-Made Strength,,Clear the run without using any stat-enhancing encounters.,TRUE,,,20,1,<cn;tw;en;en_us;en_eu;kr>,,{shopEnhanceR=<0;0>}
10210,Close Shave,,Your Trainer survives after taking more than 10 damage in a single hit.,,2,,20,1,<cn;tw;en;en_us;en_eu;kr>,,{takeDmgAliveR=<11;99999>}
10220,Haymaker Apex,,"In an Apex Duel, deal more than 10 damage with one hit.",,2,,20,1,<cn;tw;en;en_us;en_eu;kr>,,{causeDmgR=<11;99999;<2>>}
10230,Light Spar,,"In an Apex Duel, deal less than 10 damage with one hit.",,2,,20,1,<cn;tw;en;en_us;en_eu;kr>,,{causeDmgR=<1;9;<2>>}
10240,Leaderboard Glory II,,"When the season settles, rank in the global top 10.",TRUE,,3,20,1,<cn;tw;en;en_us;en_eu;kr>,<10;-1>,
10250,Serious Saving,,"In the Bank encounter, choose Deposit 30 Coins and clear the run.",TRUE,,,20,1,<cn;tw;en;en_us;en_eu;kr>,,{storyChooseR=<1;99999;301;3>}
10260,Flawless March,,Clear an Adventure without losing any battles.,TRUE,,,30,1,<cn;tw;en;en_us;en_eu;kr>,,{allWin=1}
10270,Ultra Mogul,,Clear the run with 100 Coins or more.,TRUE,,,30,1,<cn;tw;en;en_us;en_eu;kr>,,{coinR=<100;99999>}
10280,Last Hitpoint,,Clear the run with your Trainer at exactly 1 HP.,TRUE,,,30,1,<cn;tw;en;en_us;en_eu;kr>,,{hpR=<1;1>}
10290,Training Apex,,Clear the run with six 4★ Pokémon on the board.,TRUE,,,30,1,<cn;tw;en;en_us;en_eu;kr>,,{starR=<6;99999;<4>>}
10300,Quality Optional,,Clear the run with three or more 1★ Pokémon on the board.,TRUE,,,30,1,<cn;tw;en;en_us;en_eu;kr>,,{starR=<3;99999;<1>>}
10310,No Promo Run,,Clear the run without using any Promote encounters.,TRUE,,,30,1,<cn;tw;en;en_us;en_eu;kr>,,{shopRiseR=<0;0>}
10320,Cheated Fate,,Your Trainer survives after taking more than 20 damage in a single hit.,TRUE,2,,30,1,<cn;tw;en;en_us;en_eu;kr>,,{takeDmgAliveR=<21;99999>}
10330,Megaton Spike,,"In an Apex Duel, deal more than 20 damage with one hit.",TRUE,2,,30,1,<cn;tw;en;en_us;en_eu;kr>,,{causeDmgR=<21;99999;<2>>}
10340,Leaderboard Glory III,,"When the season settles, reach global rank #1.",TRUE,,3,30,1,<cn;tw;en;en_us;en_eu;kr>,<1;-1>,
10350,Exact Coffers,,Clear the run with exactly 0 Coins.,TRUE,,,30,1,<cn;tw;en;en_us;en_eu;kr>,,{coinR=<0;0>}
10360,Dress Parade,,Clear the run while every Pokémon on the board holds gear.,TRUE,,,30,1,<cn;tw;en;en_us;en_eu;kr>,,{equipR=<6;99999;<1;2>>}
10370,Double-Pack Run,,Clear the run with at least one Pokémon holding two gear pieces.,TRUE,,,30,1,<cn;tw;en;en_us;en_eu;kr>,,{equipR=<1;99999;<2>>}
10380,Test Subject,,"In the Apothecary encounter, choose Test the new potion and clear the run.",TRUE,,,30,1,<cn;tw;en;en_us;en_eu;kr>,,{storyChooseR=<1;99999;31;2>}
10390,Forest Picnic,,"In the Firefly Woods encounter, choose Picnic and clear the run.",TRUE,,,30,1,<cn;tw;en;en_us;en_eu;kr>,,{storyChooseR=<1;99999;26;2>}
