变量名,easyEffectFunc,overlayType,overlayLimit
默认值,buff1,0,999999
ID,效果函数名,叠加类型(0不叠加/1叠加),叠加上限
1,shieldEX,,1
2,protector,,1
3,thorn,,1
4,storm,,1
5,penetrate,,1
6,quickStrike,,
7,ignoreShield,,1
8,kill,,1
9,stun,1,1
10,stealth,,1
11,strike,,1
12,changeAttackTarget,1,1
13,divineShield,,1
14,specialAction,1,1
15,reduceTakeDamage,,
16,oneHitKill,,1
17,immuneDamage,,1
18,control,1,1
19,enhancement,,
20,battleTemporaryTransform,1,1
21,addTriggerTimes,,
22,permanentTransformAll,1,1
23,beHealAdd,,
24,timer,,1
25,setRefreshCost,,
26,tempDispel,1,1
27,trainerHpLock,1,1
