变量名,attack,hp,starMax,starMin,defence,equip,exBuff,roleId
默认值,0,0,1,1,0,<>,{},
ID,攻击修正,生命修正,最大星级,最小星级,护甲修正,装备<equipID>,额外Buff{buffID=等级},角色ID(对应cards/trainer)
1001,,,,,,,,6
1002,,,2,2,,,,7
1003,,,2,2,,,,8
10011,,,,,,,,1001
10012,,,2,2,,,,1001
10014,,,4,4,,,,1001
10021,,,,,,,,1002
10022,,,2,2,,,,1002
10024,,,4,4,,,,1002
10031,,,,,,,,1003
10032,,,2,2,,,,1003
10034,,,4,4,,,,1003
10041,,,,,,,,1004
10042,,,2,2,,,,1004
10044,,,4,4,,,,1004
10051,,,,,,,,1005
10052,,,2,2,,,,1005
10054,,,4,4,,,,1005
10061,,,,,,,,1006
10062,,,2,2,,,,1006
10064,,,4,4,,,,1006
10071,,,,,,,,1007
10072,,,2,2,,,,1007
10074,,,4,4,,,,1007
10081,,,,,,,,1008
10082,,,2,2,,,,1008
10084,,,4,4,,,,1008
10091,,,,,,,,1009
10092,,,2,2,,,,1009
10094,,,4,4,,,,1009
10101,,,,,,,,1010
10102,,,2,2,,,,1010
10104,,,4,4,,,,1010
10111,,,,,,,,1011
10112,,,2,2,,,,1011
10114,,,4,4,,,,1011
10121,,,,,,,,1012
10122,,,2,2,,,,1012
10124,,,4,4,,,,1012
10131,,,,,,,,1013
10132,,,2,2,,,,1013
10134,,,4,4,,,,1013
10141,,,,,,,,1014
10142,,,2,2,,,,1014
10144,,,4,4,,,,1014
10151,,,,,,,,1015
10152,,,2,2,,,,1015
10154,,,4,4,,,,1015
10161,,,,,,,,1016
10162,,,2,2,,,,1016
10164,,,4,4,,,,1016
10171,,,,,,,,1017
10172,,,2,2,,,,1017
10174,,,4,4,,,,1017
10181,,,,,,,,1018
10182,,,2,2,,,,1018
10184,,,4,4,,,,1018
10191,,,,,,,,1019
10192,,,2,2,,,,1019
10194,,,4,4,,,,1019
10201,,,,,,,,1020
10202,,,2,2,,,,1020
10204,,,4,4,,,,1020
10211,,,,,,,,1021
10212,,,2,2,,,,1021
10214,,,4,4,,,,1021
10221,,,,,,,,1022
10222,,,2,2,,,,1022
10224,,,4,4,,,,1022
10231,,,,,,,,1023
10232,,,2,2,,,,1023
10234,,,4,4,,,,1023
20011,,,,,,,,2001
20012,,,2,2,,,,2001
20014,,,4,4,,,,2001
20021,,,,,,,,2002
20022,,,2,2,,,,2002
20024,,,4,4,,,,2002
20031,,,,,,,,2003
20032,,,2,2,,,,2003
20034,,,4,4,,,,2003
20041,,,,,,,,2004
20042,,,2,2,,,,2004
20044,,,4,4,,,,2004
20051,,,,,,,,2005
20052,,,2,2,,,,2005
20054,,,4,4,,,,2005
20061,,,,,,,,2006
20062,,,2,2,,,,2006
20064,,,4,4,,,,2006
20071,,,,,,,,2007
20072,,,2,2,,,,2007
20074,,,4,4,,,,2007
20081,,,,,,,,2008
20082,,,2,2,,,,2008
20084,,,4,4,,,,2008
20091,,,,,,,,2009
20092,,,2,2,,,,2009
20094,,,4,4,,,,2009
20101,,,,,,,,2010
20102,,,2,2,,,,2010
20104,,,4,4,,,,2010
20111,,,,,,,,2011
20112,,,2,2,,,,2011
20114,,,4,4,,,,2011
20121,,,,,,,,2012
20122,,,2,2,,,,2012
20124,,,4,4,,,,2012
20131,,,,,,,,2013
20132,,,2,2,,,,2013
20134,,,4,4,,,,2013
20141,,,,,,,,2014
20142,,,2,2,,,,2014
20144,,,4,4,,,,2014
20151,,,,,,,,2015
20152,,,2,2,,,,2015
20154,,,4,4,,,,2015
30021,,,,,,,,3002
30022,,,2,2,,,,3002
30024,,,4,4,,,,3002
