变量名,onceEffectDeepCorrect,effectDeepCorrect,effectAssignLayer,onceEffectAssignLayer,effectResPath,onceEffectResPath,effectOffset,onceEffectOffset,effectAniName,onceEffectAniName
默认值,1,1,1,1,"""""","""""",{y=0;x=0},{y=0;x=0},,
ID,单次特效深度修正,持续特效深度修正,特效指定层级,单次特效指定层级,持续特效资源路径,单次特效资源路径,持续特效偏移{x;y},单次特效偏移{x;y},持续特效动画名<name>,单次特效动画名
1,5,,,2,,lushi/zizouqi_jl1.skel,,{x=-10;y=-10},,effect_trigger
2,5,,,2,,lushi/zizouqi_jl1.skel,,,,effect_trigger
3,5,,,2,,lushi/zizouqi_jl1.skel,,,,effect_trigger2
1001,,3,2,,lushi/zizouqi_jl1.skel,,,,<rampage_loop>,
1002,,-1,2,,lushi/zizouqi_jl1.skel,,,,<guard_loop>,
1003,,3,2,,lushi/zizouqi_jl1.skel,,,,<vertigo_loop>,
1004,,3,2,,lushi/zizouqi_jl1.skel,,,,<hide_loop>,
1005,,3,2,,lushi/zizouqi_jl1.skel,,,,<shield_loop>,
1006,5,,,2,,lushi/zizouqi_jl1.skel,,,,heal
1007,99,,,2,,lushi/buff/emeng.skel,,,,effect2
1008,5,,,2,,lushi/buff/guwu.skel,,,,effect
1009,,3,2,,lushi/buff/huanying.skel,,,,<effect_loop>,
1010,5,,,2,,lushi/buff/touqu.skel,,,,effect
1011,5,,,2,,lushi/buff/xianjing.skel,,{x=0;y=-200},,effect
1012,,3,2,,lushi/buff/xianjing.skel,,{x=0;y=-260},,<effect_loop>,
1013,99,,,2,,lushi/buff/yinfu.skel,,,,effect
1014,,4,2,,lushi/buff/zhongdu.skel,,{x=180;y=-260},,<effect_loop>,
1015,5,,,2,,lushi/buff/zhongdu.skel,,,,effect
1016,,6,4,,lushi/buff/jianjia.skel,,,,<effect_loop>,
1017,,3,2,,lushi/buff/meihuo.skel,,,,<effect_loop>,
1018,5,,,2,,lushi/buff/shandian.skel,,,,effect
1019,5,,,2,,lushi/buff/liushui.skel,,,,liuchu
1020,5,,,2,,lushi/buff/liushui.skel,,,,liuru
1021,,3,2,,lushi/buff/bingdong.skel,,,,<effect_loop>,
1022,,3,2,,lushi/buff/dunfan.skel,,,,<effect_loop>,
