变量名,jump,bg,chooseSkill,fake,must,random
默认值,112,"""""",FALSE,FALSE,<>,<>
ID,跳转章节ID,背景图片,是否选技能,是否虚假(教程用),固定遭遇<encounterID>,随机遭遇池<<pool1>;<pool2>>
11,,,,TRUE,<114;300004;200003;100010;100010;100010;100010>,
12,,,TRUE,TRUE,<211>,
13,,,,TRUE,<221>,
14,,,,TRUE,<100001>,
15,,lushi/img_zzq_bg.png,,,<114;100002;200008;0;100004;0;300004;100003;0;100005>,<<300001;300002;300003>;<400101;400021;400022;400023;400024;400025;400033>;<200002;200002;200003;200004;200004;200005;200006;200007>>
16,,lushi/img_zzq_bg2.png,TRUE,,<100006;200008;100006;0;100007;0;300004;100008;0;100009>,<<300005;300006;300007>;<400201;400301;400021;400022;400023;400024;400025;400026;400027;400031;400032;400033;400034>;<200002;200003;200004;200005;200006;200007>>
17,113,lushi/img_zzq_bg3.png,,,<100010;200008;0;100010;200011;100012;0;100010;300004;100011;0;100013>,<<300008;300009;300010>;<400021;400022;400023;400024;400025;400026;400027;400028;400029;400030;400031;400032;400033;400035>;<200002;200003;200004;200005;200006;200007>>
18,,lushi/img_zzq_bg4.png,,TRUE,<221>,
21,,,,TRUE,<201>,
22,,,,TRUE,<201>,
23,,,,TRUE,<400015>,
24,,,,TRUE,<100001>,
25,,lushi/img_zzq_bg.png,,,<100002;200008;0;100004;0;300004;100003;0;100005>,<<300001;300002;300003>;<400101;400021;400022;400023;400024;400025;400033>;<200002;200002;200003;200004;200004;200005;200006;200007>>
26,,lushi/img_zzq_bg2.png,TRUE,,<100006;200008;100006;0;100007;0;300004;100008;0;100009>,<<300005;300006;300007>;<400201;400301;400021;400022;400023;400024;400025;400026;400027;400031;400032;400033;400034>;<200002;200003;200004;200005;200006;200007>>
27,113,lushi/img_zzq_bg3.png,,,<100010;200008;0;100010;200011;100012;0;100010;300004;100011;0;100013>,<<300008;300009;300010>;<400021;400022;400023;400024;400025;400026;400027;400028;400029;400030;400031;400032;400033;400035>;<200002;200003;200004;200005;200006;200007>>
28,,lushi/img_zzq_bg4.png,,TRUE,<221>,
31,,,,TRUE,<201>,
32,,,,TRUE,<201>,
33,,,,TRUE,<400015>,
34,,,,TRUE,<100001>,
35,,lushi/img_zzq_bg.png,,,<100002;200009;0;100004;0;300004;100003;0;100005>,<<300001;300002;300003>;<400101;400021;400022;400023;400024;400025;400033>;<200002;200003;200004;200005;200006;200007>>
36,,lushi/img_zzq_bg2.png,TRUE,,<100006;200009;100006;0;100007;0;300004;100008;0;100009>,<<300005;300006;300007>;<400201;400301;400021;400022;400023;400024;400025;400026;400027;400031;400032;400033;400034>;<200002;200003;200004;200005;200006;200007>>
37,113,lushi/img_zzq_bg3.png,,,<100010;200009;0;100010;200011;100012;0;100010;300004;100011;0;100013>,<<300008;300009;300010>;<400021;400022;400023;400024;400025;400026;400027;400028;400029;400030;400031;400032;400033;400035>;<200002;200003;200004;200005;200006;200007>>
38,,lushi/img_zzq_bg4.png,,TRUE,<221>,
41,,,,TRUE,<201>,
42,,,,TRUE,<201>,
43,,,,TRUE,<400015>,
44,,,,TRUE,<100001>,
45,,lushi/img_zzq_bg.png,,,<100002;200012;0;100004;0;300004;100003;0;100005>,<<300001;300002;300003>;<400101;400021;400022;400023;400024;400025;400033>;<200002;200003;200004;200005;200006;200007>>
46,,lushi/img_zzq_bg2.png,TRUE,,<100006;200012;100006;0;100007;0;300004;100008;0;100009>,<<300005;300006;300007>;<400201;400301;400021;400022;400023;400024;400025;400026;400027;400031;400032;400033;400034>;<200002;200003;200004;200005;200006;200007>>
47,113,lushi/img_zzq_bg3.png,,,<100010;200012;0;100010;200011;100012;0;100010;300004;100011;0;100013>,<<300008;300009;300010>;<400021;400022;400023;400024;400025;400026;400027;400028;400029;400030;400031;400032;400033;400035>;<200002;200003;200004;200005;200006;200007>>
48,,lushi/img_zzq_bg4.png,,TRUE,<221>,
51,,,,TRUE,<201>,
52,,,,TRUE,<201>,
53,,,,TRUE,<400015>,
54,,,,TRUE,<100001>,
55,,lushi/img_zzq_bg.png,,,<100002;200014;0;100004;0;300004;100003;0;100005>,<<300001;300002;300003>;<400101;400021;400022;400023;400024;400025;400033>;<200002;200003;200004;200005;200006;200007>>
