变量名,name,filterTarget,rarity,res,price,type,weight,pvpShowInHandBook,showInHandBook,level,overtime,overtype,desc,canSell,resScale,cardEffect,resPos,buff,findBuff,keyWords
默认值,"""""","""""",1,config/lushi/img_sj_01.png,1,1,0,FALSE,FALSE,10,1,0,"""""",FALSE,1,"""""",{x=0;y=0},<>,<>,<>
ID,事件卡名称,筛选条件,稀有度(1-5),资源路径,价格(金币),类型(1单次/2持续),权重,PVP是否显示在图鉴,是否显示在图鉴,等级,持续回合,结束类型,描述,是否可出售,资源缩放,效果描述,资源偏移{x;y},Buff<buffID>,发现Buff<buffID>,关键词<词>
200001,钢铁之盾,target:hasNature(17),,config/lushi/img_sj_1.png,2,,100,,,,,,,,,使场上的一个钢系精灵永久+8护甲,,,<500001>,
200002,坚钢之力,,3,config/lushi/img_sj_2.png,4,2,80,,,,,,,TRUE,,准备阶段结束时，己方场上所有钢系精灵永久+1护甲,,<500101>,,
200003,星夜祈愿,,4,config/lushi/img_sj_3.png,5,,60,,,,,,,,,打出后【发现】一张随机装备卡,,<500201>,,<【发现】>
200004,改造之锤,TRUE,2,config/lushi/img_sj_4.png,3,,100,,TRUE,,,,,,,选一个己方场上的精灵永久【变形】为同星级的随机精灵,,,<500301>,<【变形】>
200005,回收装置,TRUE,4,config/lushi/img_sj_5.png,5,,80,,TRUE,,,,,,,选一个己方场上的精灵返回手牌,,,<500401>,
200006,量身定制,TRUE,5,config/lushi/img_sj_6.png,6,,40,,TRUE,,,,,,,选一个己方场上的精灵使其装备栏位变为2,,,<500501>,
200007,团结一心,,3,config/lushi/img_sj_7.png,4,2,80,,TRUE,,,,,TRUE,,战斗开始时，己方场上每有一只精灵，为所有精灵+1攻击,,<500601>,,
200008,除虫喷雾,,3,config/lushi/img_sj_8.png,4,,60,,TRUE,,,,,,,下一场战斗开始时，对敌方全体造成8点技能伤害,,<500701>,,
200009,虚弱喷雾,,4,config/lushi/img_sj_9.png,5,,60,,TRUE,,,,,,,下一场战斗开始时，使随机1个敌方攻击力减半并【晕眩】,,<500801>,,<【晕眩】>
200010,防护装置,,4,config/lushi/img_sj_10.png,5,2,40,,TRUE,,,,,TRUE,,己方场上精灵受到的伤害-2，至多降为1点,,<500901>,,
200011,神奇糖果,target:star()==1,3,config/lushi/img_sj_11.png,4,,40,,TRUE,,,,,,,选一个己方场上的1星精灵使其星级永久翻倍,,,<501001>,
200012,巨化喷雾,TRUE,5,config/lushi/img_sj_12.png,6,,20,,TRUE,,,,,,,选一个己方场上的精灵使其血量永久翻倍,,,<501101>,
200013,硬化喷雾,TRUE,5,config/lushi/img_sj_13.png,6,,20,,TRUE,,,,,,,选一个己方场上的精灵使其护甲永久翻倍,,,<501201>,
200014,强化喷雾,TRUE,5,config/lushi/img_sj_14.png,6,,20,,TRUE,,,,,,,选一个己方场上的精灵使其攻击永久翻倍,,,<501301>,
200015,贵重球,,4,config/lushi/img_sj_15.png,5,,40,,TRUE,,,,,,,打出后【发现】一张价格为4-6的精灵卡,,<501401>,,<【发现】>
200016,精灵球,,,config/lushi/img_sj_16.png,2,,80,,TRUE,,,,,,,打出后【发现】一张价格为1-3的精灵卡,,<501501>,,<【发现】>
200017,黄金宝箱,,4,config/lushi/img_sj_17.png,5,,40,,TRUE,,,,,,,打出后【发现】一张价格为4-6的装备卡,,<501601>,,<【发现】>
200018,木制宝箱,,,config/lushi/img_sj_18.png,2,,80,,TRUE,,,,,,,打出后【发现】一张价格为1-3的装备卡,,<501701>,,<【发现】>
200019,预言之书,,,config/lushi/img_sj_19.png,2,,60,,TRUE,,,,,,,下一场战斗，若己方获胜，获得6金币,,<501801>,,
200020,讨价还价,TRUE,,config/lushi/img_sj_20.png,2,,60,,TRUE,,,,,,,选择一个己方场上的精灵，将其以原价出售,,,<501901>,
200021,理财能手,,3,config/lushi/img_sj_21.png,4,,80,,TRUE,,,,,,,打出时，每有5个金币，额外获得1个金币,,<502001>,,
200022,营地休整,,3,config/lushi/img_sj_22.png,4,,60,,TRUE,,,,,,,训练家生命值+6,,<502101>,,
200023,离洞绳,,2,config/lushi/img_sj_23.png,3,,80,,TRUE,,,,,,,下一场战斗，训练家不会受到伤害,,<502201>,,
200024,爱心便当,,,config/lushi/img_sj_24.png,2,,,,TRUE,,,,,,,训练家生命值+3,,<502301>,,
200025,神奇药水,TRUE,3,config/lushi/img_sj_12.png,4,,,,,,,,,,,选一个己方场上的精灵使其血量永久+5,,,<502401>,
200026,神奇药水,TRUE,3,config/lushi/img_sj_13.png,4,,,,,,,,,,,选一个己方场上的精灵使其护甲永久+5,,,<502501>,
200027,神奇药水,TRUE,3,config/lushi/img_sj_14.png,4,,,,,,,,,,,选一个己方场上的精灵使其攻击永久+5,,,<502601>,
200028,神奇药水,TRUE,3,config/lushi/img_sj_12.png,4,,,,,,,,,,,选一个己方场上的精灵使其获得【隐匿】,,,<502701>,<【隐匿】>
200029,神奇药水,TRUE,3,config/lushi/img_sj_13.png,4,,,,,,,,,,,选一个己方场上的精灵使其获得【护盾】,,,<502801>,
200030,神奇药水,TRUE,3,config/lushi/img_sj_14.png,4,,,,,,,,,,,选一个己方场上的精灵使其获得【暴击】,,,<502901>,
200031,神奇药水,TRUE,3,config/lushi/img_sj_12.png,4,,,,,,,,,,,选一个己方场上的精灵使其下场战斗血量+50,,,<503001>,
200032,神奇药水,TRUE,3,config/lushi/img_sj_13.png,4,,,,,,,,,,,选一个己方场上的精灵使其下场战斗护甲+50,,,<503101>,
200033,神奇药水,TRUE,3,config/lushi/img_sj_14.png,4,,,,,,,,,,,选一个己方场上的精灵使其下场战斗攻击+50,,,<503201>,
200034,神奇药水,,3,config/lushi/img_sj_14.png,4,,,,,,,,,,,训练家生命+6,,<503301>,,
200104,强化·改造之锤,,5,config/lushi/img_sj_4.png,6,,,,TRUE,,,,,,,让己方场上全部精灵永久【变形】为同星级的随机精灵,,<510301>,,<【变形】>
200105,强化·回收装置,,5,config/lushi/img_sj_5.png,6,,,,TRUE,,,,,,,让己方场上全部精灵返回手牌,,<510401>,,
200106,强化·量身定制,,5,config/lushi/img_sj_6.png,6,,,,TRUE,,,,,,,让己方场上全部精灵的装备栏位变为2,,<510511>,,
